score_qstamp,qstamp,measure,beat,246971_tstamp,831987_tstamp,728901_tstamp,728902_tstamp,728914_tstamp,728915_tstamp,728892_tstamp,728896_tstamp,728897_tstamp,729160_tstamp,728921_tstamp,728922_tstamp,736746_tstamp,736747_tstamp,728930_tstamp,728938_tstamp,728939_tstamp,728934_tstamp,728926_tstamp,728906_tstamp,728910_tstamp,728943_tstamp,728957_tstamp,728951_tstamp
140.1667,140.1667,71,2.6667,274.61,274.61,288.49,21.588,265.01,54.3997,306.45,249.43,75.49,248.63,300.95,85.41,313.05,85.95,276.35,272.19,69.0989,285.67,312.69,265.89,308.21,286.49,299.33,304.31
140.3333,140.3333,71,2.8333,274.8799,274.8799,288.7399,21.5885,265.2599,54.3999,306.6999,249.6799,75.6654,248.8199,301.1999,85.6599,313.3198,86.1999,276.5999,272.4399,69.0997,285.9199,312.9399,266.1399,308.5799,286.7999,299.5799,304.5599
140.5,140.5,72,1.0,275.16,275.16,289.11,21.589,265.57,54.49,306.95,249.93,75.77,249.07,301.47,85.87,313.6,86.3188,276.86,272.69,69.27,286.27,313.19,266.4,308.89,287.05,299.93,304.81
140.6667,140.6667,72,1.1667,275.6,275.6,289.5,21.5895,265.84,54.5407,307.32,250.2,76.02,249.32,301.78,85.9291,313.96,86.56,277.12,272.94,69.52,286.68,313.56,266.78,309.34,287.3,300.24,305.06
140.75,140.75,72,1.25,275.725,275.725,289.625,21.5897,265.965,54.5411,307.51,250.325,76.145,249.445,301.905,85.9348,314.085,86.685,277.245,273.065,69.645,286.805,313.685,266.905,309.465,287.425,300.465,305.185
140.8333,140.8333,72,1.3333,275.8499,275.8499,289.7499,21.5899,266.0899,54.5416,307.6499,250.4499,76.2699,249.5699,302.0299,85.9499,314.2099,86.7602,277.4099,273.1899,69.7699,286.9299,313.8099,267.0299,309.5899,287.5499,300.6099,305.3099
141.0,141.0,72,1.5,276.1,276.1,290.0,21.5904,266.34,54.5424,307.9,250.7,76.52,249.82,302.28,86.1806,314.5,86.7611,277.68,273.44,70.02,287.18,314.06,267.28,309.84,287.8,300.86,305.56
141.1667,141.1667,72,1.6667,276.45,276.45,290.25,21.5909,266.59,54.5433,308.15,250.95,76.5407,250.07,302.66,86.1884,315.03,86.762,278.0,273.71,70.05,287.43,314.31,267.71,310.29,288.05,301.21,305.85
141.3333,141.3333,72,1.8333,276.7199,276.7199,290.4999,21.5913,266.9999,54.5442,308.3999,251.1999,76.5414,250.3199,303.1795,86.1962,315.3199,86.7629,278.2599,273.9599,70.0799,287.6999,314.5599,267.9799,310.5599,288.2999,301.4799,306.0999
141.5,141.5,72,2.0,276.97,276.97,290.75,21.5918,267.25,54.545,308.65,251.45,76.5421,250.57,303.43,86.33,315.57,86.7638,278.55,274.21,70.33,287.95,314.81,268.25,310.81,288.55,301.73,306.35
141.6667,141.6667,72,2.1667,277.36,277.36,291.14,21.5923,267.56,54.5459,309.32,251.7,76.5428,250.715,303.74,86.58,315.84,86.7647,278.8,274.56,70.58,288.74,315.38,268.5,311.16,288.8,302.24,306.78
141.8333,141.8333,72,2.3333,277.6297,277.6297,291.3899,21.5928,267.8495,54.5468,309.6194,251.9499,76.5436,250.9299,303.9899,86.8299,316.0899,86.7656,279.0899,274.8099,70.8099,288.9899,315.6299,268.7499,311.4792,289.0499,302.4899,307.0299
142.0,142.0,72,2.5,277.92,277.92,291.82,21.5932,268.14,54.5476,310.02,252.28,76.5443,251.18,304.3,87.08,316.42,86.7665,279.38,275.16,71.06,289.26,316.04,269.06,311.88,289.44,302.88,307.28
142.1667,142.1667,72,2.6667,278.19,278.19,292.07,21.5937,268.39,54.5485,310.27,252.53,76.545,251.43,304.56,87.33,316.69,86.7674,279.63,275.41,71.31,289.56,316.29,269.31,312.13,289.69,303.17,307.53
142.3333,142.3333,72,2.8333,278.4399,278.4399,292.3199,21.5942,268.6599,54.5494,310.5399,252.7799,76.5457,251.6799,304.9199,87.5799,316.9599,86.7683,279.8799,275.6599,71.5599,289.8399,316.5399,269.5999,312.4399,289.9399,303.4399,307.7799
142.5,142.5,73,1.0,278.85,278.85,292.81,21.5947,269.01,54.5502,310.91,253.09,76.5464,251.93,305.27,87.83,317.28,86.7692,280.17,276.03,71.81,290.33,317.07,269.95,312.77,290.21,303.85,308.03
142.6667,142.6667,73,1.1667,279.1,279.1,293.2,21.5951,269.28,54.5511,311.32,253.34,76.5472,252.1457,305.66,88.08,317.9,86.7701,280.58,276.28,72.06,290.62,317.34,270.26,313.08,290.52,304.1,308.38
142.8333,142.8333,73,1.3333,279.4099,279.4099,293.4899,21.5956,269.5695,54.552,311.6499,253.5899,76.5479,252.3099,306.0299,88.3299,318.2899,86.771,280.8499,276.6299,72.3099,291.1499,317.5899,270.5198,313.4899,290.7699,304.5499,308.6699
143.0,143.0,73,1.5,279.72,279.72,293.76,21.5961,269.88,54.5528,311.96,253.84,76.5486,252.56,306.38,88.58,318.62,86.7719,281.1,276.94,72.56,291.46,317.88,270.8,313.74,291.12,304.86,309.02
143.1667,143.1667,73,1.6667,280.01,280.01,294.16,21.5965,270.13,54.5537,312.26,254.09,76.5493,252.81,306.65,88.83,318.87,86.7728,281.37,277.19,72.81,291.73,318.13,271.06,313.99,291.37,305.11,309.27
143.3333,143.3333,73,1.8333,280.3199,280.3199,294.4199,21.597,270.4199,54.5546,312.5199,254.3598,76.5501,253.0599,306.9399,89.0799,319.1199,86.7737,281.6799,277.4399,73.0599,291.9799,318.3799,271.3999,314.2799,291.6199,305.3798,309.5199
143.5,143.5,73,2.0,280.57,280.57,294.67,21.5975,270.69,54.5555,312.91,254.69,76.5508,253.31,307.21,89.1823,319.37,86.7746,281.99,277.71,73.31,292.23,318.81,271.71,314.63,291.87,305.71,309.81
143.6667,143.6667,73,2.1667,280.92,280.92,294.92,21.598,270.94,54.5563,313.22,254.96,76.5515,253.56,307.46,89.1861,319.62,86.7755,282.26,278.02,73.56,292.48,319.1,271.98,314.94,292.14,306.1,310.12
143.8333,143.8333,73,2.3333,281.1699,281.1699,295.2499,21.5984,271.2196,54.5572,313.5299,255.2099,76.5522,253.8099,307.8899,89.1898,319.8699,86.7764,282.5198,278.3299,73.8099,292.7598,319.3699,272.2299,315.2097,292.3899,306.3499,310.3699
144.0,144.0,73,2.5,281.46,281.46,295.54,21.5989,271.52,54.5581,313.82,255.46,76.5529,254.0,308.14,89.1936,320.12,86.7773,282.8,278.58,74.06,293.14,319.76,272.54,315.5,292.64,306.6,310.62
144.1667,144.1667,73,2.6667,281.77,281.77,295.81,21.5994,271.79,54.5589,314.13,255.79,76.5537,254.23,308.45,89.1974,320.41,86.7782,283.05,278.83,74.106,293.43,320.01,272.79,315.83,292.89,306.91,310.91
144.3333,144.3333,73,2.8333,282.0199,282.0199,296.0999,21.5998,272.0399,54.5598,314.3999,256.0399,76.5544,254.4399,308.7599,89.2799,320.7799,86.7791,283.3199,279.0999,74.1131,293.6799,320.3793,273.0799,316.1199,293.1599,307.2799,311.1997
144.5,144.5,74,1.0,282.36,282.36,296.45,21.77,272.37,54.75,314.83,256.29,76.5551,254.67,309.14,89.49,321.16,86.79,283.59,279.41,74.12,294.04,320.66,273.4,316.47,293.46,307.53,311.45
144.6667,144.6667,74,1.1667,282.62,282.62,296.86,22.02,272.66,55.0,315.38,256.56,76.5558,254.92,309.96,89.6606,321.44,86.8738,283.96,279.92,74.121,294.38,321.16,273.86,317.02,293.72,308.28,311.7
144.75,144.75,74,1.25,282.745,282.745,296.985,22.145,272.795,55.125,315.505,256.685,76.5562,255.045,310.085,89.6614,321.565,86.925,284.085,280.045,74.1215,294.505,321.285,273.985,317.145,293.885,308.405,311.825
144.8333,144.8333,74,1.3333,282.8699,282.8699,297.1099,22.2699,272.9499,55.1806,315.6299,256.8099,76.5566,255.1699,310.2099,89.6623,321.6899,87.0499,284.2099,280.1699,74.122,294.6299,321.4099,274.1099,317.2699,294.0099,308.5299,311.9499
145.0,145.0,74,1.5,283.12,283.12,297.36,22.52,273.2,55.1825,315.88,257.06,76.5573,255.42,310.46,89.6641,321.94,87.3,284.46,280.42,74.1231,294.88,321.66,274.36,317.52,294.26,308.78,312.2
145.1667,145.1667,74,1.6667,283.37,283.37,297.65,22.77,273.45,55.1845,316.15,257.33,76.558,255.67,310.71,89.6658,322.19,87.55,284.79,280.67,74.1241,295.13,321.95,274.61,317.87,294.57,309.05,312.45
145.3333,145.3333,74,1.8333,283.6199,283.6199,297.8999,23.0199,273.7599,55.1865,316.3999,257.5799,76.5587,255.9199,310.9599,89.6676,322.4399,87.7999,285.0399,280.9199,74.1251,295.3799,322.1999,274.8599,318.1199,294.8199,309.2999,312.6999
145.5,145.5,74,2.0,283.87,283.87,298.15,23.27,274.01,55.1885,316.65,257.83,76.5595,256.17,311.21,89.6694,322.77,87.8014,285.29,281.17,74.1261,295.65,322.45,275.11,318.37,295.07,309.55,312.95
145.6667,145.6667,74,2.1667,284.52,284.52,298.4,23.52,274.26,55.1905,317.04,258.08,76.62,256.42,311.46,89.6711,323.02,87.8028,285.54,281.42,74.1271,296.22,322.74,275.38,318.7,295.32,309.8,313.2
145.8333,145.8333,74,2.3333,284.8499,284.8499,298.9099,23.7699,274.5499,55.1925,317.5699,258.4699,76.8699,256.6699,311.8099,89.6729,323.5699,87.8041,285.8499,281.7299,74.1281,296.7099,323.0299,275.7699,318.9897,295.5699,310.0499,313.6699
146.0,146.0,74,2.5,285.1,285.1,299.16,24.02,274.8,55.1944,317.82,258.72,77.12,256.8,312.06,89.6746,323.82,87.8055,286.12,281.98,74.1291,296.96,323.3,276.02,319.26,295.82,310.3,313.92
146.1667,146.1667,74,2.6667,285.39,285.39,299.55,24.0856,275.17,55.1964,318.07,259.01,77.37,257.05,312.31,89.6764,324.27,87.8069,286.37,282.31,74.1301,297.37,323.55,276.29,319.55,296.09,310.73,314.17
146.3333,146.3333,74,2.8333,285.6799,285.6799,299.7999,24.0929,275.4199,55.1984,318.5199,259.2599,77.6199,257.2999,312.7599,89.6782,324.5199,87.8083,286.7599,282.5599,74.1311,297.6199,323.9199,276.6399,319.9999,296.3399,310.9799,314.4199
146.5,146.5,75,1.0,285.93,285.93,300.05,24.1,275.67,55.25,318.77,259.51,77.87,257.55,313.01,89.6799,324.79,87.8097,287.01,282.81,74.1321,297.87,324.17,276.91,320.25,296.59,311.23,314.67
146.6667,146.6667,75,1.1667,286.26,286.26,300.4,24.1011,275.92,55.2834,319.02,259.78,78.12,257.78,313.28,89.6817,325.06,87.811,287.26,283.06,74.1331,298.12,324.42,277.18,320.62,296.88,311.5,314.92
146.8333,146.8333,75,1.3333,286.5099,286.5099,300.6499,24.1022,276.1699,55.2872,319.2699,260.0299,78.3699,257.955,313.5299,89.6835,325.3099,87.8124,287.5099,283.3099,74.1341,298.3899,324.6699,277.4499,320.8699,297.1299,311.7499,315.1699
147.0,147.0,75,1.5,286.76,286.76,300.96,24.1033,276.46,55.2911,319.62,260.28,78.45,258.18,313.8,89.6852,325.62,87.8138,287.76,283.56,74.1351,298.78,325.1,277.7,321.12,297.38,312.02,315.42
147.1667,147.1667,75,1.6667,287.01,287.01,301.25,24.1044,276.71,55.2949,319.87,260.53,78.53,258.43,314.07,89.687,325.88,87.8152,288.01,283.81,74.1361,299.03,325.35,277.95,321.39,297.65,312.27,315.67
147.3333,147.3333,75,1.8333,287.2599,287.2599,301.5399,24.1056,277.0199,55.2988,320.1199,260.7799,78.7799,258.64,314.3999,89.6887,326.1999,87.8166,288.2599,284.1399,74.1371,299.2799,325.5999,278.1999,321.6599,297.8999,312.6199,315.9799
147.5,147.5,75,2.0,287.67,287.67,301.85,24.1067,277.29,55.47,320.57,261.03,79.03,258.89,314.91,89.6905,326.63,87.818,288.63,284.41,74.1381,299.89,326.0,278.59,322.03,298.17,312.99,316.23
147.6667,147.6667,75,2.1667,287.92,287.92,302.14,24.1078,277.56,55.603,320.82,261.28,79.0496,259.14,315.16,89.6923,326.88,87.8193,288.9,284.72,74.1391,300.14,326.26,278.88,322.28,298.42,313.26,316.56
147.8333,147.8333,75,2.3333,288.1699,288.1699,302.3899,24.1089,277.8798,55.6092,321.0699,261.5299,79.0596,259.3899,315.4099,89.694,327.1299,87.9499,289.1499,284.9699,74.1423,300.3899,326.5099,279.1299,322.5299,298.6699,313.5099,316.8099
148.0,148.0,75,2.5,288.56,288.56,302.7,24.11,278.14,55.6155,321.58,261.86,79.3,259.64,315.8,89.6958,327.5,88.2,289.42,285.24,74.1633,300.78,326.86,279.42,323.02,298.96,313.92,317.06
148.1667,148.1667,75,2.6667,289.01,289.01,303.15,24.1111,278.41,55.69,321.95,262.17,79.55,259.89,316.23,89.6975,327.97,88.45,289.83,285.57,74.33,301.24,327.29,279.81,323.45,299.23,314.35,317.39
148.25,148.25,75,2.75,289.135,289.135,303.275,24.1116,278.535,55.815,322.095,262.295,79.675,260.003,316.415,89.6984,328.095,88.4886,289.955,285.695,74.455,301.375,327.415,279.935,323.575,299.355,314.475,317.515
148.3333,148.3333,75,2.8333,289.2599,289.2599,303.3999,24.1122,278.6599,55.9399,322.2399,262.4199,79.7228,260.0599,316.5399,89.6993,328.2199,88.5,290.0799,285.8199,74.5799,301.4999,327.5399,280.0599,323.6999,299.4799,314.5999,317.6399
148.5,148.5,76,1.0,289.51,289.51,303.65,24.1133,278.95,56.07,322.49,262.67,79.7314,260.31,316.79,89.85,328.47,88.6439,290.33,286.07,74.83,301.79,327.79,280.31,323.95,299.73,314.85,317.89
148.6667,148.6667,76,1.1667,289.92,289.92,304.0,24.1144,279.26,56.285,322.78,262.94,79.74,260.56,317.24,90.1,328.92,88.6529,290.7,286.52,75.08,302.2,328.22,280.62,324.48,300.04,315.18,318.22
148.75,148.75,76,1.25,290.05,290.05,304.125,24.1149,279.385,56.3001,322.945,263.065,79.841,260.685,317.365,90.225,329.095,88.6573,290.825,286.645,75.205,302.325,328.345,280.745,324.605,300.185,315.305,318.345
148.8333,148.8333,76,1.3333,290.1899,290.1899,304.2499,24.1155,279.5099,56.3023,323.0699,263.1899,79.8833,260.8099,317.4899,90.3499,329.2499,88.7099,290.9499,286.7699,75.2233,302.4499,328.4699,280.8699,324.7299,300.3099,315.4299,318.4699
149.0,149.0,76,1.5,290.44,290.44,304.5,24.1166,279.76,56.3067,323.32,263.44,80.1,260.92,317.74,90.6,329.5,88.96,291.2,287.02,75.2309,302.7,328.72,281.12,324.98,300.56,315.68,318.72
149.1667,149.1667,76,1.6667,290.71,290.71,304.85,24.1177,280.01,56.3111,323.69,263.73,80.35,261.17,318.05,90.85,329.77,89.21,291.45,287.31,75.2385,303.05,328.97,281.47,325.29,300.83,316.05,318.97
149.25,149.25,76,1.75,290.875,290.875,304.995,24.1182,280.175,56.3132,323.85,263.915,80.475,261.295,318.195,90.975,329.895,89.335,291.575,287.435,75.315,303.195,329.095,281.595,325.435,300.995,316.275,319.095
149.3333,149.3333,76,1.8333,291.0199,291.0199,305.1199,24.1188,280.2999,56.3154,323.9799,264.0399,80.5999,261.4199,318.3399,91.0999,330.0199,89.4599,291.6999,287.5599,75.4399,303.3199,329.2399,281.7199,325.5599,301.1199,316.4399,319.2199
149.5,149.5,76,2.0,291.28,291.28,305.37,24.1199,280.66,56.3198,324.3,264.29,80.85,261.67,318.66,91.35,330.4,89.71,292.01,287.81,75.69,303.72,329.49,281.98,325.91,301.37,316.69,319.47
149.6667,149.6667,76,2.1667,291.56,291.56,305.68,24.1244,280.92,56.4218,324.7,264.54,81.1,261.92,319.02,91.6,330.68,89.96,292.38,288.14,75.94,304.12,329.74,282.32,326.2,301.66,316.98,319.72
149.75,149.75,76,2.25,291.685,291.685,305.805,24.1269,281.045,56.4233,324.825,264.665,81.1864,262.045,319.145,91.725,330.865,90.085,292.505,288.265,75.9402,304.245,329.865,282.445,326.345,301.785,317.105,319.845
149.8333,149.8333,76,2.3333,291.8297,291.8297,305.9299,24.1294,281.1798,56.4249,324.9499,264.7899,81.2299,262.1699,319.2699,91.8499,330.9998,90.2099,292.6299,288.3899,75.9404,304.3699,329.9899,282.5699,326.4699,301.9099,317.2299,319.9998
150.0,150.0,76,2.5,292.14,292.14,306.28,24.1344,281.44,56.428,325.24,265.04,81.2504,262.4,319.54,91.88,331.36,90.3231,292.88,288.64,75.9409,304.62,330.42,282.88,326.86,302.16,317.6,320.28
150.1667,150.1667,76,2.6667,292.61,292.61,306.59,24.1394,281.75,56.4311,325.63,265.37,81.29,262.65,319.89,91.977,331.83,90.3287,293.23,288.93,75.9413,304.93,330.67,283.17,327.25,302.47,317.99,320.53
150.25,150.25,76,2.75,292.735,292.735,306.715,24.1519,281.875,56.4327,325.755,265.495,81.415,262.775,320.015,92.075,331.955,90.3314,293.355,289.055,75.9415,305.275,330.795,283.315,327.375,302.595,318.115,320.775
150.3333,150.3333,76,2.8333,292.8599,292.8599,306.8399,24.2017,281.9999,56.4342,325.8799,265.6199,81.5399,262.8799,320.1599,92.1999,332.0799,90.3342,293.4799,289.1799,75.9417,305.4399,330.9199,283.4399,327.4999,302.7199,318.2598,320.9399
150.5,150.5,77,1.0,293.11,293.11,307.24,24.2409,282.35,56.4374,326.37,265.9,81.79,263.13,320.56,92.45,332.34,90.3398,293.73,289.61,75.9421,305.75,331.26,283.73,327.99,303.05,318.71,321.19
150.5833,150.5833,77,1.0833,293.2349,293.2349,307.3949,24.2523,282.4749,56.4389,326.5349,266.0349,81.9149,263.2549,320.6949,92.5749,332.4749,90.4549,293.8749,289.9149,75.9423,305.9349,331.3949,283.8749,328.1549,303.4149,318.8949,321.3149
150.6667,150.6667,77,1.1667,293.56,293.56,307.56,24.28,282.6,56.4401,327.06,266.38,82.04,263.38,321.18,92.7,332.6,90.58,294.04,290.06,75.9426,306.26,331.74,284.12,328.38,303.54,319.42,321.44
150.75,150.75,77,1.25,293.685,293.685,307.685,24.2803,282.725,56.4404,327.205,266.505,82.165,263.505,321.305,92.825,332.725,90.705,294.165,290.185,75.9428,306.41,331.865,284.245,328.505,303.665,319.545,321.565
150.8333,150.8333,77,1.3333,293.8099,293.8099,307.8099,24.2806,282.9192,56.4407,327.3398,266.6299,82.2899,263.6299,321.4992,92.9499,332.8699,90.8299,294.2899,290.3099,75.943,306.5499,331.9899,284.3699,328.6299,303.7899,319.6699,321.6998
150.9167,150.9167,77,1.4167,293.935,293.935,307.935,24.2809,283.115,56.441,327.475,266.755,82.415,263.755,321.695,93.075,332.995,90.955,294.435,290.435,75.9432,306.715,332.115,284.495,328.755,303.915,319.795,321.835
151.0,151.0,77,1.5,294.1,294.1,308.06,24.2812,283.3,56.4414,327.6,266.88,82.54,263.88,321.82,93.2,333.12,91.08,294.56,290.58,75.9434,306.88,332.28,284.62,328.88,304.08,319.92,321.96
151.5,151.5,77,2.0,294.85,294.85,308.83,24.2829,284.13,56.4432,328.35,267.63,82.5815,264.63,322.69,93.6801,333.93,91.1898,295.31,291.33,75.9447,307.63,333.03,285.39,329.69,304.83,320.69,322.71
152.0,152.0,77,2.5,295.84,295.84,309.92,24.2847,284.88,56.4451,329.46,268.38,82.5831,265.38,323.44,93.6805,335.16,91.28,296.4,292.16,75.946,308.7,334.08,286.3,330.98,305.58,321.64,323.54
152.5,152.5,78,1.0,297.03,297.03,310.85,24.2864,285.73,56.447,330.83,269.47,82.5848,266.01,324.33,93.6809,336.21,91.4019,297.19,293.09,75.9473,309.53,335.31,287.41,331.93,306.63,322.62,324.39
152.5833,152.5833,78,1.0833,297.1549,297.1549,311.0549,24.2867,285.8549,56.4473,330.9549,269.5949,82.585,266.1349,324.4749,93.681,336.5549,91.4023,297.3549,293.2149,75.9475,309.8349,335.4349,287.5349,332.2549,306.7549,322.8149,324.5149
152.6667,152.6667,78,1.1667,297.34,297.34,311.52,24.287,285.98,56.4476,331.68,269.72,82.5853,266.26,324.6,93.681,336.68,91.4027,297.52,293.34,75.9477,309.96,335.56,287.66,332.7,306.88,323.0,324.64
152.75,152.75,78,1.25,297.465,297.465,311.645,24.2873,286.105,56.4479,331.805,269.845,82.5856,266.385,324.725,93.6811,336.805,91.403,297.645,293.465,75.9479,310.105,335.685,287.785,332.825,307.005,323.125,324.765
152.8333,152.8333,78,1.3333,297.5899,297.5899,311.7699,24.2876,286.2299,56.4482,331.9299,269.9699,82.5858,266.5099,324.8899,93.6811,336.9299,91.4034,297.7699,293.5899,75.9481,310.2596,335.8099,287.9099,332.9499,307.1299,323.2499,324.8899
152.9167,152.9167,78,1.4167,297.715,297.715,311.895,24.2879,286.355,56.4485,332.055,270.095,82.5861,266.635,325.015,93.6812,337.055,91.4038,297.915,293.715,75.9483,310.415,335.935,288.035,333.075,307.255,323.39,325.015
153.0,153.0,78,1.5,297.84,297.84,312.02,24.2881,286.48,56.4488,332.2,270.22,82.5864,266.76,325.16,93.6813,337.18,91.4042,298.04,293.84,75.9485,310.54,336.06,288.16,333.2,307.38,323.56,325.14
153.5,153.5,78,2.0,298.59,298.59,312.77,24.2899,287.23,56.4507,332.95,270.97,82.588,267.51,325.95,93.6816,337.95,91.4064,298.79,294.59,75.9498,311.29,336.81,288.91,333.95,308.13,324.35,325.89
154.0,154.0,78,2.5,299.6,299.6,313.52,24.2916,288.4,56.4526,333.74,271.72,82.5896,268.26,327.1,93.682,338.86,91.4087,299.76,295.56,75.9511,312.24,337.8,289.66,335.0,308.9,325.48,326.64
154.5,154.5,79,1.0,300.63,300.63,314.45,24.2934,289.19,56.4545,334.81,272.45,82.5912,268.87,328.27,93.6824,339.79,91.4109,300.81,296.43,75.9524,313.41,339.11,290.39,335.97,309.83,326.42,327.39
155.0,155.0,79,1.5,301.5,301.5,315.26,24.2951,290.12,56.4564,335.98,273.2,82.5928,269.62,329.06,93.6828,340.78,91.4132,301.58,297.28,75.9537,314.2,339.88,291.36,337.06,310.58,327.4,328.14
155.5,155.5,79,2.0,302.43,302.43,316.03,24.2968,291.09,56.4582,337.19,274.01,82.5944,270.41,329.97,93.6831,341.81,91.4155,302.71,298.15,75.9549,315.39,340.95,292.23,337.99,311.55,328.55,328.89
156.0,156.0,79,2.5,303.56,303.56,317.12,24.2986,291.9,56.5,337.98,274.78,82.596,271.16,330.96,93.6835,342.8,91.4177,303.5,299.04,75.9562,316.22,341.88,293.06,340.08,312.32,329.42,329.66
156.5,156.5,80,1.0,304.35,304.35,318.21,24.4209,293.49,56.7434,339.25,276.01,82.5977,271.93,331.95,93.6839,343.89,91.42,304.67,300.07,75.9575,317.47,344.41,294.35,341.47,313.21,330.59,330.53
157.5,157.5,80,2.0,306.43,306.43,320.07,25.21,294.93,56.7533,341.57,277.53,83.01,273.51,333.75,93.6847,345.8,91.6092,306.43,301.9,75.99,319.27,345.79,295.85,342.79,314.76,332.82,332.5
157.75,157.75,80,2.25,306.83,306.83,320.505,25.3238,295.31,56.7558,342.065,277.885,83.385,273.865,334.245,93.6848,346.27,91.6121,306.805,302.355,76.0293,319.655,346.345,296.225,343.165,315.165,333.365,333.025
158.0,158.0,80,2.5,307.32,307.32,320.92,25.3293,295.76,56.7583,342.56,278.26,83.6,274.24,334.68,93.685,346.78,91.615,307.24,302.84,76.0395,320.1,347.0,296.6,343.86,315.56,333.92,333.52
158.25,158.25,80,2.75,307.735,307.735,321.395,25.3347,296.275,56.875,343.175,278.695,83.6308,274.615,335.21,93.6852,347.275,91.6179,307.69,303.35,76.135,320.705,347.875,297.095,344.425,316.015,334.485,334.14
158.5,158.5,81,1.0,308.22,308.22,321.83,25.35,296.75,57.25,343.67,279.12,83.71,275.01,335.67,93.6854,347.71,91.73,308.12,303.88,76.25,321.17,348.34,297.52,344.92,316.46,334.96,334.56
158.6667,158.6667,81,1.1667,308.48,308.48,322.16,25.4001,297.06,57.5,344.02,279.38,83.7404,275.26,336.14,93.6855,347.98,91.98,308.42,304.36,76.5,321.48,348.82,297.82,345.26,316.82,335.28,334.82
158.8333,158.8333,81,1.3333,308.7499,308.7499,322.4099,25.4002,297.3299,57.7499,344.4089,279.6697,83.7409,275.5099,336.4499,93.6857,348.4196,92.1401,308.6996,304.6099,76.7499,321.7299,349.0699,298.1099,345.7699,317.0899,335.5299,335.1299
159.0,159.0,81,1.5,309.0,309.0,322.72,25.4003,297.64,58.0,344.78,279.94,83.7414,275.76,336.72,93.6858,348.74,92.1406,308.98,304.86,77.0,321.98,349.32,298.36,346.04,317.36,335.78,335.38
159.1667,159.1667,81,1.6667,309.27,309.27,323.03,25.4004,297.95,58.25,345.05,280.19,83.7419,276.01,336.97,93.6859,349.01,92.141,309.23,305.13,77.001,322.4,349.81,298.61,346.33,317.63,336.29,335.65
159.3333,159.3333,81,1.8333,309.5199,309.5199,323.3199,25.4005,298.1999,58.4199,345.2999,280.4599,83.7423,276.2599,337.2599,93.686,349.3398,92.1414,309.6598,305.3799,77.002,322.6799,350.0599,298.9399,346.6198,317.8999,336.5599,336.0197
159.5,159.5,81,2.0,310.01,310.01,323.59,25.4006,298.59,58.66,345.73,280.71,83.7428,276.51,337.59,93.6862,349.59,92.1418,309.91,305.65,77.0029,323.11,350.31,299.27,346.93,318.15,336.87,336.32
159.6667,159.6667,81,2.1667,310.26,310.26,323.86,25.4007,299.26,58.6605,346.0,280.96,83.7433,276.76,337.84,93.6863,349.84,92.1422,310.16,305.9,77.0039,323.36,350.68,299.54,347.28,318.4,337.12,336.6
159.8333,159.8333,81,2.3333,310.6699,310.6699,324.1099,25.4008,299.5099,58.6609,346.4697,281.2398,83.7438,277.0099,338.0899,93.6864,350.2299,92.1426,310.4099,306.2899,77.0049,323.6099,350.9299,299.8097,347.5899,318.6499,337.3699,336.9299
160.0,160.0,81,2.5,310.94,310.94,324.36,25.4009,299.76,58.6614,346.86,281.5,83.7443,277.26,338.38,93.6865,350.58,92.143,310.66,306.58,77.0059,323.86,351.18,300.1,347.84,318.9,337.62,337.18
160.1667,160.1667,81,2.6667,311.2,311.2,324.75,25.401,300.03,58.6618,347.27,281.87,83.7447,277.51,339.13,93.6867,350.83,92.1435,310.97,307.04,77.0069,324.99,352.07,300.35,348.17,319.19,338.19,337.59
160.3333,160.3333,81,2.8333,311.5399,311.5399,324.9999,25.4011,300.2799,58.6623,347.5399,282.1599,83.7452,277.725,339.3799,93.6868,351.0799,92.1439,311.2199,307.2999,77.0078,325.2399,352.3399,300.6199,348.4999,319.4999,338.4799,337.8599
160.5,160.5,82,1.0,311.79,311.79,325.25,25.4012,300.53,58.6627,347.79,282.41,83.7457,277.93,339.63,93.6869,351.38,92.1443,311.47,307.55,77.0088,325.49,352.59,300.87,348.79,319.79,338.81,338.11
160.6667,160.6667,82,1.1667,312.04,312.04,325.5,25.4013,300.88,58.6632,348.04,282.66,83.7462,278.17,339.88,93.687,351.74,92.1447,311.72,307.82,77.0098,325.76,352.84,301.34,349.04,320.04,339.06,338.36
160.8333,160.8333,82,1.3333,312.2899,312.2899,325.7499,25.4014,301.1299,58.6636,348.2899,282.9099,83.7466,278.1953,340.1299,93.6872,352.0299,92.1451,311.9899,308.0699,77.0108,326.0099,353.0899,301.6099,349.3099,320.2899,339.3099,338.6099
161.0,161.0,82,1.5,312.54,312.54,326.0,25.4015,301.38,58.6641,348.54,283.16,83.7471,278.38,340.38,93.6873,352.28,92.1455,312.24,308.32,77.0118,326.26,353.32,301.86,349.56,320.54,339.58,338.86
161.1667,161.1667,82,1.6667,312.79,312.79,326.25,25.4016,301.63,58.6645,348.79,283.41,83.7476,278.63,340.63,93.6874,352.55,92.1459,312.49,308.57,77.0127,326.65,353.57,302.11,349.83,320.79,339.83,339.11
161.3333,161.3333,82,1.8333,313.0399,313.0399,326.4999,25.4018,301.8799,58.665,349.0399,283.6599,83.7481,278.8799,340.8799,93.6875,352.7999,92.1464,312.7399,308.8199,77.0137,326.8999,353.8199,302.3599,350.0799,321.0399,340.0799,339.3599
