qstamp,tstamp,measure,beat,Tromba 1,Tromba 2,Tromba 3,Timpani,Oboe 1,Oboe 2,Oboe 3,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto 1,Alto 2,Tenor,Bass,Continuo
47.3333,43.0303,12,4.3333,r,r,r,D3,F#5,D5,A4,D6,A5,D4,F#5,D5,A4,A4,F#4,D4,F#3
47.6667,43.3334,12,4.6667,r,r,r,D3,G5,E5,C#5,D6,A5,D4,E5,C#5,G4,A4,F#4,D4,F#3
47.75,43.4091,12,4.75,r,r,r,D3,G5,E5,C#5,A5,C#5,E5,E5,C#5,G4,A4,F#4,D4,A3
48.0,43.6364,13,1.0,F#5,D5,A4,D3,A5,F#5,D5,A5,F#5,D5,F#5,D5,A4,F#4,D4,D4,D4
48.3333,43.9394,13,1.3333,G5,E5,A4,D3,A5,F#5,D5,A5,F#5,D5,F#5,D5,A4,G4,E4,D4,D4
48.5,44.0909,13,1.5,G5,E5,A4,D3,A5,F#5,D5,A5,F#5,D5,F#5,D5,A4,G4,E4,D4,D4
48.625,44.2045,13,1.625,G5,E5,A4,D3,A5,F#5,D5,A5,F#5,D5,F#5,D5,A4,G4,E4,D4,D4
48.6667,44.2425,13,1.6667,A5,F#5,A4,D3,A5,F#5,D5,A5,F#5,D5,F#5,D5,A4,A4,F#4,D4,D4
48.75,44.3182,13,1.75,A5,F#5,A4,D3,A5,F#5,D5,F#5,D5,A4,F#5,D5,A4,A4,F#4,D4,D4
48.875,44.4318,13,1.875,A5,F#5,A4,D3,A5,F#5,D5,F#5,D5,A4,F#5,D5,A4,A4,F#4,D4,D4
49.0,44.5455,13,2.0,A5,F#5,D5,D3,F#5,D5,A4,A5,F#5,D5,D5,A4,F#4,A4,F#4,D3,D3
49.75,45.2273,13,2.75,A5,F#5,D5,D3,F#5,D5,A4,F#5,D5,A4,D5,A4,F#4,A4,F#4,D3,D3
50.0,45.4545,13,3.0,r,r,r,r,D5,A4,F#4,A5,F#5,D5,r,r,r,A4,F#4,r,r
50.3333,45.7575,13,3.3333,r,r,r,r,C#5,G4,E4,A5,F#5,D5,r,r,r,B4,G4,r,r
50.6667,46.0606,13,3.6667,r,r,r,r,D5,A4,F#4,A5,F#5,D5,r,r,r,A4,F#4,r,r
50.75,46.1364,13,3.75,r,r,r,r,D5,A4,F#4,D5,A4,F#4,r,r,r,A4,F#4,r,r
51.0,46.3636,13,4.0,r,r,r,r,E5,C#5,G4,C#5,G4,E4,r,r,r,G4,E4,r,r
51.3333,46.6666,13,4.3333,r,r,r,r,D5,B4,F#4,C#5,G4,E4,r,r,r,A4,F#4,r,r
51.6667,46.9697,13,4.6667,r,r,r,r,E5,C#5,G4,C#5,G4,E4,r,r,r,G4,E4,r,r
51.75,47.0455,13,4.75,r,r,r,r,E5,C#5,G4,G5,C#5,E4,r,r,r,G4,E4,r,r
52.0,47.2727,14,1.0,F#5,D5,A4,D3,F#5,D5,A4,F#5,A4,D4,D5,A4,F#4,F#4,D4,D4,D4
52.3333,47.5757,14,1.3333,G5,E5,A4,D3,F#5,D5,A4,F#5,A4,D4,D5,A4,F#4,G4,E4,D4,D4
52.5,47.7273,14,1.5,G5,E5,A4,D3,F#5,D5,A4,F#5,A4,D4,D5,A4,F#4,G4,E4,D4,D4
52.625,47.8409,14,1.625,G5,E5,A4,D3,F#5,D5,A4,F#5,A4,D4,D5,A4,F#4,G4,E4,D4,D4
52.6667,47.8788,14,1.6667,A5,F#5,A4,D3,F#5,D5,A4,F#5,A4,D4,D5,A4,F#4,A4,F#4,D4,D4
52.75,47.9545,14,1.75,A5,F#5,A4,D3,F#5,D5,A4,D5,F#4,A3,D5,A4,F#4,A4,F#4,D4,D4
52.875,48.0682,14,1.875,A5,F#5,A4,D3,F#5,D5,A4,D5,F#4,A3,D5,A4,F#4,A4,F#4,D4,D4
53.0,48.1818,14,2.0,A5,F#5,D5,D3,D5,A4,F#4,F#5,A4,D4,A4,F#4,D4,A4,F#4,D3,D3
53.75,48.8636,14,2.75,A5,F#5,D5,D3,D5,A4,F#4,D5,F#4,A4,A4,F#4,D4,A4,F#4,D3,D3
54.0,49.0909,14,3.0,r,r,r,r,E5,B4,G4,B4,D4,G4,r,r,B4,G4,D4,r,r
54.3333,49.3939,14,3.3333,r,r,r,r,D5,A4,F#4,B4,D4,G4,r,r,C5,A4,E4,r,r
54.6667,49.697,14,3.6667,r,r,r,r,E5,B4,G4,B4,D4,G4,r,r,B4,G4,D4,r,r
54.75,49.7727,14,3.75,r,r,r,r,E5,B4,G4,G5,B4,D5,r,r,B4,G4,D4,r,r
55.0,50.0,14,4.0,r,r,r,r,F#5,C5,A4,A4,C4,F#4,r,r,A4,F#4,C4,r,r
55.3333,50.303,14,4.3333,r,r,r,r,E5,B4,G4,A4,C4,F#4,r,r,B4,G4,D4,r,r
55.6667,50.6061,14,4.6667,r,r,r,r,F#5,C5,A4,A4,C4,F#4,r,r,A4,F#4,C4,r,r
55.75,50.6818,14,4.75,r,r,r,r,F#5,C5,A4,F#5,A4,C5,r,r,A4,F#4,C4,r,r
56.0,50.9091,15,1.0,B5,G5,D5,D3,G5,D5,B4,D5,G4,B4,G5,D5,G4,B4,B3,D4,D4
56.3333,51.2121,15,1.3333,C6,A5,D5,D3,G5,D5,B4,D5,G4,B4,G5,D5,A4,B4,C4,D4,D4
56.5,51.3636,15,1.5,C6,A5,D5,D3,G5,D5,B4,D5,G4,B4,G5,D5,A4,B4,C4,D4,D4
56.625,51.4773,15,1.625,C6,A5,D5,D3,G5,D5,B4,D5,G4,B4,G5,D5,A4,B4,C4,D4,D4
56.6667,51.5152,15,1.6667,D6,B5,D5,D3,G5,D5,B4,D5,G4,B4,G5,D5,B4,B4,D4,D4,D4
56.75,51.5909,15,1.75,D6,B5,D5,D3,G5,D5,B4,B4,D4,G4,G5,D5,B4,B4,D4,D4,D4
56.875,51.7045,15,1.875,D6,B5,D5,D3,G5,D5,B4,B4,D4,G4,G5,D5,B4,B4,D4,D4,D4
57.0,51.8182,15,2.0,D6,B5,G5,D3,D5,B4,G4,D5,G4,B4,D5,B4,B4,G4,D4,D3,D3
57.75,52.5,15,2.75,D6,B5,G5,D3,D5,B4,G4,B4,D4,G4,D5,B4,B4,G4,D4,D3,D3
58.0,52.7273,15,3.0,r,r,r,r,C#5,G4,E4,G5,E5,C#5,G5,E5,A4,A4,A3,r,r
58.3333,53.0303,15,3.3333,r,r,r,r,B4,F#4,D4,G5,E5,C#5,A5,F#5,A4,A4,A3,r,r
58.6667,53.3334,15,3.6667,r,r,r,r,C#5,G4,E4,r,r,r,G5,E5,A4,A4,A3,r,r
59.0,53.6364,15,4.0,r,r,r,r,D5,A4,F#4,F#5,D5,A4,F#5,D5,A4,A4,A3,r,r
59.3333,53.9394,15,4.3333,r,r,r,r,C#5,G4,E4,F#5,D5,A4,G5,E5,B4,A4,A3,r,r
59.6667,54.2425,15,4.6667,r,r,r,r,D5,A4,F#4,r,r,r,F#5,D5,A4,A4,A3,r,r
60.0,54.5455,16,1.0,r,r,r,r,E5,C#5,G4,E5,C#5,G4,E5,C#5,G4,A4,A3,r,r
60.3333,54.8485,16,1.3333,r,r,r,r,D5,B4,F#4,E5,C#5,G4,F#5,D5,A4,A4,A3,r,r
60.6667,55.1515,16,1.6667,r,r,r,r,E5,C#5,G4,r,r,r,E5,C#5,G4,A4,A3,r,r
61.0,55.4545,16,2.0,r,r,r,r,C#5,G4,E4,G5,E5,C#5,G5,E5,A4,A4,A3,r,r
61.3333,55.7575,16,2.3333,r,r,r,r,B4,F#4,D4,G5,E5,C#5,A5,F#5,A4,A4,A3,r,r
61.6667,56.0606,16,2.6667,r,r,r,r,C#5,G4,E4,r,r,r,G5,E5,A4,A4,A3,r,r
62.0,56.3636,16,3.0,r,r,r,r,D5,A4,F#4,F#5,D5,A4,F#5,D5,A4,A4,A3,r,r
62.3333,56.6666,16,3.3333,r,r,r,r,C#5,G4,E4,F#5,D5,A4,G5,E5,B4,A4,A3,r,r
62.6667,56.9697,16,3.6667,r,r,r,r,D5,A4,F#4,r,r,r,F#5,D5,A4,A4,A3,r,r
63.0,57.2727,16,4.0,r,r,r,r,E5,C#5,G4,E5,C#5,G4,E5,C#5,G4,A4,A3,r,r
63.3333,57.5757,16,4.3333,r,r,r,r,D5,B4,F#4,E5,C#5,G4,F#5,D5,A4,A4,A3,r,r
63.6667,57.8788,16,4.6667,r,r,r,r,E5,C#5,G4,r,r,r,E5,C#5,G4,A4,A3,r,r
64.0,58.1818,17,1.0,D6,A5,F#5,D3,F#5,D5,A4,D5,A4,F#4,F#5,D5,A4,F#4,D4,D4,D4
64.3333,58.4848,17,1.3333,D6,A5,F#5,D3,F#5,D5,A4,E5,C#5,G4,F#5,D5,A4,F#4,D4,D4,D4
64.5,58.6364,17,1.5,D6,A5,F#5,D3,F#5,D5,A4,E5,C#5,G4,F#5,D5,A4,F#4,D4,D4,D4
64.625,58.75,17,1.625,D6,A5,F#5,D3,F#5,D5,A4,E5,C#5,G4,F#5,D5,A4,F#4,D4,D4,D4
64.6667,58.7879,17,1.6667,D6,A5,F#5,D3,F#5,D5,A4,F#5,D5,A4,F#5,D5,A4,F#4,D4,D4,D4
64.75,58.8636,17,1.75,D6,A5,F#5,D3,D5,A4,F#4,F#5,D5,A4,F#5,D5,A4,F#4,D4,D4,D4
64.875,58.9773,17,1.875,D6,A5,F#5,D3,D5,A4,F#4,F#5,D5,A4,F#5,D5,A4,F#4,D4,D4,D4
65.0,59.0909,17,2.0,A5,F#5,D5,D3,F#5,D5,A4,D5,A4,F#4,F#5,D5,A4,F#4,D4,D3,D3
65.3333,59.3939,17,2.3333,A5,F#5,D5,D3,F#5,D5,A4,E5,C#5,G4,F#5,D5,A4,F#4,D4,D3,D3
65.6667,59.697,17,2.6667,A5,F#5,D5,D3,F#5,D5,A4,F#5,D5,A4,F#5,D5,A4,F#4,D4,D3,D3
65.75,59.7727,17,2.75,A5,F#5,D5,D3,D5,A4,F#4,F#5,D5,A4,F#5,D5,A4,F#4,D4,D3,D3
66.0,60.0,17,3.0,r,r,r,r,A5,F#5,D5,D5,A4,F#4,F#5,D5,A4,F#4,D4,C#4,C#4
66.3333,60.303,17,3.3333,r,r,r,r,A5,F#5,D5,E5,C#5,G4,F#5,D5,A4,F#4,D4,C#4,C#4
66.6667,60.6061,17,3.6667,r,r,r,r,A5,F#5,D5,F#5,D5,A4,F#5,D5,A4,F#4,D4,C#4,C#4
66.75,60.6818,17,3.75,r,r,r,r,F#5,D5,A4,F#5,D5,A4,F#5,D5,A4,F#4,D4,C#4,C#4
67.0,60.9091,17,4.0,r,r,r,r,A5,F#5,D5,D5,A4,F#4,F#5,D5,A4,F#4,D4,C#3,C#3
67.3333,61.2121,17,4.3333,r,r,r,r,A5,F#5,D5,E5,C#5,G4,F#5,D5,A4,F#4,D4,C#3,C#3
67.6667,61.5152,17,4.6667,r,r,r,r,A5,F#5,D5,F#5,D5,A4,F#5,D5,A4,F#4,D4,C#3,C#3
67.75,61.5909,17,4.75,r,r,r,r,F#5,D5,A4,F#5,D5,A4,F#5,D5,A4,F#4,D4,C#3,C#3
68.0,61.8182,18,1.0,r,r,r,r,B5,F#5,D5,D5,B4,F#4,F#5,D5,B4,F#4,D4,B3,B3
68.3333,62.1212,18,1.3333,r,r,r,r,B5,F#5,D5,E5,C#5,C#5,F#5,D5,B4,F#4,D4,B3,B3
68.6667,62.4243,18,1.6667,r,r,r,r,B5,F#5,D5,F#5,D5,B4,F#5,D5,B4,F#4,D4,B3,B3
68.75,62.5,18,1.75,r,r,r,r,F#5,D5,B4,F#5,D5,B4,F#5,D5,B4,F#4,D4,B3,B3
69.0,62.7273,18,2.0,r,r,r,r,B5,F#5,D5,D5,B4,F#4,F#5,D5,B4,F#4,D4,B2,B2
69.3333,63.0303,18,2.3333,r,r,r,r,B5,F#5,D5,E5,C#5,C#5,F#5,D5,B4,F#4,D4,B2,B2
69.6667,63.3334,18,2.6667,r,r,r,r,B5,F#5,D5,F#5,D5,B4,F#5,D5,B4,F#4,D4,B2,B2
69.75,63.4091,18,2.75,r,r,r,r,F#5,D5,B4,F#5,D5,B4,F#5,D5,B4,F#4,D4,B2,B2
70.0,63.6364,18,3.0,r,r,r,r,C#6,F#5,C#5,F#5,C#5,G4,F#5,C#5,F#4,C#4,F#4,B-3,B-3
70.3333,63.9394,18,3.3333,r,r,r,r,G5,E5,B4,F#5,C#5,G4,F#5,C#5,F#4,C#4,F#4,B-3,B-3
70.6667,64.2425,18,3.6667,r,r,r,r,F#5,D5,B-4,F#5,C#5,G4,F#5,C#5,F#4,C#4,F#4,B-3,B-3
70.75,64.3182,18,3.75,r,r,r,r,F#5,D5,B-4,F#5,C#5,G4,F#5,C#5,F#4,C#4,F#4,B-3,B-3
71.0,64.5455,18,4.0,r,r,r,r,E5,C#5,G4,r,r,r,F#5,C#5,F#4,C#4,F#4,B-3,B-2
71.3333,64.8485,18,4.3333,r,r,r,r,D5,B4,F#4,r,r,r,F#5,C#5,F#4,C#4,F#4,B-3,B-2
71.6667,65.1515,18,4.6667,r,r,r,r,C#5,C#5,E4,r,r,r,F#5,C#5,F#4,C#4,F#4,B-3,B-2
72.0,65.4545,19,1.0,D6,B5,F#5,D3,B4,F#4,D4,D5,B4,F#4,D5,B4,F#4,D4,B3,B3,B3
72.3333,65.7575,19,1.3333,D6,B5,F#5,D3,C#5,B-4,E4,D5,B4,F#4,D5,B4,F#4,D4,B3,B3,B3
72.5,65.9091,19,1.5,D6,B5,F#5,D3,C#5,B-4,E4,D5,B4,F#4,D5,B4,F#4,D4,B3,B3,B3
72.625,66.0227,19,1.625,D6,B5,F#5,D3,C#5,B-4,E4,D5,B4,F#4,D5,B4,F#4,D4,B3,B3,B3
72.6667,66.0606,19,1.6667,D6,B5,F#5,D3,D5,B4,F#4,D5,B4,F#4,D5,B4,F#4,D4,B3,B3,B3
72.75,66.1364,19,1.75,D6,B5,F#5,D3,D5,B4,F#4,B4,F#4,D4,D5,B4,F#4,D4,B3,B3,B3
72.875,66.25,19,1.875,D6,B5,F#5,D3,D5,B4,F#4,B4,F#4,D4,D5,B4,F#4,D4,B3,B3,B3
73.0,66.3636,19,2.0,B5,F#5,D5,D3,B4,F#4,D4,D5,B4,F#4,D5,B4,F#4,D4,B3,B2,B2
73.3333,66.6666,19,2.3333,B5,F#5,D5,D3,C#5,B-4,E4,D5,B4,F#4,D5,B4,F#4,D4,B3,B2,B2
73.6667,66.9697,19,2.6667,B5,F#5,D5,D3,D5,B4,F#4,D5,B4,F#4,D5,B4,F#4,D4,B3,B2,B2
73.75,67.0455,19,2.75,B5,F#5,D5,D3,D5,B4,F#4,B4,F#4,D4,D5,B4,F#4,D4,B3,B2,B2
74.0,67.2727,19,3.0,r,r,r,r,B4,F#4,D4,F#5,D5,B4,D5,B4,F#4,D4,B3,A3,A3
74.3333,67.5757,19,3.3333,r,r,r,r,C#5,A4,E4,F#5,D5,B4,D5,B4,F#4,D4,B3,A3,A3
74.6667,67.8788,19,3.6667,r,r,r,r,D5,B4,F#4,F#5,D5,B4,D5,B4,F#4,D4,B3,A3,A3
74.75,67.9545,19,3.75,r,r,r,r,D5,B4,F#4,D5,B4,F#4,D5,B4,F#4,D4,B3,A3,A3
75.0,68.1818,19,4.0,r,r,r,r,B4,F#4,D4,F#5,D5,B4,D5,B4,F#4,D4,B3,A2,A2
75.3333,68.4848,19,4.3333,r,r,r,r,C#5,A4,E4,F#5,D5,B4,D5,B4,F#4,D4,B3,A2,A2
75.6667,68.7879,19,4.6667,r,r,r,r,D5,B4,F#4,F#5,D5,B4,D5,B4,F#4,D4,B3,A2,A2
75.75,68.8636,19,4.75,r,r,r,r,D5,B4,F#4,D5,B4,F#4,D5,B4,F#4,D4,B3,A2,A2
76.0,69.0909,20,1.0,r,r,r,r,B4,G4,D4,G5,D5,B4,D5,B4,G4,D4,B3,G3,G3
76.3333,69.3939,20,1.3333,r,r,r,r,C#5,A4,A4,G5,D5,B4,D5,B4,G4,D4,B3,G3,G3
76.6667,69.697,20,1.6667,r,r,r,r,D5,B4,G4,G5,D5,B4,D5,B4,G4,D4,B3,G3,G3
76.75,69.7727,20,1.75,r,r,r,r,D5,B4,G4,D5,B4,G4,D5,B4,G4,D4,B3,G3,G3
77.0,70.0,20,2.0,r,r,r,r,B4,G4,D4,G5,D5,B4,D5,B4,G4,D4,B3,G2,G2
77.3333,70.303,20,2.3333,r,r,r,r,C#5,A4,A4,G5,D5,B4,D5,B4,G4,D4,B3,G2,G2
77.6667,70.6061,20,2.6667,r,r,r,r,D5,B4,G4,G5,D5,B4,D5,B4,G4,D4,B3,G2,G2
77.75,70.6818,20,2.75,r,r,r,r,D5,B4,G4,D5,B4,G4,D5,B4,G4,D4,B3,G2,G2
78.0,70.9091,20,3.0,r,r,r,r,D5,A4,D4,A5,D5,A4,D5,A4,D4,F#4,D4,F#3,F#3
78.3333,71.2121,20,3.3333,r,r,r,r,D5,A4,D4,E5,C5,G4,D5,A4,D4,F#4,D4,F#3,F#3
78.6667,71.5152,20,3.6667,r,r,r,r,D5,A4,D4,D5,B4,F#4,D5,A4,D4,F#4,D4,F#3,F#3
78.75,71.5909,20,3.75,r,r,r,r,D5,A4,D4,D5,B4,F#4,D5,A4,D4,F#4,D4,F#3,F#3
79.0,71.8182,20,4.0,r,r,r,r,r,r,r,C5,A4,E4,D5,A4,D4,F#4,D4,F#3,F#2
79.3333,72.1212,20,4.3333,r,r,r,r,r,r,r,B4,G4,D4,D5,A4,D4,F#4,D4,F#3,F#2
79.6667,72.4243,20,4.6667,r,r,r,r,r,r,r,A4,A4,C4,D5,A4,D4,F#4,D4,F#3,F#2
80.0,72.7273,21,1.0,D6,B5,G5,D3,B4,G4,D4,G4,D4,B3,D5,B4,G4,B3,G3,G3,G3
80.3333,73.0303,21,1.3333,D6,B5,G5,D3,B4,G4,D4,A4,F#4,C4,D5,B4,G4,B3,G3,G3,G3
80.5,73.1818,21,1.5,D6,B5,G5,D3,B4,G4,D4,A4,F#4,C4,D5,B4,G4,B3,G3,G3,G3
80.625,73.2955,21,1.625,D6,B5,G5,D3,B4,G4,D4,A4,F#4,C4,D5,B4,G4,B3,G3,G3,G3
80.6667,73.3334,21,1.6667,D6,B5,G5,D3,B4,G4,D4,B4,G4,D4,D5,B4,G4,B3,G3,G3,G3
80.75,73.4091,21,1.75,D6,B5,G5,D3,G4,D4,B4,B4,G4,D4,D5,B4,G4,B3,G3,G3,G3
80.875,73.5227,21,1.875,D6,B5,G5,D3,G4,D4,B4,B4,G4,D4,D5,B4,G4,B3,G3,G3,G3
81.0,73.6364,21,2.0,B5,G5,D5,D3,B4,G4,D4,G4,D4,B3,D5,B4,G4,B3,G3,G2,G2
81.3333,73.9394,21,2.3333,B5,G5,D5,D3,B4,G4,D4,A4,F#4,C4,D5,B4,G4,B3,G3,G2,G2
81.6667,74.2425,21,2.6667,B5,G5,D5,D3,B4,G4,D4,B4,G4,D4,D5,B4,G4,B3,G3,G2,G2
81.75,74.3182,21,2.75,B5,G5,D5,D3,G4,D4,B4,B4,G4,D4,D5,B4,G4,B3,G3,G2,G2
82.0,74.5455,21,3.0,r,r,r,r,D5,B4,G4,G4,D4,B3,D5,B4,G4,B3,G3,F#3,F#3
82.3333,74.8485,21,3.3333,r,r,r,r,D5,B4,G4,A4,F#4,C4,D5,B4,G4,B3,G3,F#3,F#3
82.6667,75.1515,21,3.6667,r,r,r,r,D5,B4,G4,B4,G4,D4,D5,B4,G4,B3,G3,F#3,F#3
82.75,75.2273,21,3.75,r,r,r,r,B4,G4,D4,B4,G4,D4,D5,B4,G4,B3,G3,F#3,F#3
83.0,75.4545,21,4.0,r,r,r,r,D5,B4,G4,G4,D4,B3,D5,B4,G4,B3,G3,F#2,F#2
83.3333,75.7575,21,4.3333,r,r,r,r,D5,B4,G4,A4,F#4,C4,D5,B4,G4,B3,G3,F#2,F#2
83.6667,76.0606,21,4.6667,r,r,r,r,D5,B4,G4,B4,G4,D4,D5,B4,G4,B3,G3,F#2,F#2
83.75,76.1364,21,4.75,r,r,r,r,B4,G4,D4,B4,G4,D4,D5,B4,G4,B3,G3,F#2,F#2
84.0,76.3636,22,1.0,r,r,r,r,E5,B4,G4,G4,E4,B3,E5,B4,G4,B3,G3,E3,E3
84.3333,76.6666,22,1.3333,r,r,r,r,E5,B4,G4,A4,F#4,F#4,E5,B4,G4,B3,G3,E3,E3
84.6667,76.9697,22,1.6667,r,r,r,r,E5,B4,G4,B4,G4,E4,E5,B4,G4,B3,G3,E3,E3
84.75,77.0455,22,1.75,r,r,r,r,B4,G4,E4,B4,G4,E4,E5,B4,G4,B3,G3,E3,E3
85.0,77.2727,22,2.0,r,r,r,r,E5,B4,G4,G4,E4,B3,E5,B4,G4,B3,G3,E2,E2
85.3333,77.5757,22,2.3333,r,r,r,r,E5,B4,G4,A4,F#4,F#4,E5,B4,G4,B3,G3,E2,E2
85.6667,77.8788,22,2.6667,r,r,r,r,E5,B4,G4,B4,G4,E4,E5,B4,G4,B3,G3,E2,E2
85.75,77.9545,22,2.75,r,r,r,r,B4,G4,E4,B4,G4,E4,E5,B4,G4,B3,G3,E2,E2
86.0,78.1818,22,3.0,r,r,r,r,F#5,B4,F#4,B4,F#4,B3,B4,B4,F#4,E-4,B3,E-3,E-3
86.3333,78.4848,22,3.3333,r,r,r,r,C6,A5,E4,B4,F#4,B3,B4,B4,F#4,E-4,B3,E-3,E-3
86.6667,78.7879,22,3.6667,r,r,r,r,B5,G5,E-4,B4,F#4,B3,B4,B4,F#4,E-4,B3,E-3,E-3
86.75,78.8636,22,3.75,r,r,r,r,B5,G5,E-4,B4,F#4,B3,B4,B4,F#4,E-4,B3,E-3,E-3
87.0,79.0909,22,4.0,r,r,r,r,A5,F#5,C5,r,r,r,B4,B4,F#4,E-4,B3,E-3,E-2
87.3333,79.3939,22,4.3333,r,r,r,r,G5,E5,B4,r,r,r,B4,B4,F#4,E-4,B3,E-3,E-2
87.6667,79.697,22,4.6667,r,r,r,r,F#5,F#5,A4,r,r,r,B4,B4,F#4,E-4,B3,E-3,E-2
88.0,80.0,23,1.0,r,r,r,r,E5,B4,G4,G5,E5,B4,E5,B4,G4,G4,B3,E4,E3
88.3333,80.303,23,1.3333,r,r,r,r,F#5,C#5,A4,G5,E5,B4,E5,B4,A4,F#4,C#4,E4,E3
88.6667,80.6061,23,1.6667,r,r,r,r,G5,D5,B4,G5,E5,B4,E5,B4,B4,G4,D4,E4,E3
88.75,80.6818,23,1.75,r,r,r,r,G5,D5,B4,E5,B4,G4,B4,B4,B4,G4,D4,E4,E3
89.0,80.9091,23,2.0,r,r,r,r,C#5,E5,G4,C#6,G5,E5,C#5,B-4,E4,C#4,E4,E3,E2
89.3333,81.2121,23,2.3333,r,r,r,r,D5,F#5,G4,C#6,G5,E5,C#5,B4,F#4,D4,E4,E3,E2
89.6667,81.5152,23,2.6667,r,r,r,r,E5,G5,G4,C#6,G5,E5,C#5,C#5,G4,E4,E4,E3,E2
89.75,81.5909,23,2.75,r,r,r,r,E5,G5,C#5,C#6,E5,C#5,C#5,C#5,G4,E4,E4,E3,E2
90.0,81.8182,23,3.0,r,r,r,r,F#5,B-4,D5,C#6,F#5,D5,C#5,D5,F#4,F#4,B-3,D4,D3
90.3333,82.1212,23,3.3333,r,r,r,r,G#5,B4,E5,C#6,F#5,D5,B4,D5,F#4,G#4,B-3,D4,D3
90.6667,82.4243,23,3.6667,r,r,r,r,B-5,C#5,F#5,C#6,F#5,D5,C#5,D5,F#4,B-4,B-3,D4,D3
90.75,82.5,23,3.75,r,r,r,r,B-5,C#5,F#5,F#5,D5,B-4,C#5,D5,F#4,B-4,B-3,D4,D3
91.0,82.7273,23,4.0,r,r,r,r,B5,D5,B4,B5,F#5,D5,B4,F#4,D4,B4,D4,D3,D2
91.3333,83.0303,23,4.3333,r,r,r,r,B-5,E5,C#5,B5,F#5,D5,B4,F#4,E4,B-4,D4,D3,D2
91.6667,83.3334,23,4.6667,r,r,r,r,B5,F#5,D5,B5,F#5,D5,B4,F#4,F#4,B4,D4,D3,D2
91.75,83.4091,23,4.75,r,r,r,r,B5,F#5,D5,B5,D5,B4,B4,F#4,F#4,B4,D4,D3,D2
92.0,83.6364,24,1.0,r,r,r,r,E5,G5,E5,B5,E5,C#5,B4,G4,E4,E4,E4,C#4,C#3
92.3333,83.9394,24,1.3333,r,r,r,r,F#5,B-4,E5,B5,E5,C#5,B-4,G4,D4,F#4,E4,C#4,C#3
92.6667,84.2425,24,1.6667,r,r,r,r,G5,B4,E5,B5,E5,C#5,B4,G4,C#4,G4,E4,C#4,C#3
92.75,84.3182,24,1.75,r,r,r,r,G5,B4,E4,C#6,C#5,E5,B4,E5,C#4,G4,E4,C#4,C#3
93.0,84.5455,24,2.0,r,r,r,r,F#5,C#5,B-4,B-5,E5,C#5,B-4,C#5,C#4,F#4,C#4,F#3,F#3
93.3333,84.8485,24,2.3333,r,r,r,r,G5,B4,B4,B-5,E5,C#5,B-4,C#5,C#4,G4,C#4,F#3,F#3
93.6667,85.1515,24,2.6667,r,r,r,r,E5,C#5,B-4,B-5,E5,C#5,B-4,C#5,C#4,E4,C#4,F#3,F#3
93.75,85.2273,24,2.75,r,r,r,r,E5,C#5,B-4,B-5,C#5,F#4,B-4,C#5,F#4,E4,C#4,F#3,F#3
94.0,85.4545,24,3.0,r,r,r,r,D5,B4,F#4,B5,D5,F#4,B4,B4,F#4,D4,D4,B3,B3
94.3333,85.7575,24,3.3333,r,r,r,r,C#5,B-4,E4,B5,D5,F#4,B4,B4,F#4,C#4,D4,B3,B3
94.6667,86.0606,24,3.6667,r,r,r,r,D5,B4,F#4,B5,D5,F#4,B4,B4,F#4,D4,D4,B3,B3
94.75,86.1364,24,3.75,r,r,r,r,D5,B4,F#4,F#5,D5,B4,B4,B4,F#4,D4,D4,B3,B3
95.0,86.3636,24,4.0,r,r,r,r,B4,F#4,D4,B5,F#5,D5,r,B4,F#4,B3,D4,B3,B2
95.3333,86.6666,24,4.3333,r,r,r,r,D5,B4,F#4,B5,F#5,D5,r,B4,F#4,C#4,D4,B3,B2
95.6667,86.9697,24,4.6667,r,r,r,r,F#5,D5,B4,B5,F#5,D5,r,B4,F#4,D4,D4,B3,B2
95.75,87.0455,24,4.75,r,r,r,r,F#5,D5,B4,F#5,D5,B4,r,B4,F#4,D4,D4,B3,B2
96.0,87.2727,25,1.0,r,r,r,r,G5,E5,B4,B4,G4,B3,E5,B4,G4,E4,B3,G3,E3
96.3333,87.5757,25,1.3333,r,r,r,r,G5,E5,B4,B4,G4,B3,E5,B4,G4,E-4,A3,F#3,E3
96.6667,87.8788,25,1.6667,r,r,r,r,G5,E5,B4,B4,G4,B3,E5,B4,G4,E4,B3,G3,E3
97.0,88.1818,25,2.0,r,r,r,r,G5,E5,B4,r,r,r,B4,G4,E4,G4,E4,B3,E2
97.3333,88.4848,25,2.3333,r,r,r,r,G5,E5,B4,r,r,r,B4,G4,E4,F#4,E-4,A3,E2
97.6667,88.7879,25,2.6667,r,r,r,r,G5,E5,B4,r,r,r,B4,G4,E4,G4,E4,B3,E2
98.0,89.0909,25,3.0,r,r,r,r,G5,E5,B4,r,r,r,G5,E5,B4,B4,G4,E4,r
98.3333,89.3939,25,3.3333,r,r,r,r,G5,E5,B4,r,r,r,A5,F#5,C5,B4,G4,E4,r
98.6667,89.697,25,3.6667,r,r,r,r,G5,E5,B4,r,r,r,G5,E5,B4,B4,G4,E4,r
99.0,90.0,25,4.0,r,r,r,r,G5,E5,B4,r,r,r,E5,B4,G4,E4,B3,G3,r
