qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,Bb (basso) Horn 3,Bb (basso) Horn 4,D Trumpet 1,D Trumpet 2,"D, A Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
93.5,63.75,47,2.5,D6,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,D5,A4,r,A3,r
93.75,63.9205,47,2.75,D6,A5,D5,r,A4,D4,r,r,A3,D3,r,r,r,r,r,A4,A4,r,A3,r
94.0,64.0909,48,1.0,D6,A5,D5,r,A4,D4,D2,D2,A3,D3,D4,D3,r,r,r,r,A4,r,A3,r
94.25,64.2614,48,1.25,D6,A5,D5,r,A4,D4,D2,D2,A3,D3,D4,D3,r,r,r,A4,A4,r,A3,r
94.5,64.4318,48,1.5,D6,A5,D5,r,A4,D4,D2,D2,A3,D3,D4,D3,r,r,r,A4,A4,r,A3,r
94.75,64.6023,48,1.75,D6,A5,D5,r,A4,D4,D2,D2,A3,D3,D4,D3,r,r,r,D4,A4,r,A3,r
95.0,64.7727,48,2.0,D6,A5,D5,r,A4,D4,D2,D2,A3,D3,D4,D3,r,r,r,r,A4,r,A3,r
95.1667,64.8864,48,2.1667,D6,A5,D5,r,A4,D4,D2,D2,A3,D3,D4,D3,r,r,r,r,A4,r,A3,r
95.25,64.9432,48,2.25,D6,A5,D5,r,A4,D4,D2,D2,A3,D3,D4,D3,r,r,r,r,A4,A3,A3,A2
95.3333,65.0,48,2.3333,D6,A5,D5,r,A4,D4,D2,D2,A3,D3,D4,D3,r,r,r,r,A4,A3,A3,A2
95.5,65.1136,48,2.5,D6,D6,D5,r,D5,D4,D2,D2,D4,D3,D4,D3,r,r,r,r,D5,A3,D4,A2
95.6667,65.2273,48,2.6667,D6,D6,D5,r,D5,D4,D2,D2,D4,D3,D4,D3,r,r,r,r,D5,A3,D4,A2
95.75,65.2841,48,2.75,D6,D6,D5,r,D5,D4,D2,D2,D4,D3,D4,D3,r,r,r,r,D5,D3,D4,D2
95.8333,65.3409,48,2.8333,D6,D6,D5,r,D5,D4,D2,D2,D4,D3,D4,D3,r,r,r,r,D5,D3,D4,D2
96.0,65.4545,49,1.0,D6,D6,D5,r,D5,D4,D2,D2,D4,D3,D4,D3,r,r,r,r,D5,r,D4,r
96.25,65.625,49,1.25,D6,D6,D5,r,D5,D4,D2,D2,D4,D3,D4,D3,r,r,r,D6,D5,r,D4,r
96.5,65.7955,49,1.5,D6,D6,D5,r,D5,D4,B-1,B-1,D4,D3,B-3,B-2,r,r,r,D6,D5,r,D4,r
96.75,65.9659,49,1.75,D6,D6,D5,r,D5,D4,B-1,B-1,D4,D3,B-3,B-2,r,r,r,D5,D5,r,D4,r
97.0,66.1364,49,2.0,F6,D6,D5,B-4,D5,D4,B-1,B-1,D4,D3,B-3,B-2,r,r,r,D5,D5,r,D4,r
97.25,66.3068,49,2.25,F6,D6,D5,B-4,D5,D4,B-1,B-1,D4,D3,B-3,B-2,r,r,r,D4,D5,D5,D4,r
97.5,66.4773,49,2.5,F6,D6,D5,B-4,D5,D4,B-1,B-1,D4,D3,B-3,B-2,r,r,r,D4,D5,D5,D4,r
97.75,66.6477,49,2.75,F6,D6,D5,B-4,D5,D4,B-1,B-1,D4,D3,B-3,B-2,r,r,r,D5,D5,D4,D4,r
98.0,66.8182,50,1.0,F6,D6,B-5,B-4,D5,D4,B-1,B-1,D4,D3,B-3,B-2,r,r,r,D5,D5,D4,D4,r
98.25,66.9886,50,1.25,F6,D6,B-5,B-4,D5,D4,B-1,B-1,D4,D3,B-3,B-2,r,r,r,D4,D5,D3,D4,r
98.5,67.1591,50,1.5,F6,D6,B-5,B-4,D5,D4,B-1,B-1,D4,D3,B-3,B-2,r,r,r,D4,D5,D3,D4,r
98.75,67.3295,50,1.75,F6,D6,B-5,B-4,D5,D4,B-1,B-1,D4,D3,B-3,B-2,r,r,r,D5,D5,D4,D4,r
99.0,67.5,50,2.0,F6,D6,B-5,B-4,D5,D4,B-1,B-1,D4,D3,B-3,B-2,r,r,r,D4,D5,D3,D4,r
99.1667,67.6137,50,2.1667,F6,D6,B-5,B-4,D5,D4,B-1,B-1,D4,D3,B-3,B-2,r,r,r,D4,D5,D3,D4,r
99.25,67.6705,50,2.25,F6,D6,B-5,B-4,D5,D4,B-1,B-1,D4,D3,B-3,B-2,r,r,r,D5,D5,D4,D4,r
99.3333,67.7273,50,2.3333,F6,D6,B-5,B-4,D5,D4,B-1,B-1,D4,D3,B-3,B-2,r,r,r,D5,D5,D4,D4,r
99.5,67.8409,50,2.5,F6,D6,B-5,B-4,D5,D4,B-1,B-1,D4,D3,B-3,B-2,r,r,r,D4,D5,D3,D4,r
99.875,68.0966,50,2.875,B-5,B-5,B-5,B-5,B-5,B-4,B-3,B-3,F4,F4,B-3,B-3,D5,D4,D3,B-5,B-5,B-4,B-3,B-2
100.0,68.1818,51,1.0,F6,F5,F5,F5,F5,F4,F3,F3,F4,F4,F4,F3,D5,D4,D3,F5,F5,F4,F3,F2
101.0,68.8636,51,2.0,F6,F5,F5,F5,F5,F4,F3,F3,F4,F4,F4,F3,D5,D4,D3,F5,F5,F4,F3,F2
