qstamp,tstamp,measure,beat,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Violin 1,Violin 2,Viola,Soprano 1,Alto 1,Tenor 1,Bass 1,Soprano 2,Alto 2,Tenor 2,Bass 2,Continuo
50.0,30.303,35,1.0,r,r,r,r,G5,G5,r,r,G5,B4,D4,G5,B4,D4,G2,r,r,r,r,G2
50.25,30.4545,35,1.1667,r,r,r,r,A5,A5,r,r,G5,B4,D4,G5,B4,D4,F#2,r,r,r,r,F#2
50.5,30.6061,35,1.3333,r,r,r,r,B5,B5,r,r,G5,B4,D4,G5,B4,D4,G2,r,r,r,r,G2
50.75,30.7576,35,1.5,r,r,r,r,C6,C6,r,r,G5,B4,D4,G5,B4,D4,A2,r,r,r,r,A2
51.0,30.9091,35,1.6667,r,r,r,r,D6,D6,G5,B4,r,r,r,G5,B4,D4,B2,G4,G4,G3,G2,B2
51.25,31.0606,35,1.8333,r,r,r,r,D6,D6,G5,B4,r,r,r,G5,B4,D4,C3,G4,G4,G3,G2,C3
51.5,31.2121,36,1.0,r,r,r,r,D6,D6,G5,B4,r,r,r,G5,B4,D4,D3,D5,D5,D4,D3,D3
51.75,31.3636,36,1.1667,r,r,r,r,D6,D6,G5,B4,r,r,r,G5,B4,D4,C3,D5,D5,D4,D3,C3
52.0,31.5152,36,1.3333,r,r,r,r,D5,D5,F#5,A4,r,r,r,F#5,A4,D4,D3,D5,D4,D4,D3,D3
52.25,31.6667,36,1.5,r,r,r,r,C5,C5,E5,G4,r,r,r,E5,G4,D4,E3,D5,D4,D4,D3,E3
52.5,31.8182,36,1.6667,r,r,r,r,D5,D5,D5,A4,r,r,r,D5,A4,D4,F#3,D5,D4,D4,D3,F#3
52.75,31.9697,36,1.8333,r,r,r,r,D5,D5,C5,F#4,r,r,r,C5,F#4,D4,D3,D5,D4,D4,D3,D3
53.0,32.1212,37,1.0,r,r,r,r,D5,D5,B4,G4,r,r,r,B4,G4,D4,G3,G5,G4,G4,G3,G3
53.25,32.2727,37,1.1667,r,r,r,r,E5,E5,B4,G4,r,r,r,B4,G4,D4,G3,G5,G4,G4,G3,G3
53.5,32.4242,37,1.3333,r,r,r,r,F#5,F#5,A4,F#4,r,r,r,A4,F#4,D4,D3,D5,D4,D4,D3,D3
53.75,32.5758,37,1.5,r,r,r,r,G5,G5,A4,F#4,r,r,r,A4,F#4,D4,D3,D5,D4,D4,D3,D3
54.0,32.7273,37,1.6667,r,r,r,r,A5,A5,r,r,B4,F#4,B3,B4,F#4,B3,E-3,r,r,r,r,E-3
54.25,32.8788,37,1.8333,r,r,r,r,F#5,F#5,r,r,B4,F#4,B3,B4,F#4,B3,E-3,r,r,r,r,E-3
54.5,33.0303,38,1.0,r,r,r,r,G5,G5,r,r,G4,E4,B4,G4,E4,B3,E3,r,r,r,r,E3
54.75,33.1818,38,1.1667,r,r,r,r,E5,E5,r,r,G4,E4,B4,G4,E4,B3,E3,r,r,r,r,E3
55.0,33.3333,38,1.3333,r,r,r,r,C6,C6,r,r,F#4,E4,A4,F#4,E4,C4,A2,r,r,r,r,A2
55.25,33.4848,38,1.5,r,r,r,r,C6,C6,r,r,G4,E4,A4,G4,E4,C4,A2,r,r,r,r,A2
55.5,33.6364,38,1.6667,r,r,r,r,E-5,E-5,r,r,A4,B3,F#4,A4,E-4,B3,B2,r,r,r,r,B2
55.75,33.7879,38,1.8333,r,r,r,r,E-5,E-5,r,r,F#4,B3,F#4,F#4,E-4,B3,B2,r,r,r,r,B2
56.0,33.9394,39,1.0,r,r,r,r,E5,E5,r,r,G4,B3,E4,G4,E4,B3,E3,r,r,r,r,E3
56.25,34.0909,39,1.1667,r,r,r,r,D5,D5,r,r,G4,B3,E4,G4,E4,B3,F#3,r,r,r,r,F#3
56.5,34.2424,39,1.3333,r,r,r,r,E5,E5,r,r,G4,C#4,E4,G4,E4,C#4,E3,r,r,r,r,E3
56.75,34.3939,39,1.5,r,r,r,r,F#5,F#5,r,r,G4,C#4,E4,G4,E4,C#4,D3,r,r,r,r,D3
57.0,34.5455,39,1.6667,r,r,r,r,G5,G5,r,r,G4,D4,D4,G4,E4,D4,C#3,r,r,B3,r,C#3
57.25,34.697,39,1.8333,r,r,r,r,E5,E5,r,r,G4,D4,D4,G4,E4,D4,B2,r,r,B3,r,B2
57.5,34.8485,40,1.0,r,r,r,r,A5,A5,r,r,G4,E4,C#4,G4,E4,C#4,A2,r,r,C#4,r,A2
57.75,35.0,40,1.1667,r,r,r,r,A5,A5,r,r,G4,E4,D4,G4,E4,D4,A2,r,r,B3,r,A2
58.0,35.1515,40,1.3333,r,r,r,r,G5,E5,r,r,G4,E4,E4,G4,E4,E4,C#3,r,r,A3,r,C#3
58.25,35.303,40,1.5,r,r,r,r,G5,E5,r,r,G4,E4,C#4,G4,E4,C#4,C#3,r,r,C#4,r,C#3
58.5,35.4545,40,1.6667,r,r,r,r,G5,E5,r,r,G4,E4,D4,G4,E4,D4,E3,r,r,B3,r,E3
58.75,35.6061,40,1.8333,r,r,r,r,G5,E5,r,r,G4,E4,B3,G4,E4,B3,E3,r,r,D4,r,E3
59.0,35.7576,41,1.0,r,r,r,r,G5,E5,r,r,G4,E4,C#4,G4,E4,C#4,A3,r,r,C#4,r,A3
59.25,35.9091,41,1.1667,r,r,r,r,G5,E5,r,r,G4,E4,C#4,G4,E4,C#4,A3,r,r,B3,r,A3
59.5,36.0606,41,1.3333,r,r,r,r,r,r,E5,C#5,E4,C#4,E4,E4,C#4,E4,A2,r,r,C#4,r,A2
59.75,36.2121,41,1.5,r,r,r,r,r,r,E5,C#5,E4,C#4,E4,E4,C#4,E4,A2,r,r,D4,r,A2
60.0,36.3636,41,1.6667,r,r,r,r,r,r,A4,E4,A4,E4,C#4,A4,E4,C#4,G3,r,E4,B3,r,G2
60.25,36.5152,41,1.8333,r,r,r,r,r,r,A4,E4,A4,E4,C#4,A4,E4,C#4,G3,r,E4,C#4,r,G2
60.5,36.6667,42,1.0,r,r,r,r,r,r,D5,A4,D5,A4,A3,D5,A4,A3,F#3,r,F#4,D4,r,F#2
60.75,36.8182,42,1.1667,r,r,r,r,r,r,D5,A4,D5,A4,A3,D5,A4,A3,G3,r,E4,D4,r,F#2
61.0,36.9697,42,1.3333,r,r,r,r,r,r,r,r,A4,F#4,D4,F#5,A4,A3,A3,r,D4,A3,r,F#3
61.25,37.1212,42,1.5,r,r,r,r,r,r,r,r,A4,F#4,D4,D5,F#4,A3,A3,r,F#4,D4,r,F#3
61.5,37.2727,42,1.6667,r,r,r,r,r,r,r,r,G4,E4,C#4,E5,G4,A3,A2,r,E4,C#4,r,A3
61.75,37.4242,42,1.8333,r,r,r,r,r,r,r,r,G4,E4,C#4,C#5,E4,A3,A2,r,G4,E4,r,A3
62.0,37.5758,43,1.0,r,r,r,r,r,r,r,r,F#4,D4,A3,D5,F#4,A3,D3,r,F#4,D4,r,D4
62.25,37.7273,43,1.1667,r,r,r,r,r,r,r,r,F#4,D4,A3,D5,F#4,A3,D3,r,E4,C#4,r,D4
62.5,37.8788,43,1.3333,r,r,r,r,F#5,D5,r,r,r,r,r,D4,F#4,A3,D3,r,F#4,D4,r,D3
62.75,38.0303,43,1.5,r,r,r,r,F#5,D5,r,r,r,r,r,D4,F#4,A3,D3,r,G#4,E4,r,D3
63.0,38.1818,43,1.6667,r,r,r,r,B5,F#5,r,r,r,r,r,r,r,r,r,r,E4,C#4,D3,B2
63.25,38.3333,43,1.8333,r,r,r,r,B5,F#5,r,r,r,r,r,r,r,r,r,r,F#4,D4,D3,B2
63.5,38.4848,44,1.0,r,r,r,r,G#5,E5,r,r,r,r,r,r,r,r,r,r,G#4,B3,E3,E3
63.75,38.6364,44,1.1667,r,r,r,r,G#5,E5,r,r,r,r,r,r,r,r,r,r,B4,B3,D3,E3
64.0,38.7879,44,1.3333,r,r,r,r,r,r,A5,E5,r,r,r,r,r,r,r,r,A4,E4,C#3,E3
64.25,38.9394,44,1.5,r,r,r,r,r,r,A5,E5,r,r,r,r,r,r,r,r,C#5,E4,E3,E3
64.5,39.0909,44,1.6667,r,r,r,r,r,r,F#5,A4,r,r,r,r,r,r,r,r,B4,F#4,E-3,E3
64.75,39.2424,44,1.8333,r,r,r,r,r,r,F#5,A4,r,r,r,r,r,r,r,r,A4,F#4,F#3,E3
65.0,39.3939,45,1.0,r,r,r,r,r,r,E5,B4,r,r,r,r,r,r,r,r,G#4,B3,E3,E3
65.25,39.5455,45,1.1667,r,r,r,r,r,r,E5,B4,r,r,r,r,r,r,r,r,F#4,B3,E-3,E3
65.5,39.697,45,1.3333,r,r,r,r,r,r,r,r,B4,G#4,E4,r,r,r,r,r,G#4,E4,E3,D3
65.75,39.8485,45,1.5,r,r,r,r,r,r,r,r,B4,G#4,E4,r,r,r,r,r,A4,E4,F#3,D3
66.0,40.0,45,1.6667,r,r,r,r,r,r,r,r,C#5,F4,G#4,r,r,r,r,G#4,B4,G#4,E-3,C#3
66.25,40.1515,45,1.8333,r,r,r,r,r,r,r,r,C#5,F4,G#4,r,r,r,r,G#4,C#5,G#4,F3,C#3
66.5,40.303,46,1.0,r,r,r,r,r,r,r,r,A4,C#4,F#4,r,r,r,r,A4,A4,C#4,F#3,F#3
66.75,40.4545,46,1.1667,r,r,r,r,r,r,r,r,A4,C#4,F#4,r,r,r,r,G#4,B4,C#4,F#3,F#3
67.0,40.6061,46,1.3333,r,r,r,r,C#6,A5,r,r,r,r,r,r,r,r,r,F#4,C#5,C#4,C#3,A2
67.25,40.7576,46,1.5,r,r,r,r,C#6,A5,r,r,r,r,r,r,r,r,r,A4,A4,C#4,F#3,A2
67.5,40.9091,46,1.6667,r,r,r,r,B5,F5,r,r,r,r,r,r,r,r,r,G#4,B4,C#4,F3,C#3
67.75,41.0606,46,1.8333,r,r,r,r,B5,F5,r,r,r,r,r,r,r,r,r,B4,G#4,C#4,G#3,C#3
68.0,41.2121,47,1.0,r,r,r,r,A5,C#5,r,r,r,r,r,r,r,r,r,A4,A4,C#4,F#3,F#3
68.25,41.3636,47,1.1667,r,r,r,r,A5,C#5,r,r,r,r,r,r,r,r,r,G#4,A4,C#4,E3,E3
68.5,41.5152,47,1.3333,r,r,r,r,r,r,A4,F#4,r,r,r,r,r,r,r,A4,F#4,C#4,F#3,F#3
68.75,41.6667,47,1.5,r,r,r,r,r,r,A4,F#4,r,r,r,r,r,r,r,B4,F#4,B3,G#3,G#3
69.0,41.8182,47,1.6667,r,r,r,r,r,r,F#5,C#5,r,r,r,r,r,r,r,G#4,C#5,C#4,E3,E3
69.25,41.9697,47,1.8333,r,r,r,r,r,r,F#5,C#5,r,r,r,r,r,r,r,A4,C#5,A3,F#3,F#3
69.5,42.1212,48,1.0,r,r,r,r,r,r,E5,B4,r,r,r,r,r,r,r,B4,B4,E4,G#3,G#3
69.75,42.2727,48,1.1667,r,r,r,r,r,r,E5,B4,r,r,r,r,r,r,r,A4,B4,E4,F#3,F#3
70.0,42.4242,48,1.3333,r,r,r,r,r,r,r,r,E4,B4,G#4,r,r,r,r,G#4,B3,E4,E3,E3
70.25,42.5758,48,1.5,r,r,r,r,r,r,r,r,E4,B4,G#4,r,r,r,r,B4,B3,E4,G#3,G#3
70.5,42.7273,48,1.6667,r,r,r,r,A4,A4,A4,A4,A4,A4,A4,r,r,r,r,A4,D4,E4,F#3,F#3
70.75,42.8788,48,1.8333,r,r,r,r,A4,A4,A4,A4,A4,A4,A4,r,r,r,r,C#5,D4,E4,A3,A3
71.0,43.0303,49,1.0,r,r,r,r,E5,E5,E5,E5,E5,E5,E5,r,r,r,r,B4,D4,E4,G#3,G#3
71.25,43.1818,49,1.1667,r,r,r,r,E5,E5,E5,E5,E5,E5,E5,r,r,r,r,A4,D4,E4,F#3,F#3
71.5,43.3333,49,1.3333,r,r,r,r,E5,E5,E5,E5,E5,E5,E5,r,r,r,r,B4,E4,E4,G#3,G#3
71.75,43.4848,49,1.5,r,r,r,r,E5,E5,E5,E5,E5,E5,E5,r,r,r,r,C#5,C#4,E4,A3,A3
72.0,43.6364,49,1.6667,r,r,r,r,E5,E5,E5,E5,E5,E5,E5,r,r,r,r,A4,D4,E4,F#3,F#3
72.25,43.7879,49,1.8333,r,r,r,r,E5,E5,E5,E5,E5,E5,E5,r,r,r,r,B4,D4,E4,G#3,G#3
72.5,43.9394,50,1.0,r,r,r,r,A5,A5,A5,A5,A5,A5,A4,r,r,r,r,C#5,C#4,E4,A3,A3
72.75,44.0909,50,1.1667,r,r,r,r,A5,A5,A5,A5,A5,A5,A4,r,r,r,r,B4,C#4,E4,A3,A3
73.0,44.2424,50,1.3333,r,r,r,r,E5,E5,E5,E5,E5,E5,E5,r,r,r,r,A4,E4,A4,C#3,C#3
73.25,44.3939,50,1.5,r,r,r,r,C#5,C#5,C#5,C#5,C#5,C#5,C#5,r,r,r,r,C#5,E4,A4,C#3,C#3
73.5,44.5455,50,1.6667,r,r,r,r,D5,D5,D5,D5,D5,D5,D5,r,r,r,r,B4,G#4,E4,E3,E3
73.75,44.697,50,1.8333,r,r,r,r,B4,B4,B4,B4,B4,B4,B4,r,r,r,r,D5,G#4,E4,E3,E3
74.0,44.8485,51,1.0,r,r,r,r,C#5,C#5,C#5,C#5,C#5,C#5,C#5,r,r,r,r,C#5,A4,E4,A2,A2
74.25,45.0,51,1.1667,r,r,r,r,B4,B4,C#5,C#5,C#5,D5,C#5,r,r,r,r,C#5,A4,E4,G#2,G#2
74.5,45.1515,51,1.3333,r,r,r,r,C#5,C#5,C#5,E4,E5,C#5,A4,r,r,r,r,C#5,A4,E4,A2,A2
74.75,45.303,51,1.5,r,r,r,r,D5,D5,C#5,E4,E5,B4,A4,r,r,r,r,C#5,A4,E4,B2,B2
75.0,45.4545,51,1.6667,A4,r,r,r,E5,E5,C#5,A4,C#5,A4,E4,A4,A3,A3,A2,C#5,A4,E4,C#3,C#3
75.25,45.6061,51,1.8333,A4,r,r,r,E5,E5,C#5,A4,C#5,A4,E4,A4,A3,A3,A2,C#5,A4,E4,D3,D3
75.5,45.7576,52,1.0,E5,r,r,r,E5,E5,C#5,A4,C#5,A4,E4,E5,E4,E4,E3,C#5,A4,E4,E3,E3
75.75,45.9091,52,1.1667,E5,r,r,r,F#5,F#5,C#5,A4,C#5,A4,E4,E5,E4,E4,E3,C#5,A4,E4,D3,D3
76.0,46.0606,52,1.3333,E5,r,r,r,E5,E5,B4,G#4,B4,G#4,E4,E5,E4,E4,E3,B4,G#4,E4,E3,E3
76.25,46.2121,52,1.5,E5,r,r,r,D5,D5,B4,A4,B4,A4,E4,E5,E4,E4,E3,B4,A4,E4,F#3,F#3
76.5,46.3636,52,1.6667,E5,r,r,r,E5,E5,E5,B4,E5,B4,E4,E5,E4,E4,E3,E5,B4,E4,G#3,G#3
76.75,46.5152,52,1.8333,E5,r,r,r,B4,B4,E5,G#4,E5,G#4,E4,E5,E4,E4,E3,E5,G#4,E4,E3,E3
77.0,46.6667,53,1.0,A5,r,r,r,C#5,C#5,C#5,A4,C#5,A4,E4,A5,A4,A4,A3,C#5,A4,E4,A3,A3
77.25,46.8182,53,1.1667,A5,r,r,r,D5,D5,C#5,A4,C#5,A4,E4,A5,A4,A4,A3,C#5,A4,E4,A3,A3
77.5,46.9697,53,1.3333,E5,r,r,r,E5,E5,B4,G#4,B4,G#4,E4,E5,E4,E4,E3,B4,G#4,E4,E3,E3
77.75,47.1212,53,1.5,E5,r,r,r,D5,D5,B4,F#4,B4,F#4,E4,E5,E4,E4,E3,B4,G#4,E4,E3,E3
78.0,47.2727,53,1.6667,r,r,r,r,C#5,C#5,C#5,G#4,C#5,G#4,G#4,r,r,r,r,C#5,G#4,C#4,F3,F3
78.25,47.4242,53,1.8333,r,r,r,r,B4,B4,C#5,G#4,C#5,G#4,G#4,r,r,r,r,C#5,G#4,C#4,F3,F3
78.5,47.5758,54,1.0,r,r,r,r,A4,A4,A4,F#4,A4,F#4,C#4,r,r,r,r,A4,F#4,C#4,F#3,F#3
78.75,47.7273,54,1.1667,r,r,r,r,B4,B4,A4,F#4,A4,F#4,C#4,r,r,r,r,A4,F#4,C#4,F#3,F#3
79.0,47.8788,54,1.3333,r,r,r,r,G#4,G#4,B4,G#4,B4,G#4,D4,r,r,r,r,B4,G#4,D4,B2,B2
79.25,48.0303,54,1.5,r,r,r,r,A4,A4,B4,G#4,B4,G#4,D4,r,r,r,r,A4,G#4,D4,B2,B2
79.5,48.1818,54,1.6667,r,r,r,r,B4,B4,G#4,F4,G#4,F4,C#4,r,r,r,r,B4,F4,C#4,C#3,C#3
79.75,48.3333,54,1.8333,r,r,r,r,G#4,G#4,G#4,F4,G#4,F4,C#4,r,r,r,r,G#4,F4,C#4,C#3,C#3
80.0,48.4848,55,1.0,r,r,r,r,A4,A4,A4,F#4,A4,F#4,C#4,r,r,r,r,A4,F#4,C#4,F#3,F#2
80.25,48.6364,55,1.1667,r,r,r,r,G#4,G#4,A4,F#4,A4,F#4,C#4,r,r,r,r,A4,F#4,C#4,F3,F2
80.5,48.7879,55,1.3333,r,r,r,r,A4,A4,F#4,F#4,A4,F#4,C#4,r,r,r,r,A4,F#4,C#4,F#3,F#2
80.75,48.9394,55,1.5,r,r,r,r,B4,B4,F#4,F#4,A4,F#4,C#4,r,r,r,r,A4,F#4,C#4,G#3,G#2
81.0,49.0909,55,1.6667,r,r,r,r,C#5,C#5,r,r,A4,F#4,C#4,F#4,F#4,F#3,F#2,A4,F#4,C#4,A3,A2
81.25,49.2424,55,1.8333,r,r,r,r,C#5,C#5,r,r,A4,F#4,C#4,F#4,F#4,F#3,F#2,A4,F#4,C#4,B3,B2
81.5,49.3939,56,1.0,r,r,r,r,C#5,C#5,r,r,A4,F#4,C#4,C#5,C#5,C#4,C#3,A4,F#4,C#4,C#4,C#3
81.75,49.5455,56,1.1667,r,r,r,r,D5,D5,r,r,A4,F#4,C#4,C#5,C#5,C#4,C#3,A4,F#4,C#4,C#4,B2
82.0,49.697,56,1.3333,r,r,r,r,C#5,C#5,r,r,G#4,F4,C#4,C#5,C#4,C#4,C#3,G#4,F4,C#4,C#3,C#3
82.25,49.8485,56,1.5,r,r,r,r,B4,B4,r,r,G#4,F4,C#4,C#5,C#4,C#4,C#3,G#4,F4,C#4,E-3,E-3
82.5,50.0,56,1.6667,r,r,r,r,C#5,C#5,r,r,C#5,G#4,C#4,C#5,C#4,C#4,C#3,C#5,C#4,C#4,F3,F3
82.75,50.1515,56,1.8333,r,r,r,r,G#4,G#4,r,r,C#5,G#4,C#4,C#5,C#4,C#4,C#3,C#5,C#4,C#4,C#3,C#3
83.0,50.303,57,1.0,r,r,r,r,A4,A4,r,r,A4,F#4,C#4,F#5,F#4,F#4,F#3,A4,C#5,C#4,F#3,F#3
83.25,50.4545,57,1.1667,r,r,r,r,G#4,G#4,r,r,A4,F#4,C#4,F#5,F#4,F#4,F#3,G#4,B4,D4,F#3,F#3
83.5,50.6061,57,1.3333,r,r,r,r,F#4,F#4,r,r,F#4,C#4,F#4,C#5,C#4,C#4,C#3,F#4,A4,C#4,F#3,F#2
83.75,50.7576,57,1.5,r,r,r,r,G#4,G#4,r,r,F#4,C#4,F#4,C#5,C#4,C#4,C#3,G#4,G#4,B3,F#3,F#2
84.0,50.9091,57,1.6667,r,r,r,r,A4,A4,A4,F#4,r,r,r,r,r,r,r,A4,F#4,C#4,F#3,F#3
84.25,51.0606,57,1.8333,r,r,r,r,C#5,C#5,A4,F#4,r,r,r,r,r,r,r,F#4,A4,A3,F#3,F#3
84.5,51.2121,58,1.0,r,r,r,r,B4,B4,B4,D4,r,r,r,r,r,r,r,B4,G4,D4,F#3,F#3
84.75,51.3636,58,1.1667,r,r,r,r,D5,D5,B4,D4,r,r,r,r,r,r,r,B4,F#4,D4,F#3,F#3
85.0,51.5152,58,1.3333,r,r,r,r,C#5,C#5,C#5,E4,r,r,r,r,r,r,r,C#5,G4,E4,E3,E3
85.25,51.6667,58,1.5,r,r,r,r,B4,B4,C#5,E4,r,r,r,r,r,r,r,B4,B4,D4,E3,E3
85.5,51.8182,58,1.6667,r,r,r,r,C#5,C#5,C#5,E4,r,r,r,r,r,r,r,C#5,A4,E4,A2,A2
85.75,51.9697,58,1.8333,r,r,r,r,E5,E5,B4,D4,r,r,r,r,r,r,r,C#5,A4,E4,A2,A2
85.875,52.0455,58,1.9167,r,r,r,r,E5,E5,C#5,E4,r,r,r,r,r,r,r,C#5,A4,E4,A2,A2
86.0,52.1212,59,1.0,r,r,r,r,D5,D5,D5,F#4,r,r,r,r,r,r,r,D5,A4,F#4,D3,D3
86.25,52.2727,59,1.1667,r,r,r,r,E5,E5,D5,F#4,r,r,r,r,r,r,r,D5,A4,F#4,C#3,C#3
86.5,52.4242,59,1.3333,r,r,r,r,F#5,F#5,D5,F#4,r,r,r,r,r,r,r,D5,A4,F#4,D3,D3
86.75,52.5758,59,1.5,r,r,r,r,G5,G5,D5,F#4,r,r,r,r,r,r,r,D5,A4,F#4,E3,E3
87.0,52.7273,59,1.6667,D4,D4,D4,D3,A5,A5,r,r,D5,F#4,A3,D4,D4,D3,D3,D5,A4,F#4,F#3,F#3
87.25,52.8788,59,1.8333,D4,D4,D4,D3,A5,A5,r,r,D5,F#4,A3,D4,D4,D3,D3,D5,A4,F#4,G3,G3
87.5,53.0303,60,1.0,A4,A4,A4,A2,A5,A5,r,r,D5,F#4,A4,A4,A4,A3,A3,D5,A4,F#4,A3,A3
87.75,53.1818,60,1.1667,A4,A4,A4,A2,A5,A5,r,r,D5,F#4,A4,A4,A4,A3,A3,D5,A4,F#4,G3,G3
88.0,53.3333,60,1.3333,A4,A4,A4,A2,A4,A4,r,r,C#5,E4,A4,A4,A4,A3,A3,C#5,A4,E4,A3,A3
88.25,53.4848,60,1.5,A4,A4,A4,A2,G#4,G#4,r,r,D5,E4,A4,A4,A4,A3,A3,D5,A4,E4,B3,B3
88.5,53.6364,60,1.6667,A4,A4,A4,A2,A4,A4,r,r,E5,A4,A3,A4,A4,A3,A3,E5,A4,E4,C#4,C#4
88.75,53.7879,60,1.8333,A4,A4,A4,A2,A4,A4,r,r,C#5,A4,A3,A4,A4,A3,A3,C#5,A4,E4,A3,A3
89.0,53.9394,61,1.0,D5,D5,D5,D3,A4,A4,r,r,D5,F#4,A3,D5,D5,D4,D4,D5,A4,F#4,D4,D4
89.25,54.0909,61,1.1667,D5,D5,D5,D3,B4,B4,r,r,D5,F#4,A3,D5,D5,D4,D4,D5,A4,F#4,D4,D4
89.5,54.2424,61,1.3333,A4,A4,A4,A2,C#5,C#5,r,r,C#5,E4,A4,A4,A4,A3,A3,C#5,A4,E4,A3,A3
89.75,54.3939,61,1.5,A4,A4,A4,A2,D5,D5,r,r,C#5,E4,A4,A4,A4,A3,A3,C#5,A4,E4,A3,A3
90.0,54.5455,61,1.6667,r,r,r,r,E5,E5,C#5,F#4,r,r,r,r,r,r,r,C#5,F#4,F#4,B-3,B-3
90.25,54.697,61,1.8333,r,r,r,r,C#5,C#5,C#5,F#4,r,r,r,r,r,r,r,C#5,F#4,F#4,B-3,B-3
90.5,54.8485,62,1.0,r,r,r,r,D5,D5,B4,F#4,r,r,r,r,r,r,r,B4,F#4,D4,B3,B3
90.75,55.0,62,1.1667,r,r,r,r,B4,B4,B4,F#4,r,r,r,r,r,r,r,B4,F#4,D4,B3,B3
91.0,55.1515,62,1.3333,r,r,r,r,G5,G5,B4,E4,r,r,r,r,r,r,r,B4,G4,C#4,E3,E3
91.25,55.303,62,1.5,r,r,r,r,G5,G5,B4,D4,r,r,r,r,r,r,r,B4,G4,D4,E3,E3
91.5,55.4545,62,1.6667,r,r,r,r,C#5,C#5,B-4,E4,r,r,r,r,r,r,r,B-4,F#4,E4,F#3,F#3
91.75,55.6061,62,1.8333,r,r,r,r,C#5,C#5,B-4,E4,r,r,r,r,r,r,r,B-4,F#4,C#4,F#3,F#3
92.0,55.7576,63,1.0,r,r,r,r,B4,B4,B4,D4,r,r,r,r,r,r,r,B4,F#4,D4,B3,B2
92.25,55.9091,63,1.1667,r,r,r,r,B4,B4,C#5,D4,r,r,r,r,r,r,r,B4,F#4,D4,B3,B-2
92.5,56.0606,63,1.3333,r,r,r,r,F#4,F#4,D5,B4,D5,B4,F#4,r,r,r,r,B4,F#4,D4,B2,B2
92.75,56.2121,63,1.5,r,r,r,r,F#4,F#4,D5,B4,E5,B4,F#4,r,r,r,r,B4,F#4,D4,B2,C#3
93.0,56.3636,63,1.6667,r,r,r,r,r,r,r,r,F#5,B4,F#4,r,r,r,B3,r,r,r,r,D3
93.25,56.5152,63,1.8333,r,r,r,r,r,r,r,r,D5,B4,F#4,r,r,r,B3,r,r,r,r,B2
93.5,56.6667,64,1.0,r,r,r,r,r,r,r,r,G5,B4,E4,r,r,r,G3,r,r,r,r,E3
93.75,56.8182,64,1.1667,r,r,r,r,r,r,r,r,G5,B4,E4,r,r,r,F#3,r,r,r,r,E3
94.0,56.9697,64,1.3333,r,r,r,r,G5,B4,r,r,r,r,r,r,r,r,E3,r,r,r,r,G3
94.25,57.1212,64,1.5,r,r,r,r,E5,G4,r,r,r,r,r,r,r,r,G3,r,r,r,r,G3
94.5,57.2727,64,1.6667,r,r,r,r,F#5,A4,r,r,r,r,r,r,r,r,F#3,E-5,B4,F#4,B3,B3
94.75,57.4242,64,1.8333,r,r,r,r,E-5,F#4,r,r,r,r,r,r,r,r,A3,E-5,B4,F#4,B3,B3
95.0,57.5758,65,1.0,r,r,r,r,E5,G4,r,r,B5,E5,G4,r,r,r,G3,E5,B4,E4,E4,E3
95.25,57.7273,65,1.1667,r,r,r,r,E5,G4,r,r,B5,E5,G4,r,r,r,F#3,E5,B4,E4,E4,E3
95.5,57.8788,65,1.3333,r,r,r,r,r,r,E5,B4,r,r,r,r,r,r,G3,B4,G4,E4,E3,G3
95.75,58.0303,65,1.5,r,r,r,r,r,r,E5,B4,r,r,r,r,r,r,A3,B4,G4,E4,E3,G3
96.0,58.1818,65,1.6667,r,r,r,r,r,r,B4,G#4,r,r,r,r,r,E4,F#3,r,r,r,r,E3
96.25,58.3333,65,1.8333,r,r,r,r,r,r,B4,G#4,r,r,r,r,r,E4,G#3,r,r,r,r,E3
96.5,58.4848,66,1.0,r,r,r,r,r,r,C#5,E4,A5,C#5,E4,r,r,C#4,A3,r,r,r,r,A3
96.75,58.6364,66,1.1667,r,r,r,r,r,r,C#5,E4,A5,C#5,E4,r,r,B3,A3,r,r,r,r,A3
97.0,58.7879,66,1.3333,r,r,r,r,C#6,E5,r,r,r,r,r,r,r,A3,E3,r,r,r,r,C#3
97.25,58.9394,66,1.5,r,r,r,r,A5,C#5,r,r,r,r,r,r,r,C#4,A3,r,r,r,r,C#3
97.5,59.0909,66,1.6667,r,r,r,r,B5,D5,r,r,r,r,r,r,r,B3,G#3,E5,G#4,B3,E3,E3
97.75,59.2424,66,1.8333,r,r,r,r,G#5,B4,r,r,r,r,r,r,r,D4,B3,E5,G#4,B3,E3,E3
98.0,59.3939,67,1.0,r,r,r,r,A5,C#5,r,r,E5,A4,C#4,r,r,C#4,A3,E5,E4,C#4,A3,A2
98.25,59.5455,67,1.1667,r,r,r,r,A5,C#5,r,r,E5,A4,C#4,r,r,B3,A3,E5,E4,C#4,A3,A2
98.5,59.697,67,1.3333,r,r,r,r,r,r,A5,E5,r,r,r,r,r,C#4,A3,C#5,E4,A3,A2,C#3
98.75,59.8485,67,1.5,r,r,r,r,r,r,A5,E5,r,r,r,r,r,D4,A3,C#5,E4,A3,A2,C#3
99.0,60.0,67,1.6667,r,r,r,r,r,r,E5,C#5,r,r,r,r,A4,B3,A3,r,r,r,r,A2
