qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Trumpet 1,F Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,F6,C6,A5,F5,F5,A4,C4,A3,C4,C3,C5,C4,F2,C6,C6,F3,F2,F1
1.0,0.2899,1,2.0,F6,C6,A5,F5,F5,A4,C4,A3,C4,C3,C5,C4,r,A5,A5,F3,F2,F1
1.5,0.4348,1,2.5,F6,C6,A5,F5,F5,A4,C4,A3,C4,C3,C5,C4,r,B-5,B-5,F3,F2,F1
2.0,0.5797,1,3.0,F6,C6,A5,F5,F5,A4,C4,A3,C4,C3,C5,C4,r,C6,C6,F3,F2,F1
2.5,0.7246,1,3.5,F6,C6,A5,F5,F5,A4,C4,A3,C4,C3,C5,C4,r,A5,A5,F3,F2,F1
3.0,0.8696,2,1.0,F6,C6,A5,F5,F5,A4,C4,A3,C4,C3,C5,C4,r,F5,F5,F3,F2,F1
5.0,1.4493,2,3.0,C6,C6,A5,A4,C5,A4,A3,F3,C4,C3,C5,C4,F2,C5,C5,A3,F2,F1
5.5,1.5942,2,3.5,F6,C6,A5,F5,F5,A4,A3,F3,C4,C3,C5,C4,F2,F5,F5,A3,F2,F1
6.0,1.7391,3,1.0,F6,C6,B-5,F5,F5,B-4,B-3,G3,C4,C3,C5,C4,C3,F5,F5,B-3,G2,G1
6.5,1.8841,3,1.5,E6,C6,B-5,E5,E5,B-4,B-3,G3,C4,C3,C5,C4,C3,E5,E5,B-4,G2,G1
7.0,2.029,3,2.0,E6,C6,B-5,E5,C5,E4,B-3,G3,C4,C3,C5,C4,C3,E5,E4,B-3,G2,G1
7.5,2.1739,3,2.5,F6,C6,F5,F5,D5,F4,A3,F3,C4,C3,C5,C4,C3,F5,F4,A3,F2,F2
8.0,2.3188,3,3.0,G6,C6,G5,G5,E5,G4,G3,E3,C4,C3,C5,C4,C3,G5,G4,G3,E2,E2
8.5,2.4638,3,3.5,F6,C6,A5,F5,F5,A4,F3,D3,C4,C3,C5,C4,C3,A5,A4,F3,D2,D2
9.0,2.6087,4,1.0,E6,C6,B-5,G5,G5,B-4,E3,C3,C4,C3,C5,C4,C3,B-5,B-4,E3,C2,C2
12.0,3.4783,5,1.0,r,r,r,r,B-4,E4,G3,C3,r,r,r,r,r,r,r,r,r,r
13.0,3.7681,5,2.0,r,r,r,r,G4,E4,G3,C3,r,r,r,r,r,r,r,r,r,r
13.5,3.913,5,2.5,r,r,r,r,A4,E4,G3,C3,r,r,r,r,r,r,r,r,r,r
14.0,4.058,5,3.0,r,r,r,r,B-4,E4,G3,C3,r,r,r,r,r,r,r,r,r,r
14.5,4.2029,5,3.5,r,r,r,r,B4,E4,G3,C3,r,r,r,r,r,r,r,r,r,r
15.0,4.3478,6,1.0,r,r,E5,r,C5,E4,G3,C3,G4,C4,r,r,r,r,r,r,r,r
17.0,4.9275,6,3.0,r,r,E5,r,B-4,E4,G3,C3,G4,C4,r,r,r,r,r,r,r,r
18.0,5.2174,7,1.0,r,r,F5,r,A4,F4,A3,F3,A4,F4,r,r,r,r,r,r,r,r
18.5,5.3623,7,1.5,r,r,F5,r,C5,F4,A3,F3,A4,F4,r,r,r,r,r,r,r,r
19.0,5.5072,7,2.0,r,r,F5,C5,F4,C4,F3,A2,F4,A3,r,r,r,r,r,r,r,r
20.0,5.7971,7,3.0,r,r,G5,E5,G4,E4,G3,C3,G4,C4,r,r,r,r,r,r,r,r
21.0,6.087,8,1.0,r,r,G5,E5,G4,E4,G3,C3,G4,C4,r,r,r,r,r,r,r,r
22.0,6.3768,8,2.0,E6,r,G5,E5,G4,E4,G3,C3,G4,C4,r,r,r,r,r,r,r,r
23.0,6.6667,8,3.0,F6,r,A5,F5,A4,F4,A3,F3,A4,F4,r,r,r,r,r,r,r,r
24.0,6.9565,9,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,B-4,C4,C3,C2
25.0,7.2464,9,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,C4,C3,C2
25.5,7.3913,9,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,C4,C3,C2
26.0,7.5362,9,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B-5,B-4,C4,C3,C2
26.5,7.6812,9,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,B4,D3,D3,D2
26.75,7.7536,9,3.75,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,B4,D3,D3,D2
27.0,7.8261,10,1.0,G6,C6,B-5,G5,C6,C5,G3,G3,C4,C3,C5,C4,C3,C6,C5,E-3,E-3,E-2
27.25,7.8986,10,1.25,G6,C6,B-5,G5,C6,C5,G3,G3,C4,C3,C5,C4,C3,C6,C5,E-3,E-3,E-2
27.5,7.971,10,1.5,G6,C6,B-5,G5,C6,C5,G3,G3,C4,C3,C5,C4,C3,C6,C5,E3,E3,E2
27.75,8.0435,10,1.75,G6,C6,B-5,G5,C6,C5,G3,G3,C4,C3,C5,C4,C3,C6,C5,E3,E3,E2
28.0,8.1159,10,2.0,G6,C6,B-5,G5,C6,C5,A3,A3,C4,C3,C5,C4,r,C6,C5,F3,F3,F2
