qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,Bb (basso) Horn 3,Bb (basso) Horn 4,D Trumpet 1,D Trumpet 2,"D, A Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
0.1667,0.1137,1,1.1667,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
0.3333,0.2272,1,1.3333,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
0.5,0.3409,1,1.5,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
0.6667,0.4546,1,1.6667,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
0.8333,0.5682,1,1.8333,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
1.0,0.6818,1,2.0,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
2.0,1.3636,2,1.0,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
3.0,2.0455,2,2.0,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
3.875,2.642,2,2.875,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,E5,E4,r,E3,r
4.0,2.7273,3,1.0,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,A4,E4,r,E3,r
5.0,3.4091,3,2.0,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
5.875,4.0057,3,2.875,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,A4,E4,r,E3,r
6.0,4.0909,4,1.0,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,E4,E4,r,E3,r
7.0,4.7727,4,2.0,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
7.875,5.3693,4,2.875,r,r,r,r,r,r,r,r,E4,A3,r,r,r,r,r,r,E4,E4,E3,E2
8.0,5.4545,5,1.0,r,r,r,r,A4,r,r,r,E4,A3,r,r,r,r,r,r,E4,A3,E3,A1
9.0,6.1364,5,2.0,r,r,r,r,A4,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
10.0,6.8182,6,1.0,r,r,r,r,A4,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
11.0,7.5,6,2.0,r,r,r,r,A4,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
11.875,8.0966,6,2.875,r,r,r,r,A4,r,r,r,E4,A3,r,r,r,r,r,A5,E4,r,E3,r
12.0,8.1818,7,1.0,r,r,r,r,A4,r,r,r,E4,A3,r,r,r,r,r,E5,E4,r,E3,r
13.0,8.8636,7,2.0,r,r,r,r,A4,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
13.875,9.4602,7,2.875,r,r,r,r,A4,r,r,r,E4,A3,r,r,r,r,r,E5,E4,r,E3,r
14.0,9.5455,8,1.0,r,r,r,r,A4,r,r,r,E4,A3,r,r,r,r,r,A4,E4,r,E3,r
15.0,10.2273,8,2.0,r,r,r,r,A4,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
15.875,10.8239,8,2.875,r,r,r,r,A4,r,r,r,E4,A3,r,r,r,r,r,r,E4,E4,E3,E2
16.0,10.9091,9,1.0,r,r,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,r,E4,A3,E3,A1
17.0,11.5909,9,2.0,r,r,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
18.0,12.2727,10,1.0,r,r,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
19.0,12.9545,10,2.0,r,r,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
20.0,13.6364,11,1.0,r,A5,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
20.875,14.233,11,1.875,r,A5,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,A5,E4,r,E3,r
21.0,14.3182,11,2.0,r,A5,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,E5,E4,r,E3,r
21.875,14.9148,11,2.875,r,A5,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,E5,E4,r,E3,r
22.0,15.0,12,1.0,r,A5,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,A4,E4,r,E3,r
22.875,15.5966,12,1.875,r,A5,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,A4,E4,r,E3,r
23.0,15.6818,12,2.0,r,A5,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,E4,E4,r,E3,r
23.875,16.2784,12,2.875,r,A5,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,r,E4,E4,E3,E2
24.0,16.3636,13,1.0,E6,A5,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,r,E4,A3,E3,A1
24.25,16.5341,13,1.25,E6,A5,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,A5,E4,A3,E3,A1
24.5,16.7045,13,1.5,E6,A5,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,A5,E4,r,E3,r
24.75,16.875,13,1.75,E6,A5,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,E5,E4,r,E3,r
25.0,17.0455,13,2.0,E6,A5,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,r,E4,r,E3,r
25.25,17.2159,13,2.25,E6,A5,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,E5,E4,r,E3,r
25.5,17.3864,13,2.5,E6,A5,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,E5,E4,r,E3,r
25.75,17.5568,13,2.75,E6,A5,E5,r,A4,r,r,r,E4,A3,r,r,r,r,r,A4,E4,r,E3,r
26.0,17.7273,14,1.0,E6,A5,E5,r,A4,r,A2,A2,E4,A3,r,r,r,r,r,r,E4,r,E3,r
26.25,17.8977,14,1.25,E6,A5,E5,r,A4,r,A2,A2,E4,A3,r,r,r,r,r,A4,E4,r,E3,r
26.5,18.0682,14,1.5,E6,A5,E5,r,A4,r,A2,A2,E4,A3,r,r,r,r,r,A4,E4,r,E3,r
26.75,18.2386,14,1.75,E6,A5,E5,r,A4,r,A2,A2,E4,A3,r,r,r,r,r,E4,E4,r,E3,r
27.0,18.4091,14,2.0,E6,A5,E5,r,A4,r,A2,A2,E4,A3,r,r,r,r,r,r,E4,r,E3,r
27.1667,18.5228,14,2.1667,E6,A5,E5,r,A4,r,A2,A2,E4,A3,r,r,r,r,r,r,E4,r,E3,r
27.25,18.5795,14,2.25,E6,A5,E5,r,A4,r,A2,A2,E4,A3,r,r,r,r,r,r,E4,E4,E3,E2
27.3333,18.6363,14,2.3333,E6,A5,E5,r,A4,r,A2,A2,E4,A3,r,r,r,r,r,r,E4,E4,E3,E2
27.5,18.75,14,2.5,A6,A5,A5,A4,A4,A3,A2,A2,A4,A2,r,r,r,r,r,r,A4,E4,A3,E2
27.6667,18.8637,14,2.6667,A6,A5,A5,A4,A4,A3,A2,A2,A4,A2,r,r,r,r,r,r,A4,E4,A3,E2
27.75,18.9205,14,2.75,A6,A5,A5,A4,A4,A3,A2,A2,A4,A2,r,r,r,r,r,r,A4,A3,A3,A1
27.8333,18.9773,14,2.8333,A6,A5,A5,A4,A4,A3,A2,A2,A4,A2,r,r,r,r,r,r,A4,A3,A3,A1
28.0,19.0909,15,1.0,A6,A5,A5,A4,A4,A3,A2,A2,A4,A2,r,r,r,r,r,r,A4,r,A3,r
28.25,19.2614,15,1.25,A6,A5,A5,A4,A4,A3,A2,A2,A4,A2,r,r,r,r,r,A5,A4,r,A3,r
28.5,19.4318,15,1.5,A6,A5,A5,A4,A4,A3,D2,D2,A4,A2,D4,D3,r,r,r,A5,A4,r,A3,r
28.75,19.6023,15,1.75,A6,A5,A5,A4,A4,A3,D2,D2,A4,A2,D4,D3,r,r,r,A4,A4,r,A3,r
29.0,19.7727,15,2.0,A6,A5,A5,A4,A4,A3,D2,D2,A4,A2,D4,D3,r,r,r,A4,A4,r,A3,r
29.25,19.9432,15,2.25,A6,A5,A5,A4,A4,A3,D2,D2,A4,A2,D4,D3,r,r,r,A3,A4,A4,A3,r
29.5,20.1136,15,2.5,A6,A5,A5,A4,A4,A3,D2,D2,A4,A2,D4,D3,r,r,r,A3,A4,A4,A3,r
