qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,G Horn 1,G Horn  2,C Horn 3,C Horn 4,Violin 1,Violin 2,Viola,Violoncello,Contrabass
17.6667,10.6,6,3.6667,r,r,A4,r,E4,C4,G3,G3,r,r,r,r,r,r,r,r,r
18.0,10.8,7,1.0,r,r,G4,r,D4,B3,G3,G3,r,r,r,r,r,r,r,r,r
18.5,11.1,7,1.5,r,r,G4,r,D4,B3,G3,G3,r,r,r,r,r,r,r,G2,r
19.0,11.4,7,2.0,r,r,E4,r,D4,B3,G3,G3,r,r,r,r,r,r,r,G3,r
19.5,11.7,7,2.5,r,r,E4,r,D4,B3,G3,G3,r,r,r,r,r,r,r,E3,r
20.0,12.0,7,3.0,r,r,F#4,r,C#4,A3,A3,A3,r,r,r,r,r,r,r,A2,r
20.5,12.3,7,3.5,r,r,F#4,r,C#4,A3,A3,A3,r,r,r,r,r,r,r,A3,r
21.0,12.6,8,1.0,r,r,E4,r,C#4,G3,A3,D3,r,r,r,r,r,r,r,r,r
21.5,12.9,8,1.5,r,r,E4,r,C#4,G3,A3,D3,r,r,r,r,r,r,r,D2,r
22.0,13.2,8,2.0,r,r,D4,r,A3,F#3,A3,D3,r,r,r,r,r,r,r,A2,r
22.5,13.5,8,2.5,r,r,D4,r,A3,F#3,A3,D3,r,r,r,r,r,r,r,D3,r
23.0,13.8,8,3.0,r,r,D4,r,A3,F#3,A3,D3,r,r,r,r,r,r,r,F#3,r
23.5,14.1,8,3.5,r,r,D4,r,A3,F#3,A3,D3,r,r,r,r,r,r,r,A3,r
24.0,14.4,9,1.0,r,r,E5,G4,r,r,A3,D3,r,r,r,r,r,r,r,D3,r
24.5,14.7,9,1.5,r,r,E5,G4,r,r,A3,D3,r,r,r,r,r,r,r,A3,r
25.0,15.0,9,2.0,r,r,D5,F#4,r,r,A3,D3,r,r,r,r,r,r,r,D4,r
25.5,15.3,9,2.5,r,r,D5,F#4,r,r,A3,D3,r,r,r,r,r,r,r,A3,r
26.0,15.6,9,3.0,r,r,D5,F#4,r,r,A3,D3,r,r,r,r,r,r,r,D3,r
26.5,15.9,9,3.5,r,r,D5,F#4,r,r,A3,D3,r,r,r,r,r,r,r,A3,r
27.0,16.2,10,1.0,r,r,E4,r,C4,G3,A3,D3,r,r,r,r,r,r,r,r,r
27.5,16.5,10,1.5,r,r,E4,r,C4,G3,A3,D3,r,r,r,r,r,r,r,D2,r
28.0,16.8,10,2.0,r,r,D4,r,A3,F#3,C4,D3,r,r,r,r,r,r,r,A2,r
28.5,17.1,10,2.5,r,r,D4,r,A3,F#3,C4,D3,r,r,r,r,r,r,r,D3,r
29.0,17.4,10,3.0,r,r,D4,r,A3,F#3,C4,D3,r,r,r,r,r,r,r,F#3,r
29.5,17.7,10,3.5,r,r,D4,r,A3,F#3,C4,D3,r,r,r,r,r,r,r,A3,r
30.0,18.0,11,1.0,r,r,E5,G4,r,r,B3,G3,r,r,r,r,r,r,r,G2,r
30.5,18.3,11,1.5,r,r,E5,G4,r,r,B3,G3,r,r,r,r,r,r,r,D3,r
31.0,18.6,11,2.0,r,r,D5,F4,r,r,B3,G3,r,r,r,r,r,r,r,B3,r
31.5,18.9,11,2.5,r,r,D5,F4,r,r,B3,G3,r,r,r,r,r,r,r,G3,r
32.0,19.2,11,3.0,r,r,D5,F4,r,r,B3,G3,r,r,r,r,r,r,r,G2,r
32.5,19.5,11,3.5,r,r,E5,G4,r,r,B3,G3,r,r,r,r,r,r,r,G3,r
33.0,19.8,12,1.0,r,r,D5,F4,r,r,G3,C3,r,r,r,r,r,r,r,C2,r
33.5,20.1,12,1.5,r,r,C5,E4,r,r,G3,C3,r,r,r,r,r,r,r,C3,r
34.0,20.4,12,2.0,r,r,B4,D4,r,r,C4,D3,F#4,F#4,r,r,r,r,r,D2,r
34.5,20.7,12,2.5,r,r,A4,C4,r,r,C4,D3,F#4,F#4,r,r,r,r,r,D3,r
35.0,21.0,12,3.0,r,r,B4,D4,r,r,B3,G3,G4,G4,r,r,r,r,r,G2,r
35.5,21.3,12,3.5,r,r,G4,B3,r,r,B3,G3,G4,G4,r,r,r,r,r,D3,r
36.0,21.6,13,1.0,r,r,E5,G4,r,r,G3,B2,G4,G4,r,r,r,r,r,B2,r
36.5,21.9,13,1.5,r,r,E5,G4,r,r,G3,B2,G4,G4,r,r,r,r,r,D3,r
37.0,22.2,13,2.0,r,r,D5,F4,r,r,G3,B2,G4,G4,r,r,r,r,r,G3,r
37.5,22.5,13,2.5,r,r,D5,F4,r,r,G3,B2,G4,G4,r,r,r,r,r,D3,r
38.0,22.8,13,3.0,r,r,D5,F4,r,r,G#3,B-2,G#4,G#4,r,r,r,r,r,B-2,r
38.5,23.1,13,3.5,r,r,E5,E4,r,r,G#3,B-2,G#4,G#4,r,r,r,r,r,G#3,r
39.0,23.4,14,1.0,r,r,F5,D4,r,r,A3,A2,A4,A4,r,r,r,r,r,A2,r
39.5,23.7,14,1.5,r,r,E5,G4,r,r,A3,A2,A4,A4,r,r,r,r,r,A3,r
40.0,24.0,14,2.0,r,r,D5,F4,r,r,A3,A2,A4,A4,r,r,r,r,r,r,r
40.5,24.3,14,2.5,r,r,C#5,E4,r,r,A3,A2,A4,A4,r,r,r,r,r,A3,r
41.0,24.6,14,3.0,D6,F5,D5,D4,D5,F4,A3,D3,A4,A4,r,r,r,r,r,r,r
41.5,24.9,14,3.5,D6,F5,D5,D4,D5,F4,A3,D3,A4,A4,r,r,r,r,r,D3,r
42.0,25.2,15,1.0,D6,F5,r,r,D5,F4,A3,D3,A4,A4,r,r,r,r,r,G2,r
42.5,25.5,15,1.5,D6,F5,r,r,D5,F4,A3,D3,A4,A4,r,r,r,r,r,D3,r
43.0,25.8,15,2.0,D6,F5,r,r,D5,F4,G3,G2,B4,B4,r,r,r,r,r,G3,r
43.5,26.1,15,2.5,D6,F5,r,r,D5,F4,G3,G2,B4,B4,r,r,r,r,r,D3,r
44.0,26.4,15,3.0,D6,F5,r,r,D5,F4,G3,G2,B4,B4,r,r,r,r,r,G2,r
44.5,26.7,15,3.5,E6,G5,r,r,E5,G4,G3,G2,B4,B4,r,r,r,r,r,G3,r
45.0,27.0,16,1.0,D6,F5,r,r,D5,F4,G3,C3,G4,G4,r,r,r,r,r,C2,r
45.5,27.3,16,1.5,C6,E5,r,r,C5,E4,G3,C3,G4,G4,r,r,r,r,r,C3,r
46.0,27.6,16,2.0,B5,D5,F#5,r,B4,D4,C4,D3,F#4,F#4,r,r,r,r,r,D2,r
46.5,27.9,16,2.5,A5,C5,F#5,r,A4,C4,C4,D3,F#4,F#4,r,r,r,r,r,D3,r
47.0,28.2,16,3.0,B5,D5,G5,r,B4,D4,B3,G3,G4,G4,r,r,r,r,r,G2,r
47.5,28.5,16,3.5,G5,B4,G5,r,G4,B3,B3,G3,G4,G4,r,r,r,r,r,D3,r
48.0,28.8,17,1.0,r,r,G5,r,E5,G4,G3,B2,G4,G4,r,r,r,r,r,B2,r
48.5,29.1,17,1.5,r,r,G5,r,E5,G4,G3,B2,G4,G4,r,r,r,r,r,D3,r
49.0,29.4,17,2.0,r,r,G5,r,D5,F4,G3,B2,G4,G4,r,r,r,r,r,G3,r
49.5,29.7,17,2.5,r,r,G5,r,D5,F4,G3,B2,G4,G4,r,r,r,r,r,D3,r
50.0,30.0,17,3.0,r,r,G5,r,D5,F4,G3,B2,G4,G4,r,r,r,r,r,B2,r
50.5,30.3,17,3.5,r,r,G5,r,E5,E4,G3,B2,G4,G4,r,r,r,r,r,D3,r
51.0,30.6,18,1.0,r,r,G#5,r,F5,D4,G#3,B-2,G#4,G#4,r,r,r,r,r,B-2,r
51.5,30.9,18,1.5,r,r,G#5,r,E5,E4,G#3,B-2,G#4,G#4,r,r,r,r,r,D3,r
52.0,31.2,18,2.0,r,r,G#5,r,D5,F4,G#3,B-2,G#4,G#4,r,r,r,r,r,B-3,r
52.5,31.5,18,2.5,r,r,G#5,r,D5,F4,G#3,B-2,G#4,G#4,r,r,r,r,r,D3,r
53.0,31.8,18,3.0,r,r,G#5,r,D5,F4,G#3,B-2,G#4,G#4,r,r,r,r,r,B-2,r
53.5,32.1,18,3.5,r,r,G#5,r,E5,E4,G#3,B-2,G#4,G#4,r,r,r,r,r,D3,r
54.0,32.4,19,1.0,r,r,A5,r,F5,D4,A3,A2,A4,A4,r,r,r,r,r,A2,r
54.5,32.7,19,1.5,r,r,A5,r,E5,G4,A3,A2,A4,A4,r,r,r,r,r,D3,r
55.0,33.0,19,2.0,r,r,A5,r,D5,F4,A3,A2,A4,A4,r,r,r,r,r,A3,r
55.5,33.3,19,2.5,r,r,A5,r,D5,F4,A3,A2,A4,A4,r,r,r,r,r,A3,r
56.0,33.6,19,3.0,r,r,A5,r,C#5,E4,A3,A2,A4,A4,r,r,r,r,r,A3,r
56.3333,33.8,19,3.3333,r,r,B-5,r,C#5,E4,A3,A2,A4,A4,r,r,r,r,r,A3,r
56.6667,34.0,19,3.6667,r,r,A5,r,C#5,E4,A3,A2,A4,A4,r,r,r,r,r,A3,r
57.0,34.2,20,1.0,r,r,F5,r,D5,D4,A3,D3,A4,A4,r,r,r,r,r,D3,r
57.5,34.5,20,1.5,r,r,E5,r,D5,D4,A3,D3,A4,A4,r,r,r,r,r,A3,r
58.0,34.8,20,2.0,r,r,D5,r,r,r,r,r,F4,F4,r,r,r,r,r,D4,r
58.5,35.1,20,2.5,r,r,D5,r,r,r,r,r,E4,E4,r,r,r,r,r,D4,r
59.0,35.4,20,3.0,r,r,D5,D5,r,r,r,r,D4,D4,r,r,r,r,r,D4,r
59.5,35.7,20,3.5,r,r,D5,C5,r,r,r,r,D4,D4,r,r,r,r,r,D4,r
60.0,36.0,21,1.0,r,r,D5,B4,E5,E5,r,r,D4,D4,r,r,r,r,r,D4,r
60.5,36.3,21,1.5,r,r,D5,B4,E5,E5,r,r,D4,D4,r,r,r,r,r,D4,r
61.0,36.6,21,2.0,r,r,C5,A4,E5,E5,r,r,D4,D4,r,r,r,r,r,D4,r
61.5,36.9,21,2.5,r,r,C5,A4,E5,E5,r,r,D4,D4,r,r,r,r,r,D4,r
62.0,37.2,21,3.0,r,r,B4,G#4,F5,F5,r,r,D4,D4,r,r,r,r,r,D4,r
62.5,37.5,21,3.5,r,r,B4,G#4,F5,F5,r,r,D4,D4,r,r,r,r,r,D4,r
63.0,37.8,22,1.0,r,r,C5,A4,D5,D5,r,r,D4,D4,r,r,r,r,r,D4,r
63.5,38.1,22,1.5,r,r,C5,A4,D5,D5,r,r,D4,D4,r,r,r,r,r,D4,r
64.0,38.4,22,2.0,r,r,B4,G4,D5,D5,r,r,D4,D4,r,r,r,r,r,D4,r
64.5,38.7,22,2.5,r,r,B4,G4,D5,D5,r,r,D4,D4,r,r,r,r,r,D4,r
65.0,39.0,22,3.0,r,r,A4,F#4,E5,E5,r,r,D4,D4,r,r,r,r,r,D4,r
65.5,39.3,22,3.5,r,r,A4,F#4,E5,E5,r,r,D4,D4,r,r,r,r,r,D4,r
66.0,39.6,23,1.0,r,r,B4,B4,B4,G4,D4,G3,r,r,r,r,r,r,r,G2,r
66.5,39.9,23,1.5,r,r,B4,B4,B4,G4,D4,G3,D4,D4,r,r,r,r,r,D3,r
67.0,40.2,23,2.0,r,r,B4,B4,B4,G4,D4,G3,D4,D4,r,r,r,r,r,G3,r
67.5,40.5,23,2.5,r,r,B4,B4,B4,G4,D4,G3,D4,D4,r,r,r,r,r,D4,r
68.0,40.8,23,3.0,r,r,C5,C5,G4,E4,C4,G3,D4,D4,r,r,r,r,r,E4,r
68.5,41.1,23,3.5,r,r,C5,C5,G4,E4,C4,G3,D4,D4,r,r,r,r,r,C4,r
69.0,41.4,24,1.0,r,r,B4,B4,B4,G4,D4,G3,D4,D4,r,r,r,r,r,G2,r
69.5,41.7,24,1.5,r,r,B4,B4,B4,G4,D4,G3,D4,D4,r,r,r,r,r,D3,r
70.0,42.0,24,2.0,r,r,B4,B4,B4,G4,D4,G3,D4,D4,r,r,r,r,r,G3,r
70.5,42.3,24,2.5,r,r,B4,B4,B4,G4,D4,G3,D4,D4,r,r,r,r,r,D4,r
71.0,42.6,24,3.0,r,r,E5,E5,A4,F#4,C4,G3,D4,D4,r,r,r,r,r,C4,r
71.5,42.9,24,3.5,r,r,E5,E5,A4,F#4,C4,G3,D4,D4,r,r,r,r,r,A3,r
72.0,43.2,25,1.0,r,r,B4,G4,B4,G4,D4,G3,D4,D4,r,r,r,r,r,G2,r
72.5,43.5,25,1.5,r,r,B4,G4,B4,G4,D4,G3,D4,D4,r,r,r,r,r,D3,r
73.0,43.8,25,2.0,r,r,B4,G4,r,r,D4,G3,D4,D4,r,r,r,r,r,G3,r
73.5,44.1,25,2.5,r,r,D5,G4,r,r,D4,G3,D4,D4,r,r,r,r,r,B3,r
74.0,44.4,25,3.0,r,r,C5,F#4,r,r,D4,G3,D4,D4,r,r,r,r,r,A3,r
74.5,44.7,25,3.5,r,r,A4,F#4,r,r,D4,G3,D4,D4,r,r,r,r,r,D3,r
75.0,45.0,26,1.0,r,r,B-4,G4,r,r,D4,G3,D4,D4,r,r,r,r,r,G3,r
75.5,45.3,26,1.5,r,r,D5,G4,r,r,D4,G3,D4,D4,r,r,r,r,r,B-3,r
76.0,45.6,26,2.0,r,r,C5,F#4,r,r,D4,G3,D4,D4,r,r,r,r,r,A3,r
76.5,45.9,26,2.5,r,r,A4,F#4,r,r,D4,G3,D4,D4,r,r,r,r,r,D3,r
77.0,46.2,26,3.0,r,r,B-4,G4,B-4,G4,D4,G3,D4,D4,r,r,r,r,r,G3,r
77.5,46.5,26,3.5,r,r,B-4,G4,B-4,G4,D4,G3,D4,D4,r,r,r,r,r,D3,r
78.0,46.8,27,1.0,r,r,r,r,B-4,G4,D4,G3,D4,D4,r,r,r,r,r,G2,r
78.5,47.1,27,1.5,r,r,r,r,B-4,G4,D4,G3,D4,D4,r,r,r,r,r,D3,r
79.0,47.4,27,2.0,r,r,r,r,B4,G4,D4,G3,D4,D4,r,r,r,r,r,G3,r
79.5,47.7,27,2.5,r,r,r,r,D5,G4,D4,G3,D4,D4,r,r,r,r,r,B3,r
80.0,48.0,27,3.0,r,r,r,r,C5,F#4,D4,G3,D4,D4,r,r,r,r,r,A3,r
80.5,48.3,27,3.5,r,r,r,r,A4,F#4,D4,G3,D4,D4,r,r,r,r,r,D3,r
81.0,48.6,28,1.0,r,r,r,r,B-4,G4,D4,G3,D4,D4,r,r,r,r,r,G3,r
81.5,48.9,28,1.5,r,r,r,r,D5,G4,D4,G3,D4,D4,r,r,r,r,r,B-3,r
82.0,49.2,28,2.0,r,r,r,r,C5,F#4,D4,G3,D4,D4,r,r,r,r,r,A3,r
82.5,49.5,28,2.5,r,r,r,r,A4,F#4,D4,G3,D4,D4,r,r,r,r,r,D3,r
83.0,49.8,28,3.0,r,r,r,r,G4,G4,G3,G3,D4,D4,r,r,r,r,r,G3,r
83.5,50.1,28,3.5,r,r,r,r,G4,G4,G3,G3,D4,D4,r,r,r,r,r,G2,r
84.0,50.4,29,1.0,r,r,r,r,G4,G4,G3,E-3,r,r,r,r,r,r,r,E-2,r
84.5,50.7,29,1.5,r,r,r,r,G4,G4,G3,E-3,r,r,r,r,r,r,r,B-2,r
85.0,51.0,29,2.0,r,r,B-4,G4,r,r,G3,E-3,r,r,r,r,r,r,r,E-3,r
85.5,51.3,29,2.5,r,r,B-4,G4,r,r,G3,E-3,r,r,r,r,r,r,r,G3,r
86.0,51.6,29,3.0,r,r,B-4,G4,r,r,G3,E-3,r,r,r,r,r,r,r,B-3,r
86.5,51.9,29,3.5,r,r,B-4,G4,r,r,G3,E-3,r,r,r,r,r,r,r,E-4,r
87.0,52.2,30,1.0,r,r,B-4,G4,r,r,B-3,G3,r,r,r,r,r,r,r,G2,r
87.5,52.5,30,1.5,r,r,B-4,G4,r,r,B-3,G3,r,r,r,r,r,r,r,D3,r
88.0,52.8,30,2.0,r,r,G4,G4,r,r,B-3,G3,r,r,r,r,r,r,r,G3,r
88.5,53.1,30,2.5,r,r,G4,G4,r,r,B-3,G3,r,r,r,r,r,r,r,B-3,r
89.0,53.4,30,3.0,r,r,G4,G4,r,r,B-3,G3,r,r,r,r,r,r,r,D4,r
89.5,53.7,30,3.5,r,r,G4,G4,r,r,B-3,G3,r,r,r,r,r,r,r,B-3,r
90.0,54.0,31,1.0,r,r,G4,G4,r,r,D4,D3,r,r,r,r,r,r,r,D2,r
90.5,54.3,31,1.5,r,r,G4,G4,r,r,D4,D3,r,r,r,r,r,r,r,G2,r
91.0,54.6,31,2.0,B5,G5,r,r,B4,G4,D4,D3,r,r,r,r,r,r,r,D3,r
91.5,54.9,31,2.5,B5,G5,r,r,B4,G4,D4,D3,r,r,r,r,r,r,r,G3,r
92.0,55.2,31,3.0,B5,G5,r,r,B4,G4,D4,D3,r,r,r,r,r,r,r,B3,r
92.5,55.5,31,3.5,B5,G5,r,r,B4,G4,D4,D3,r,r,r,r,r,r,r,D4,r
93.0,55.8,32,1.0,B5,G5,r,r,B4,G4,B3,G3,r,r,r,r,r,r,r,G2,r
93.5,56.1,32,1.5,B5,G5,r,r,B4,G4,B3,G3,r,r,r,r,r,r,r,D3,r
94.0,56.4,32,2.0,G5,B4,r,r,G4,B3,B3,G3,r,r,r,r,r,r,r,G3,r
94.5,56.7,32,2.5,G5,B4,r,r,G4,B3,B3,G3,r,r,r,r,r,r,r,B3,r
95.0,57.0,32,3.0,G5,B4,r,r,G4,B3,B3,G3,r,r,r,r,r,r,r,G4,r
95.5,57.3,32,3.5,G5,B4,r,r,G4,B3,B3,G3,r,r,r,r,r,r,r,D4,r
96.0,57.6,33,1.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,G3,r
96.5,57.7604,33,1.5,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,r,r
97.0,57.9209,33,2.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,r,r
97.5,58.0813,33,2.5,r,r,r,r,r,r,r,r,r,r,r,r,C5,C4,G4,E3,r
98.0,58.2417,34,1.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,G3,r
98.5,58.4021,34,1.5,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,r,r
99.0,58.5626,34,2.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,r,r
99.5,58.723,34,2.5,r,r,r,r,r,r,r,r,r,r,r,r,E5,F#4,A4,C3,r
100.0,58.8834,35,1.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,G3,r
100.5,59.0439,35,1.5,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,r,r
101.0,59.2043,35,2.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,r,r
101.5,59.3647,35,2.5,r,r,r,r,r,r,r,r,r,r,r,r,D5,G4,D4,B2,r
102.0,59.5251,36,1.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,F#4,D4,D3,r
102.5,59.6856,36,1.5,r,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,D4,D3,r
103.0,59.846,36,2.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,G4,D4,G3,r
103.5,60.0064,36,2.5,r,r,r,r,r,r,r,r,r,r,r,r,B4,F#4,D4,G3,r
104.0,60.1668,37,1.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,G4,G2,r
104.5,60.3273,37,1.5,r,r,r,r,r,r,r,r,r,r,r,r,B4,D4,F#4,G3,r
105.0,60.4877,37,2.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,C4,E4,G3,r
105.5,60.6481,37,2.5,r,r,r,r,r,r,r,r,r,r,r,r,E4,B3,D4,G3,r
106.0,60.8086,38,1.0,r,r,r,r,r,r,r,r,r,r,r,r,F#4,A3,C4,G3,r
106.5,60.969,38,1.5,r,r,r,r,r,r,r,r,r,r,r,r,D4,C4,A3,G3,r
107.0,61.1294,38,2.0,r,r,r,r,r,r,r,r,r,r,r,r,G4,B3,D4,G3,r
107.5,61.2898,38,2.5,r,r,r,r,r,r,r,r,r,r,r,r,C5,G4,E4,G2,r
108.0,61.4503,39,1.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,F#4,D4,G3,r
108.5,61.6107,39,1.5,r,r,r,r,r,r,r,r,r,r,r,r,A4,E4,C4,G3,r
109.0,61.7711,39,2.0,r,r,r,r,r,r,r,r,r,r,r,r,G4,D4,B3,G3,r
109.5,61.9316,39,2.5,r,r,r,r,r,r,r,r,r,r,r,r,E4,D4,B3,G3,r
110.0,62.092,40,1.0,r,r,r,r,r,r,r,r,r,r,r,r,F#4,C#4,A3,A2,r
110.5,62.2524,40,1.5,r,r,r,r,r,r,r,r,r,r,r,r,E4,C#4,A3,A2,r
111.0,62.4128,40,2.0,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,A3,D2,r
111.5,62.5733,40,2.5,D5,r,r,r,D5,F#4,D3,r,r,r,r,r,D4,A3,F#3,D3,r
112.0,62.7337,41,1.0,F#5,r,r,r,C#5,A4,A3,r,r,r,r,r,r,r,r,r,r
112.5,62.8941,41,1.5,E5,r,r,r,C#5,A4,A3,r,r,r,r,r,r,r,r,r,r
113.0,63.0545,41,2.0,F#5,r,r,r,A4,F#4,D3,r,r,r,r,r,r,r,r,r,r
113.5,63.215,41,2.5,D5,r,r,r,A4,F#4,D4,r,r,r,r,r,D4,D4,F#3,D3,r
114.0,63.3754,42,1.0,r,r,r,r,r,r,r,r,r,r,r,r,F#4,C#4,A3,A2,r
114.5,63.5358,42,1.5,r,r,r,r,r,r,r,r,r,r,r,r,E4,C#4,A3,A2,r
115.0,63.6963,42,2.0,r,r,r,r,r,r,r,r,r,r,r,r,G4,B3,G3,E2,r
115.5,63.8567,42,2.5,E5,r,r,r,B4,G4,E3,r,r,r,r,r,E4,B3,G3,E3,r
116.0,64.0171,43,1.0,F#5,r,r,r,C#5,A4,A3,r,r,r,r,r,r,r,r,r,r
116.5,64.1775,43,1.5,E5,r,r,r,C#5,A4,A3,r,r,r,r,r,r,r,r,r,r
117.0,64.338,43,2.0,F#5,r,r,r,A4,F#4,D3,r,r,r,r,r,r,r,r,r,r
117.5,64.4984,43,2.5,D5,r,r,r,A4,F#4,D4,r,r,r,r,r,D4,D4,F#3,D3,r
118.0,64.6588,44,1.0,r,r,r,r,r,r,r,r,r,r,r,r,G4,D4,B3,B2,r
118.5,64.8193,44,1.5,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,B3,B2,r
119.0,64.9797,44,2.0,r,r,r,r,r,r,r,r,r,r,r,r,A4,C#4,A3,F#2,r
119.5,65.1401,44,2.5,F#5,r,r,r,F#4,F#4,F#3,r,r,r,r,r,F#4,C#4,A3,F#3,r
120.0,65.3005,45,1.0,A5,r,r,r,A4,A4,A3,r,r,r,r,r,r,r,r,r,r
120.5,65.461,45,1.5,F#5,r,r,r,F#4,F#4,F#3,r,r,r,r,r,r,r,r,r,r
121.0,65.6214,45,2.0,B5,r,r,r,A4,A4,B3,r,r,r,r,r,r,r,r,r,r
121.5,65.7818,45,2.5,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G#4,G#3,G#2,r
122.0,65.9422,46,1.0,r,r,r,r,r,r,r,r,r,r,r,r,B4,B4,B3,B2,r
