score_qstamp,qstamp,measure,beat,831994_tstamp,718692_tstamp
0.0,0.0,1,2.0,1.04,1.0
1.0,1.0,1,3.0,2.0851,2.6051
2.0,2.0,1,4.0,3.0707,3.9915
3.0,3.0,2,1.0,4.6064,6.2256
4.0,4.0,2,2.0,5.9403,7.7203
5.0,5.0,2,3.0,6.9286,9.3654
6.0,6.0,2,4.0,8.2528,10.9816
7.0,7.0,3,1.0,9.4755,12.0555
8.0,8.0,3,2.0,10.7406,13.8212
9.0,9.0,3,3.0,11.9656,15.9456
10.0,10.0,3,4.0,13.1489,16.8763
11.0,11.0,4,1.0,14.9358,18.3158
12.0,12.0,4,2.0,16.1208,19.8608
13.0,13.0,4,3.0,17.3577,21.199
14.0,14.0,4,4.0,18.804,22.974
15.0,15.0,5,1.0,20.1761,24.7166
16.0,16.0,5,2.0,21.4211,26.0411
17.0,17.0,5,3.0,22.7062,28.6862
18.0,18.0,5,4.0,24.2513,29.5313
19.0,19.0,6,1.0,25.2563,30.4163
19.5,19.5,6,1.5,25.8989,31.1989
20.0,20.0,6,2.0,27.1614,32.7214
20.5,20.5,6,2.5,27.5839,33.4639
21.0,21.0,6,3.0,28.1665,34.0865
21.5,21.5,6,3.5,28.729,34.509
22.0,22.0,6,4.0,29.301,35.2535
22.5,22.5,6,4.5,29.9892,36.0046
23.0,23.0,7,1.0,30.543,36.6724
23.5,23.5,7,1.5,31.1744,37.4144
24.0,24.0,7,2.0,31.8217,38.1217
24.5,24.5,7,2.5,32.2642,38.8642
25.0,25.0,7,3.0,32.6868,39.2868
25.5,25.5,7,3.5,33.3893,39.7893
26.0,26.0,7,4.0,33.8954,40.4478
26.5,26.5,7,4.5,34.3744,41.1944
27.0,27.0,8,1.0,34.8476,41.6169
27.5,27.5,8,1.5,35.3794,42.3594
28.0,28.0,8,2.0,35.822,42.864
28.5,28.5,8,2.5,36.2445,43.3445
29.0,29.0,8,3.0,36.667,43.969
29.5,29.5,8,3.5,37.128,44.5464
30.0,30.0,8,4.0,37.6121,45.0921
30.5,30.5,8,4.5,38.0492,45.5146
31.0,31.0,9,1.0,38.3372,45.9544
31.5,31.5,9,1.5,38.5893,46.3797
32.0,32.0,9,2.0,38.8623,46.7023
32.5,32.5,9,2.5,39.1048,47.1248
33.0,33.0,9,3.0,39.5073,47.5473
33.5,33.5,9,3.5,39.9099,47.9798
34.0,34.0,9,4.0,40.3324,48.4124
34.5,34.5,9,4.5,40.6264,48.8349
35.0,35.0,10,1.0,40.7775,49.0598
35.5,35.5,10,1.5,41.2,49.48
36.0,36.0,10,2.0,41.4025,49.785
36.5,36.5,10,2.5,41.6282,50.125
37.0,37.0,10,3.0,41.7676,50.2476
37.5,37.5,10,3.5,42.1375,50.6175
38.0,38.0,10,4.0,42.4727,50.9327
38.5,38.5,10,4.5,42.5597,51.1752
39.0,39.0,11,1.0,42.8977,51.4777
39.5,39.5,11,1.5,43.1116,51.8429
40.0,40.0,11,2.0,43.3828,51.9228
40.5,40.5,11,2.5,43.453,52.3028
41.0,41.0,11,3.0,43.6879,52.4679
41.5,41.5,11,3.5,43.8793,52.8504
42.0,42.0,11,4.0,44.273,53.273
42.5,42.5,11,4.5,44.711,53.7155
43.0,43.0,12,1.0,45.338,54.138
44.0,44.0,12,2.0,46.1831,54.9831
45.0,45.0,12,3.0,47.8482,56.1692
