score_qstamp,qstamp,measure,beat,735488_tstamp
0.0,0.0,1,1.0,179.5
1.5,1.5,1,2.0,182.5477
2.5,2.5,1,2.6667,183.0731
3.0,3.0,2,1.0,183.3317
4.5,4.5,2,2.0,193.2076
5.5,5.5,2,2.6667,196.5328
6.0,6.0,3,1.0,196.9668
6.5,6.5,3,1.3333,198.1021
7.0,7.0,3,1.6667,198.4242
7.5,7.5,3,2.0,198.7793
8.0,8.0,3,2.3333,199.6779
8.5,8.5,3,2.6667,200.1864
9.0,9.0,4,1.0,200.5152
9.5,9.5,4,1.3333,200.8338
10.0,10.0,4,1.6667,201.0924
10.5,10.5,4,2.0,201.382
11.0,11.0,4,2.3333,201.6897
11.5,11.5,4,2.6667,201.9483
12.0,12.0,5,1.0,202.269
13.5,13.5,5,2.0,203.4828
14.5,14.5,5,2.6667,204.06
15.0,15.0,6,1.0,204.3386
16.5,16.5,6,2.0,205.3145
17.5,17.5,6,2.6667,206.2717
18.0,18.0,7,1.0,206.5303
18.5,18.5,7,1.3333,206.789
19.0,19.0,7,1.6667,207.0752
19.5,19.5,7,2.0,207.3462
20.0,20.0,7,2.3333,207.6648
20.5,20.5,7,2.6667,207.9268
21.0,21.0,8,1.0,208.2756
21.5,21.5,8,1.3333,209.2607
22.0,22.0,8,1.6667,209.5593
22.5,22.5,8,2.0,209.8179
23.0,23.0,8,2.3333,210.1366
23.5,23.5,8,2.6667,210.5152
24.0,24.0,9,1.0,210.9138
24.5,24.5,9,1.3333,211.8124
25.5,25.5,9,2.0,212.3297
26.5,26.5,9,2.6667,212.8469
27.0,27.0,10,1.0,213.1055
28.5,28.5,10,2.0,213.9014
29.5,29.5,10,2.6667,214.4186
30.0,30.0,11,1.0,214.7772
31.0,31.0,11,1.6667,215.3145
31.5,31.5,11,2.0,215.6731
32.5,32.5,11,2.6667,216.2503
33.0,33.0,12,1.0,216.518
34.5,34.5,12,2.0,217.3688
35.5,35.5,12,2.6667,217.9947
36.0,36.0,13,1.0,218.4007
37.5,37.5,13,2.0,219.2766
38.5,38.5,13,2.6667,219.8738
39.0,39.0,14,1.0,220.1924
40.5,40.5,14,2.0,221.2083
41.5,41.5,14,2.6667,221.7255
42.0,42.0,15,1.0,221.9882
43.0,43.0,15,1.6667,222.5614
43.5,43.5,15,2.0,222.82
44.5,44.5,15,2.6667,223.5372
45.0,45.0,16,1.0,223.7959
45.5,45.5,16,1.3333,224.2745
46.5,46.5,16,2.0,224.8117
47.5,47.5,16,2.6667,225.329
48.0,48.0,17,1.0,225.6332
48.25,48.25,17,1.1667,225.8369
48.5,48.5,17,1.3333,225.9724
48.75,48.75,17,1.5,226.1155
49.0,49.0,17,1.6667,226.2792
49.25,49.25,17,1.8333,226.4541
49.5,49.5,17,2.0,226.5868
49.75,49.75,17,2.1667,226.7728
50.0,50.0,17,2.3333,226.9284
50.25,50.25,17,2.5,227.1114
50.5,50.5,17,2.6667,227.2407
50.75,50.75,17,2.8333,227.37
51.0,51.0,18,1.0,227.5193
51.25,51.25,18,1.1667,227.6486
51.5,51.5,18,1.3333,227.7779
51.75,51.75,18,1.5,227.9272
52.0,52.0,18,1.6667,228.0566
52.25,52.25,18,1.8333,228.2859
52.5,52.5,18,2.0,228.4152
52.75,52.75,18,2.1667,228.5445
53.0,53.0,18,2.3333,228.6738
53.25,53.25,18,2.5,228.8031
53.5,53.5,18,2.6667,228.9324
53.75,53.75,18,2.8333,229.0617
54.0,54.0,19,1.0,229.191
54.25,54.25,19,1.1667,229.4203
54.5,54.5,19,1.3333,229.5594
54.75,54.75,19,1.5,229.699
55.0,55.0,19,1.6667,229.8283
55.25,55.25,19,1.8333,229.9776
55.5,55.5,19,2.0,230.1276
55.75,55.75,19,2.1667,230.2962
56.0,56.0,19,2.3333,230.4475
56.25,56.25,19,2.5,230.6348
56.5,56.5,19,2.6667,230.7641
56.75,56.75,19,2.8333,230.8934
57.0,57.0,20,1.0,231.034
57.25,57.25,20,1.1667,231.2321
57.5,57.5,20,1.3333,231.3614
57.75,57.75,20,1.5,231.4907
58.0,58.0,20,1.6667,231.62
58.25,58.25,20,1.8333,231.7493
58.5,58.5,20,2.0,231.8786
58.75,58.75,20,2.1667,232.0079
59.0,59.0,20,2.3333,232.1372
59.25,59.25,20,2.5,232.2666
59.5,59.5,20,2.6667,232.3959
59.75,59.75,20,2.8333,232.5652
60.0,60.0,21,1.0,232.6945
60.25,60.25,21,1.1667,232.9038
60.5,60.5,21,1.3333,233.0331
60.75,60.75,21,1.5,233.1624
61.0,61.0,21,1.6667,233.2917
61.25,61.25,21,1.8333,233.542
61.5,61.5,21,2.0,233.7103
61.75,61.75,21,2.1667,233.8397
62.0,62.0,21,2.3333,233.978
62.25,62.25,21,2.5,234.1183
62.5,62.5,21,2.6667,234.2476
62.75,62.75,21,2.8333,234.3769
63.0,63.0,22,1.0,234.5062
63.25,63.25,22,1.1667,234.6355
63.5,63.5,22,1.3333,234.7648
63.75,63.75,22,1.5,234.8941
64.0,64.0,22,1.6667,235.0234
64.25,64.25,22,1.8333,235.1528
64.5,64.5,22,2.0,235.2863
64.75,64.75,22,2.1667,235.4514
65.0,65.0,22,2.3333,235.5807
65.25,65.25,22,2.5,235.71
65.5,65.5,22,2.6667,235.8393
65.75,65.75,22,2.8333,235.9944
66.0,66.0,23,1.0,236.1579
66.25,66.25,23,1.1667,236.3072
66.5,66.5,23,1.3333,236.4366
66.75,66.75,23,1.5,236.5659
67.0,67.0,23,1.6667,236.6952
67.25,67.25,23,1.8333,236.8645
67.5,67.5,23,2.0,237.0214
67.75,67.75,23,2.1667,237.1831
68.0,68.0,23,2.3333,237.3124
68.25,68.25,23,2.5,237.4817
68.5,68.5,23,2.6667,237.611
68.75,68.75,23,2.8333,237.7403
69.0,69.0,24,1.0,237.8697
69.25,69.25,24,1.1667,237.999
69.5,69.5,24,1.3333,238.1283
69.75,69.75,24,1.5,238.2776
70.0,70.0,24,1.6667,238.4069
70.25,70.25,24,1.8333,238.5962
70.5,70.5,24,2.0,238.7255
70.75,70.75,24,2.1667,238.8748
71.0,71.0,24,2.3333,239.0041
71.25,71.25,24,2.5,239.1334
71.5,71.5,24,2.6667,239.2628
71.75,71.75,24,2.8333,239.5121
72.0,72.0,25,1.0,239.6414
72.1667,72.1667,25,1.1111,239.7276
72.3333,72.3333,25,1.2222,239.8138
72.5,72.5,25,1.3333,239.9
72.6667,72.6667,25,1.4444,239.9862
72.8333,72.8333,25,1.5556,240.0724
73.0,73.0,25,1.6667,240.1586
73.1667,73.1667,25,1.7778,240.2448
73.3333,73.3333,25,1.8889,240.331
73.5,73.5,25,2.0,240.4172
73.6667,73.6667,25,2.1111,240.5035
73.8333,73.8333,25,2.2222,240.5896
74.0,74.0,25,2.3333,240.6759
74.1667,74.1667,25,2.4444,240.7621
