qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,E Horn 1,E Horn 2,C Horn 3,C Horn 4,E Trumpet 1,E Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
45.0,22.5,16,1.0,r,r,r,r,r,r,r,r,r,E4,E3,r,r,r,r,r,r,r,E3,r,r,r,r,r
46.0,23.0,16,2.0,r,r,E5,r,E5,r,r,r,r,E4,E3,r,r,r,r,r,r,r,E3,E4,G#3,B3,E2,E1
47.0,23.5,16,3.0,r,r,D5,r,D5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
48.0,24.0,17,1.0,r,r,C#5,r,C#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
49.0,24.5,17,2.0,r,r,A4,r,A4,r,r,r,r,E3,E2,E3,E3,r,r,r,r,r,E3,r,r,E3,E3,A1
50.0,25.0,17,3.0,r,r,B4,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
51.0,25.5,18,1.0,r,r,C5,r,C5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
52.0,26.0,18,2.0,D6,B5,D5,B4,D5,B4,r,r,r,E3,E2,F#3,F#3,r,r,r,r,r,E3,r,r,F#3,F#3,A1
53.0,26.5,18,3.0,C6,A5,C5,A4,C5,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
54.0,27.0,19,1.0,B5,G5,B4,G4,B4,G4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
55.0,27.5,19,2.0,A6,F#6,A5,F#5,B4,G4,B3,G3,r,E3,E2,G3,G3,r,r,r,r,r,E3,r,r,G3,G3,E2
56.0,28.0,19,3.0,G6,E6,G5,E5,C#5,A4,C#4,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
57.0,28.5,20,1.0,F#6,D6,F#5,D5,A4,F#4,A3,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
58.0,29.0,20,2.0,D6,F#5,D5,F#4,A5,F#5,A4,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,D2
59.0,29.5,20,3.0,E6,G5,E5,G4,G5,E5,G4,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
60.0,30.0,21,1.0,F#6,A5,F#5,A4,F#5,D5,F#4,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
61.0,30.5,21,2.0,G6,B-5,G5,B-4,E5,B-4,E4,C4,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-3,C2
62.0,31.0,21,3.0,F#6,B-5,F#5,B-4,F#5,B-4,F#4,C4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
63.0,31.5,22,1.0,E6,B-5,E5,B-4,G5,B-4,G4,C4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
64.0,32.0,22,2.0,G5,E5,G4,E4,G5,B4,G4,B3,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B3,B1
65.0,32.5,22,3.0,A5,F#5,A4,F#4,F#5,A4,F#4,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
66.0,33.0,23,1.0,B5,G5,B4,G4,E5,G4,E4,G3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
67.0,33.5,23,2.0,C6,A5,C5,A4,E5,F#4,E4,F#3,r,B3,B2,r,r,B3,B3,r,r,r,B2,r,r,r,B2,B1
68.0,34.0,23,3.0,E-6,F#5,E-5,F#4,E-5,B4,B3,B3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
69.0,34.5,24,1.0,A6,C6,A5,C5,E-5,B4,E-4,B3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
70.0,35.0,24,2.0,G6,B5,G5,B4,E5,C#5,E4,C#4,r,E3,E3,r,r,E4,E4,r,r,r,E3,r,r,r,E3,E2
71.0,35.5,24,3.0,F#6,A5,F#5,A4,F#5,E-5,F#4,E-4,G1,r,r,G3,G2,r,r,G3,G3,G2,G2,G3,G3,G3,r,r
72.0,36.0,25,1.0,E6,G5,E5,G4,E5,G4,E4,G3,C2,E4,E3,C4,C3,E5,E4,E4,C4,C3,E3,E5,G4,E4,C3,C2
73.0,36.5,25,2.0,E-6,B5,E-5,B4,E-5,F#4,E-4,F#3,G2,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G2
74.0,37.0,25,3.0,E6,C6,E5,C5,E5,G4,E4,G3,C3,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C3
75.0,37.5,26,1.0,F#6,E-6,F#5,E-5,E-5,B4,E-4,B3,B2,F#4,F#4,E-4,B3,F#5,B4,F#4,E-4,B3,r,F#5,E-5,F#4,B3,B2
76.0,38.0,26,2.0,F#6,C#6,F#5,C#5,C#5,B-4,C#4,B-3,F#2,F#4,F#4,C#4,B-3,F#5,r,r,r,F#3,r,r,r,r,r,r
77.0,38.5,26,3.0,F#6,E-6,F#5,E-5,E-5,B4,E-4,B3,B1,F#4,F#4,E-4,B3,F#5,r,r,r,B2,r,r,r,r,r,r
78.0,39.0,27,1.0,G6,E6,G5,E5,G5,B4,G4,B3,E2,G4,B3,E4,E3,G5,E4,G4,B3,E3,r,G5,E5,G4,E3,E2
79.0,39.5,27,2.0,F#6,E-6,F#5,E-5,F#5,A4,F#4,A3,B2,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B2
80.0,40.0,27,3.0,G6,E6,G5,E5,G5,B4,G4,B3,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,E3
81.0,40.5,28,1.0,A6,F#6,A5,F#5,F#5,D5,F#4,D4,D3,A4,F#4,D4,D4,A5,D5,A4,F#4,D4,r,A5,F#5,A4,D4,D3
82.0,41.0,28,2.0,A6,E6,A5,E5,E5,C#5,E4,C#4,A2,A4,E4,C#4,C#4,A5,r,r,r,A3,r,r,r,r,r,r
83.0,41.5,28,3.0,A6,F#6,A5,F#5,F#5,D5,F#4,D4,D2,A4,F#4,D4,D4,A5,r,r,r,D3,r,r,r,r,r,r
84.0,42.0,29,1.0,C#6,B-5,B-5,C#5,F#5,C#5,C#4,B-3,F#1,E4,E3,C#4,C#4,E5,E5,B-4,C#4,F#3,E3,B-5,C#5,B-4,F#2,F#1
84.5,42.25,29,1.5,C#6,B-5,B-5,C#5,F#5,C#5,C#4,B-3,F#1,E4,E3,C#4,C#4,E5,E5,B-4,C#4,F#3,E3,B-5,C#5,B-4,F#2,F#1
85.0,42.5,29,2.0,B5,G#5,G#5,B4,D5,B4,B3,G#3,B1,E4,E3,D4,D4,r,r,r,r,r,r,r,r,r,B2,B1
85.5,42.75,29,2.5,B5,G#5,G#5,B4,D5,B4,B3,G#3,B1,E4,E3,D4,D4,r,r,r,r,r,r,r,r,r,B2,B1
86.0,43.0,29,3.0,C#6,B-5,B-5,C#5,F#5,C#5,C#4,B-3,F#2,E4,E3,C#4,C#4,r,r,r,r,r,r,r,r,r,F#3,F#2
86.5,43.25,29,3.5,C#6,B-5,B-5,C#5,F#5,C#5,C#4,B-3,F#2,E4,E3,C#4,C#4,r,r,r,r,r,r,r,r,r,F#3,F#2
87.0,43.5,30,1.0,E6,B5,B5,E5,E5,B4,E4,B3,G1,E4,E3,E4,E4,B4,B4,B4,E4,G2,B2,B5,E5,B4,G3,G2
87.5,43.75,30,1.5,E6,B5,B5,E5,E5,B4,E4,B3,G1,E4,E3,E4,E4,B4,B4,B4,E4,G2,B2,B5,E5,B4,G3,G2
88.0,44.0,30,2.0,F#6,B-5,B-5,F#5,F#5,B-4,F#4,B-3,E2,E4,E3,E4,E4,r,r,r,r,E3,r,r,r,r,r,r
88.5,44.25,30,2.5,F#6,B-5,B-5,F#5,F#5,B-4,F#4,B-3,E2,E4,E3,E4,E4,r,r,r,r,E3,r,r,r,r,r,r
89.0,44.5,30,3.0,G6,B5,B5,E5,G5,B4,G4,B3,G2,E4,E3,E4,E4,r,r,r,r,G3,r,r,r,r,r,r
89.5,44.75,30,3.5,G6,B5,B5,E5,G5,B4,G4,B3,G2,E4,E3,E4,E4,r,r,r,r,G3,r,r,r,r,r,r
90.0,45.0,31,1.0,E-6,E-6,E-6,F#5,A5,E-5,F#4,E-4,B1,A4,B2,B3,B3,B4,B3,B3,A3,B3,B2,B4,A4,A4,B2,B1
90.5,45.25,31,1.5,E-6,E-6,E-6,F#5,A5,E-5,F#4,E-4,B1,A4,B2,B3,B3,B4,B3,B3,A3,B3,B2,B4,A4,A4,B2,B1
91.0,45.5,31,2.0,C#6,C#6,C#6,E5,A5,C#5,E4,C#4,F#2,A4,B2,B3,B3,r,r,r,r,r,r,r,r,r,F#3,F#2
91.5,45.75,31,2.5,C#6,C#6,C#6,E5,A5,C#5,E4,C#4,F#2,A4,B2,B3,B3,r,r,r,r,r,r,r,r,r,F#3,F#2
92.0,46.0,31,3.0,E-6,E-6,E-6,F#5,A5,E-5,F#4,E-4,B2,A4,B2,B3,B3,r,r,r,r,r,r,r,r,r,B3,B2
92.5,46.25,31,3.5,E-6,E-6,E-6,F#5,A5,E-5,F#4,E-4,B2,A4,B2,B3,B3,r,r,r,r,r,r,r,r,r,B3,B2
93.0,46.5,32,1.0,E6,E6,E6,E5,E5,E5,E4,C4,E2,A4,E3,E4,C4,E5,E4,C4,A3,E3,E3,E5,A4,A4,E3,E2
93.5,46.75,32,1.5,E6,E6,E6,E5,E5,E5,E4,C4,E2,E4,E3,E4,C4,E5,E4,C4,A3,E3,E3,E5,A4,A4,E3,E2
94.0,47.0,32,2.0,E6,E6,D6,B5,E5,D5,D4,B3,A2,E4,E3,D4,B3,E5,E4,C4,A3,A3,E3,r,r,r,r,r
94.5,47.25,32,2.5,E6,E6,D6,B5,E5,D5,D4,B3,A2,E4,E3,D4,B3,E5,E4,C4,A3,A3,E3,r,r,r,r,r
95.0,47.5,32,3.0,E6,E6,C6,A5,E5,C5,C4,A3,C3,E4,E3,C4,A3,E5,E4,C4,A3,C4,E3,r,r,r,r,r
95.5,47.75,32,3.5,E6,E6,C6,A5,E5,C5,C4,A3,C3,E4,E3,C4,A3,E5,E4,C4,A3,C4,E3,r,r,r,r,r
96.0,48.0,33,1.0,E6,E6,B5,G5,E5,B4,B3,G3,E3,E4,E3,B3,G3,E5,E4,B3,G3,E3,E3,B3,r,r,E3,E2
96.5,48.25,33,1.5,E6,E6,B5,G5,E5,B4,B3,G3,E3,E4,E3,B3,G3,E5,E4,B3,G3,E3,E3,B3,B3,B3,E3,E2
97.0,48.5,33,2.0,r,r,r,r,r,r,E2,E2,r,r,r,r,r,r,r,r,r,r,r,E4,r,r,E2,E1
97.5,48.75,33,2.5,r,r,r,r,r,r,E2,E2,r,r,r,r,r,r,r,r,r,r,r,E4,E4,B3,E2,E1
98.5,49.25,33,3.5,r,r,r,r,r,r,E2,E2,r,r,r,r,r,r,r,r,r,r,r,B4,E4,B3,E2,E1
99.0,49.5,34,1.0,r,r,r,r,r,r,F#3,F#3,r,r,r,r,r,r,r,r,r,r,r,A4,r,r,F#3,F#2
99.5,49.75,34,1.5,r,r,r,r,r,r,F#3,F#3,r,r,r,r,r,r,r,r,r,r,r,A4,A4,E4,F#3,F#2
100.0,50.0,34,2.0,r,r,r,r,r,r,F#2,F#2,r,r,r,r,r,r,r,r,r,r,r,C5,r,r,F#2,F#1
100.5,50.25,34,2.5,r,r,r,r,r,r,F#2,F#2,r,r,r,r,r,r,r,r,r,r,r,C5,E-4,A4,F#2,F#1
101.5,50.75,34,3.5,r,r,r,r,r,r,F#2,F#2,r,r,r,r,r,r,r,r,r,r,r,E-4,E-4,A4,F#2,F#1
102.0,51.0,35,1.0,r,r,r,r,r,r,G3,G3,r,r,r,r,r,r,r,r,r,r,r,B3,r,r,G3,G2
102.5,51.25,35,1.5,r,r,r,r,r,r,G3,G3,r,r,r,r,r,r,r,r,r,r,r,B3,E4,B3,G3,G2
103.0,51.5,35,2.0,r,r,r,r,r,r,G2,G2,r,r,r,r,r,r,r,r,r,r,r,B4,r,r,G2,G1
103.5,51.75,35,2.5,r,r,r,r,r,r,G2,G2,r,r,r,r,r,r,r,r,r,r,r,B4,B4,B3,G2,G1
104.5,52.25,35,3.5,r,r,r,r,r,r,G2,G2,r,r,r,r,r,r,r,r,r,r,r,E5,B4,B3,G2,G1
105.0,52.5,36,1.0,r,r,r,r,r,r,A3,A3,r,r,r,r,r,r,r,r,r,r,r,E-5,r,r,A3,A2
105.5,52.75,36,1.5,r,r,r,r,r,r,A3,A3,r,r,r,r,r,r,r,r,r,r,r,E-5,C5,F#4,A3,A2
106.0,53.0,36,2.0,r,r,r,r,r,r,A2,A2,r,r,r,r,r,r,r,r,r,r,r,F#5,r,r,A2,A1
106.5,53.25,36,2.5,r,r,r,r,r,r,A2,A2,r,r,r,r,r,r,r,r,r,r,r,F#5,E-4,C4,A2,A1
107.5,53.75,36,3.5,r,r,r,r,r,r,A2,A2,r,r,r,r,r,r,r,r,r,r,r,C5,E-4,C4,A2,A1
108.0,54.0,37,1.0,r,r,r,r,r,r,B-3,B-3,r,r,r,r,r,r,r,r,r,r,r,E5,r,r,B-3,B-2
108.5,54.25,37,1.5,r,r,r,r,r,r,B-3,B-3,r,r,r,r,r,r,r,r,r,r,r,E5,C#5,G4,B-3,B-2
109.0,54.5,37,2.0,r,r,r,r,r,r,B-2,B-2,r,r,r,r,r,r,r,r,r,r,r,G5,r,r,B-2,B-1
109.5,54.75,37,2.5,r,r,r,r,r,r,B-2,B-2,r,r,r,r,r,r,r,r,r,r,r,G5,G4,E4,B-2,B-1
110.5,55.25,37,3.5,r,r,r,r,r,r,B-2,B-2,r,r,r,r,r,r,r,r,r,r,r,C#6,G4,E4,B-2,B-1
111.0,55.5,38,1.0,r,r,r,r,r,r,B3,B3,r,r,r,r,r,r,r,r,r,r,r,B5,r,r,B3,B2
111.5,55.75,38,1.5,r,r,r,r,r,r,B3,B3,r,r,r,r,r,r,r,r,r,r,r,B5,B4,G4,B3,B2
112.0,56.0,38,2.0,r,r,r,r,r,r,B2,B2,r,r,r,r,r,r,r,r,r,r,r,B5,r,r,B2,B1
112.5,56.25,38,2.5,r,r,r,r,r,r,B2,B2,r,r,r,r,r,r,r,r,r,r,r,G5,C#5,B-4,B2,B1
113.0,56.5,38,3.0,r,r,r,r,r,r,B2,B2,r,r,r,r,r,r,r,r,r,r,r,E5,C#5,B-4,B2,B1
114.0,57.0,39,1.0,r,r,r,r,r,r,B2,B2,r,r,r,r,r,r,r,r,r,r,r,E5,r,r,B2,B1
114.5,57.25,39,1.5,r,r,r,r,r,r,B2,B2,r,r,r,r,r,r,r,r,r,r,r,C5,E5,C5,B2,B1
115.0,57.5,39,2.0,r,r,r,r,r,r,B2,B2,r,r,r,r,r,r,r,r,r,r,r,A4,r,r,B2,B1
115.5,57.75,39,2.5,r,r,r,r,r,r,B2,B2,r,r,r,r,r,r,r,r,r,r,r,A4,E-5,A4,B2,B1
116.0,58.0,39,3.0,r,r,r,r,r,r,B2,B1,r,r,r,r,r,r,r,r,r,r,r,A4,E-5,A4,B2,B1
116.5,58.25,39,3.5,r,r,r,r,r,r,B2,B1,r,r,r,r,r,r,r,r,r,r,r,F#4,E-5,A4,B2,B1
117.0,58.5,40,1.0,r,r,r,r,r,r,E2,E2,r,r,r,r,r,r,r,r,r,r,r,E-4,r,r,E2,E1
117.5,58.75,40,1.5,r,r,r,r,r,r,E2,E2,r,r,r,r,r,r,r,r,r,r,r,E-4,F#5,F#4,E2,E1
118.0,59.0,40,2.0,r,r,r,r,r,r,E3,E3,r,r,r,r,r,r,r,r,r,r,r,E-4,r,r,E3,E2
118.5,59.25,40,2.5,r,r,r,r,r,r,E3,E3,r,r,r,r,r,r,r,r,r,r,r,E-4,B4,G4,E3,E2
119.0,59.5,40,3.0,r,r,r,r,r,r,E3,E3,r,r,r,r,r,r,r,r,r,r,r,E4,B4,G4,E3,E2
120.0,60.0,41,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E1
120.3333,60.1666,41,1.3333,r,B5,r,r,G5,G5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E1
120.5,60.25,41,1.5,G6,B5,G5,B4,G5,G5,G4,B3,r,r,r,r,r,r,r,r,r,r,r,B3,B3,B3,E2,E1
120.6667,60.3334,41,1.6667,G6,G5,G5,B4,B4,B4,G4,B3,r,r,r,r,r,r,r,r,r,r,r,B3,B3,B3,E2,E1
121.0,60.5,41,2.0,F#6,A5,F#5,A4,F#5,F#5,F#4,A3,r,r,r,r,r,r,r,r,r,r,r,E-4,E-4,E-4,G2,r
121.3333,60.6666,41,2.3333,F#6,F#5,F#5,A4,A4,A4,F#4,A3,r,r,r,r,r,r,r,r,r,r,r,E-4,E-4,E-4,G2,r
121.5,60.75,41,2.5,E6,F#5,E5,G4,A4,A4,E4,G3,r,r,r,r,r,r,r,r,r,r,r,E4,E4,E4,B2,r
121.6667,60.8334,41,2.6667,E6,G5,E5,G4,E5,E5,E4,G3,r,r,r,r,r,r,r,r,r,r,r,E4,E4,E4,B2,r
122.0,61.0,41,3.0,G5,E5,G4,E4,G4,G4,G3,E3,r,r,r,r,r,r,r,r,r,r,r,B-4,B-4,B-4,E3,r
122.5,61.25,41,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B4,B4,G3,r
123.0,61.5,42,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B4,B4,F#3,F#1
123.3333,61.6666,42,1.3333,r,C6,r,r,E5,E5,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B4,B4,F#3,F#1
123.5,61.75,42,1.5,E6,C6,E5,C5,E5,E5,E4,C4,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A4,F#2,F#1
123.6667,61.8334,42,1.6667,E6,A5,E5,C5,C5,C5,E4,C4,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A4,F#2,F#1
124.0,62.0,42,2.0,E-6,C6,E-5,C5,E-5,E-5,E-4,C4,r,r,r,r,r,r,r,r,r,r,r,C5,C5,C5,A2,r
124.3333,62.1666,42,2.3333,E-6,F#5,E-5,C5,A4,A4,E-4,C4,r,r,r,r,r,r,r,r,r,r,r,C5,C5,C5,A2,r
124.5,62.25,42,2.5,C6,F#5,C5,A4,A4,A4,C4,A3,r,r,r,r,r,r,r,r,r,r,r,C5,C5,C5,C3,r
124.6667,62.3334,42,2.6667,C6,A5,C5,A4,C5,C5,C4,A3,r,r,r,r,r,r,r,r,r,r,r,C5,C5,C5,C3,r
125.0,62.5,42,3.0,F#5,E-5,F#4,E-4,E-4,E-4,F#3,E-3,r,r,r,r,r,r,r,r,r,r,r,C5,C5,C5,F#3,r
125.5,62.75,42,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,E-4,E-4,A3,r
126.0,63.0,43,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G1
126.3333,63.1666,43,1.3333,r,F#6,r,r,B5,B5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G1
126.5,63.25,43,1.5,B6,F#6,B5,F#5,B5,B5,F#4,B3,r,r,r,r,r,r,r,r,r,r,r,B3,B3,B3,G2,G1
126.6667,63.3334,43,1.6667,B6,E-6,B5,F#5,F#5,F#5,F#4,B3,r,r,r,r,r,r,r,r,r,r,r,B3,B3,B3,G2,G1
127.0,63.5,43,2.0,A6,F#6,A5,E-5,A5,A5,A4,E-4,r,r,r,r,r,r,r,r,r,r,r,E4,E4,E4,B2,r
127.3333,63.6666,43,2.3333,A6,E-6,A5,E-5,E-5,E-5,A4,E-4,r,r,r,r,r,r,r,r,r,r,r,E4,E4,E4,B2,r
127.5,63.75,43,2.5,G6,E-6,G5,E5,E-5,E-5,G4,E4,r,r,r,r,r,r,r,r,r,r,r,B-4,B-4,B-4,E3,r
127.6667,63.8334,43,2.6667,G6,E6,G5,E5,G5,G5,G4,E4,r,r,r,r,r,r,r,r,r,r,r,B-4,B-4,B-4,E3,r
128.0,64.0,43,3.0,B5,G5,B4,G4,B4,B4,B3,G3,r,r,r,r,r,r,r,r,r,r,r,B4,B4,B4,G3,r
128.5,64.25,43,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E5,E5,B3,r
129.0,64.5,44,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E5,E5,A3,A1
129.3333,64.6667,44,1.3333,r,C6,r,r,F#5,F#5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E5,E5,A3,A1
129.5,64.75,44,1.5,F#6,C6,F#5,C5,F#5,F#5,F#4,C4,r,r,r,r,r,r,r,r,r,r,r,E-5,E-5,E-5,A2,A1
129.6667,64.8333,44,1.6667,F#6,A5,F#5,C5,C5,C5,F#4,C4,r,r,r,r,r,r,r,r,r,r,r,E-5,E-5,E-5,A2,A1
130.0,65.0,44,2.0,E6,C6,E5,C5,E5,E5,E4,C4,r,r,r,r,r,r,r,r,r,r,r,F#5,F#5,F#5,C3,r
130.3333,65.1667,44,2.3333,E6,F#5,E5,C5,A4,A4,E4,C4,r,r,r,r,r,r,r,r,r,r,r,F#5,F#5,F#5,C3,r
130.5,65.25,44,2.5,E-6,F#5,E-5,A4,A4,A4,E-4,A3,r,r,r,r,r,r,r,r,r,r,r,F#5,F#5,F#5,F#3,r
130.6667,65.3333,44,2.6667,E-6,A5,E-5,A4,E-5,E-5,E-4,A3,r,r,r,r,r,r,r,r,r,r,r,F#5,F#5,F#5,F#3,r
131.0,65.5,44,3.0,F#5,E-5,F#4,E-4,F#4,F#4,F#3,E-3,r,r,r,r,r,r,r,r,r,r,r,F#5,F#5,F#5,A3,r
131.5,65.75,44,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C5,C5,C4,r
132.0,66.0,45,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,F#5,F#5,B-3,B-1
132.3333,66.1667,45,1.3333,r,C#6,r,r,G5,G5,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,F#5,F#5,B-3,B-1
132.5,66.25,45,1.5,G6,C#6,G5,C#5,G5,G5,G4,C#4,r,r,r,r,r,r,r,r,r,r,r,E5,E5,E5,B-2,B-1
132.6667,66.3333,45,1.6667,G6,G5,G5,C#5,C#5,C#5,G4,C#4,r,r,r,r,r,r,r,r,r,r,r,E5,E5,E5,B-2,B-1
133.0,66.5,45,2.0,F#6,C#6,F#5,C#5,F#5,F#5,F#4,C#4,r,r,r,r,r,r,r,r,r,r,r,G5,G5,G5,C#3,r
133.3333,66.6667,45,2.3333,F#6,G5,F#5,C#5,B-4,B-4,F#4,C#4,r,r,r,r,r,r,r,r,r,r,r,G5,G5,G5,C#3,r
133.5,66.75,45,2.5,E6,G5,E5,B-4,B-4,B-4,E4,B-3,r,r,r,r,r,r,r,r,r,r,r,G5,G5,G5,E3,r
133.6667,66.8333,45,2.6667,E6,B-5,E5,B-4,E5,E5,E4,B-3,r,r,r,r,r,r,r,r,r,r,r,G5,G5,G5,E3,r
134.0,67.0,45,3.0,G5,E5,G4,E4,G4,G4,G3,E3,r,r,r,r,r,r,r,r,r,r,r,G5,G5,G5,G3,r
134.5,67.25,45,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,C#5,C#5,E4,r
135.0,67.5,46,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B1
135.3333,67.6667,46,1.3333,r,G5,r,r,B-5,B-5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B1
135.5,67.75,46,1.5,B-5,G5,B-5,G5,B-5,B-5,G4,E4,r,r,r,r,r,r,r,r,r,r,r,C#6,C#6,C#5,B2,B1
