score_qstamp,qstamp,measure,beat,246968_tstamp
0.0,0.0,1,1.0,0.3
0.5,0.5,1,1.5,0.55
1.0,1.0,1,2.0,0.8
1.5,1.5,1,2.5,1.03
2.0,2.0,2,1.0,1.28
3.0,3.0,2,2.0,1.74
4.0,4.0,3,1.0,2.18
4.5,4.5,3,1.5,2.43
5.0,5.0,3,2.0,2.74
5.5,5.5,3,2.5,2.99
6.0,6.0,4,1.0,3.24
7.0,7.0,4,2.0,3.7
8.0,8.0,5,1.0,4.2
10.0,10.0,6,1.0,5.16
11.0,11.0,6,2.0,5.58
11.25,11.25,6,2.25,5.705
11.5,11.5,6,2.5,5.83
12.0,12.0,7,1.0,6.08
12.25,12.25,7,1.25,6.205
12.5,12.5,7,1.5,6.33
13.0,13.0,7,2.0,6.58
13.25,13.25,7,2.25,6.705
13.5,13.5,7,2.5,6.83
13.75,13.75,7,2.75,6.955
14.0,14.0,8,1.0,7.08
14.25,14.25,8,1.25,7.205
14.5,14.5,8,1.5,7.33
15.0,15.0,8,2.0,7.58
15.25,15.25,8,2.25,7.705
15.5,15.5,8,2.5,7.83
15.75,15.75,8,2.75,7.955
16.0,16.0,9,1.0,8.06
16.25,16.25,9,1.25,8.185
16.5,16.5,9,1.5,8.31
16.75,16.75,9,1.75,8.435
17.0,17.0,9,2.0,8.56
17.25,17.25,9,2.25,8.685
17.5,17.5,9,2.5,8.81
17.75,17.75,9,2.75,8.935
18.0,18.0,10,1.0,9.06
18.25,18.25,10,1.25,9.205
18.5,18.5,10,1.5,9.33
19.0,19.0,10,2.0,9.58
19.1667,19.1667,10,2.1667,9.6633
19.3333,19.3333,10,2.3333,9.7467
19.5,19.5,10,2.5,9.83
19.6667,19.6667,10,2.6667,9.9133
19.8333,19.8333,10,2.8333,9.9967
20.0,20.0,11,1.0,10.08
21.0,21.0,11,2.0,10.54
21.3333,21.3333,11,2.3333,10.7067
21.6667,21.6667,11,2.6667,10.8733
22.0,22.0,12,1.0,11.04
23.0,23.0,12,2.0,11.56
23.1667,23.1667,12,2.1667,11.6732
23.3333,23.3333,12,2.3333,11.8067
23.5,23.5,12,2.5,11.89
23.6667,23.6667,12,2.6667,11.9733
