qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
35.5,18.3621,25,1.3333,r,r,r,r,E4,C4,G3,C3,r,r,C5,C4,G3,E4,C2
35.6667,18.4483,25,1.4444,r,r,r,r,E4,C4,G3,C3,r,r,C5,E4,G3,E4,C2
35.8333,18.5345,25,1.5556,r,r,r,r,E4,C4,G3,C3,r,r,C5,E4,G3,E4,C2
36.0,18.6207,25,1.6667,r,r,r,r,E4,C4,G3,C3,r,r,C5,E4,G3,G4,r
36.5,18.8793,26,1.0,r,r,r,r,r,r,F3,C3,r,r,C5,E4,C3,G4,C2
36.6667,18.9655,26,1.1111,r,r,r,r,r,r,F3,C3,r,r,C5,E4,F3,G4,C2
36.75,19.0086,26,1.1667,r,r,r,r,r,r,F3,C3,r,r,C5,E4,F3,G#4,C2
36.8333,19.0517,26,1.2222,r,r,r,r,r,r,F3,C3,r,r,C5,E4,F3,G#4,C2
37.0,19.1379,26,1.3333,r,r,r,r,D4,B3,G#3,C3,r,r,C5,B3,G#3,F4,C2
37.1667,19.2242,26,1.4444,r,r,r,r,D4,B3,G#3,C3,r,r,C5,D4,G#3,F4,C2
37.25,19.2672,26,1.5,r,r,r,r,D4,B3,G#3,C3,r,r,C5,D4,G#3,E4,C2
37.3333,19.3103,26,1.5556,r,r,r,r,D4,B3,G#3,C3,r,r,C5,D4,G#3,E4,C2
37.5,19.3966,26,1.6667,r,r,r,r,D4,B3,G#3,C3,r,r,C5,D4,G#3,D4,r
38.0,19.6552,27,1.0,r,r,r,r,r,r,G3,C3,r,r,C5,D4,C3,F4,C2
38.1667,19.7414,27,1.1111,r,r,r,r,r,r,G3,C3,r,r,C5,D4,G3,F4,C2
38.3333,19.8276,27,1.2222,r,r,r,r,r,r,G3,C3,r,r,C5,D4,G3,F4,C2
38.5,19.9138,27,1.3333,r,r,r,r,E4,C4,G3,C3,r,r,C5,C4,G3,E4,C2
38.6667,20.0,27,1.4444,r,r,r,r,E4,C4,G3,C3,r,r,C5,E4,G3,E4,C2
38.8333,20.0862,27,1.5556,r,r,r,r,E4,C4,G3,C3,r,r,C5,E4,G3,E4,C2
39.0,20.1724,27,1.6667,r,r,r,r,E4,C4,G3,C3,r,r,E5,E4,G3,G4,r
39.5,20.431,28,1.0,r,r,r,r,r,r,F3,C3,r,r,E5,E4,C3,G4,C2
39.6667,20.5173,28,1.1111,r,r,r,r,r,r,F3,C3,r,r,E5,E4,F3,G4,C2
39.75,20.5603,28,1.1667,r,r,r,r,r,r,F3,C3,r,r,F5,E4,F3,G#4,C2
39.8333,20.6034,28,1.2222,r,r,r,r,r,r,F3,C3,r,r,F5,E4,F3,G#4,C2
40.0,20.6897,28,1.3333,r,r,r,r,B4,D4,G#3,C3,r,r,D5,B3,G#3,F4,C2
40.1667,20.7759,28,1.4444,r,r,r,r,B4,D4,G#3,C3,r,r,D5,F4,G#3,F4,C2
40.25,20.819,28,1.5,r,r,r,r,B4,D4,G#3,C3,r,r,C5,F4,G#3,E4,C2
40.3333,20.8621,28,1.5556,r,r,r,r,B4,D4,G#3,C3,r,r,C5,F4,G#3,E4,C2
40.5,20.9483,28,1.6667,r,r,r,r,B4,D4,G#3,C3,r,r,B4,F4,G#3,D4,r
41.0,21.2069,29,1.0,r,r,r,r,r,r,G3,C3,r,r,D5,F4,C3,F4,C2
41.1667,21.2931,29,1.1111,r,r,r,r,r,r,G3,C3,r,r,D5,F4,G3,F4,C2
41.3333,21.3793,29,1.2222,r,r,r,r,r,r,G3,C3,r,r,D5,F4,G3,F4,C2
41.5,21.4655,29,1.3333,r,r,r,r,C5,E4,G3,C3,r,r,C5,E4,G3,E4,C2
41.6667,21.5517,29,1.4444,r,r,r,r,C5,E4,G3,C3,r,r,C5,C5,G3,E4,C2
41.8333,21.6379,29,1.5556,r,r,r,r,C5,E4,G3,C3,r,r,C5,C5,G3,E4,C2
42.0,21.7241,29,1.6667,r,r,r,r,C5,E4,G3,E3,r,r,G5,C5,G3,C4,E2
42.5,21.9828,30,1.0,r,r,r,r,C5,E4,A3,F3,r,r,G5,C5,F3,C4,F2
42.6667,22.069,30,1.1111,r,r,r,r,C5,E4,A3,F3,r,r,G5,C5,A3,C4,F2
42.75,22.1121,30,1.1667,r,r,r,r,C5,E4,A3,F3,r,r,A5,C5,A3,A3,F2
42.8333,22.1552,30,1.2222,r,r,r,r,C5,E4,A3,F3,r,r,A5,C5,A3,A3,F2
43.0,22.2414,30,1.3333,r,r,r,r,C5,E4,A3,F3,r,r,F5,A4,A3,D4,F2
43.25,22.3707,30,1.5,r,r,r,r,C5,E4,A3,F3,r,r,E5,A4,A3,C4,F2
43.5,22.5,30,1.6667,r,r,r,r,D5,D4,A3,B2,r,r,D5,A4,A3,F4,B1
44.0,22.7586,31,1.0,r,r,r,r,B4,D4,G3,E3,r,r,D5,G4,E3,F4,E2
44.1667,22.8448,31,1.1111,r,r,r,r,B4,D4,G3,E3,r,r,D5,G4,G3,F4,E2
44.25,22.8879,31,1.1667,r,r,r,r,B4,D4,G3,E3,r,r,G5,G4,G3,G3,E2
44.3333,22.931,31,1.2222,r,r,r,r,B4,D4,G3,E3,r,r,G5,G4,G3,G3,E2
44.5,23.0172,31,1.3333,r,r,r,r,B4,D4,G3,E3,r,r,E5,G4,G3,C4,E2
44.75,23.1466,31,1.5,r,r,r,r,B4,D4,G3,E3,r,r,D5,G4,G3,B3,E2
45.0,23.2759,31,1.6667,r,r,r,r,C5,C4,G3,A2,r,r,C5,G4,G3,E4,A1
45.5,23.5345,32,1.0,r,r,r,r,A4,C4,F3,D3,r,r,C5,F4,D3,E4,D2
45.6667,23.6207,32,1.1111,r,r,r,r,A4,C4,F3,D3,r,r,C5,F4,F3,E4,D2
45.75,23.6638,32,1.1667,r,r,r,r,A4,C4,F3,D3,r,r,F5,F4,F3,F3,D2
45.8333,23.7069,32,1.2222,r,r,r,r,A4,C4,F3,D3,r,r,F5,F4,F3,F3,D2
46.0,23.7931,32,1.3333,r,r,r,r,A4,B3,F3,D3,r,r,D5,F4,F3,B3,D2
46.25,23.9224,32,1.5,r,r,r,r,A4,B3,F3,D3,r,r,C5,D4,F3,A3,D2
46.5,24.0517,32,1.6667,r,r,r,r,A4,B3,A3,F3,r,r,B4,D4,A3,D4,F2
46.75,24.181,32,1.8333,r,r,r,r,A4,E-4,A3,F3,r,r,B4,E-4,A3,A3,F2
47.0,24.3103,33,1.0,r,r,r,r,G#4,E4,B3,E3,r,r,B4,r,E3,G#3,E2
47.1667,24.3966,33,1.1111,r,r,r,r,G#4,E4,B3,E3,r,r,B4,r,B3,G#3,E2
47.25,24.4397,33,1.1667,r,r,r,r,G#4,E4,B3,E3,r,r,C5,r,B3,A3,E2
47.3333,24.4827,33,1.2222,r,r,r,r,G#4,E4,B3,E3,r,r,C5,r,B3,A3,E2
47.5,24.569,33,1.3333,r,r,r,r,G#4,E4,B3,E3,r,r,B4,E4,B3,G#3,E2
47.6667,24.6552,33,1.4444,r,r,r,r,G#4,E4,B3,E3,r,r,B4,G#4,B3,G#3,E2
47.75,24.6983,33,1.5,r,r,r,r,G#4,E4,B3,E3,r,r,C5,G#4,B3,A3,E2
47.8333,24.7414,33,1.5556,r,r,r,r,G#4,E4,B3,E3,r,r,C5,G#4,B3,A3,E2
48.0,24.8276,33,1.6667,r,r,r,r,G#4,E4,B3,E3,r,r,B4,G#4,B3,G#3,B1
48.5,25.0862,34,1.0,r,r,r,r,G#4,E4,B3,E3,r,r,B4,G#4,E3,G#3,E2
48.6667,25.1724,34,1.1111,r,r,r,r,G#4,E4,B3,E3,r,r,B4,G#4,B3,G#3,E2
48.75,25.2155,34,1.1667,r,r,r,r,G#4,E4,B3,E3,r,r,A4,G#4,B3,F#3,E2
48.8333,25.2586,34,1.2222,r,r,r,r,G#4,E4,B3,E3,r,r,A4,G#4,B3,F#3,E2
49.0,25.3448,34,1.3333,r,r,r,r,G#4,E4,B3,E3,r,r,G#4,E4,B3,E3,E2
49.1667,25.4311,34,1.4444,r,r,r,r,G#4,E4,B3,E3,r,r,G#4,G#4,B3,E3,E2
49.25,25.4741,34,1.5,r,r,r,r,G#4,E4,B3,E3,r,r,A4,G#4,B3,F#3,E2
49.3333,25.5172,34,1.5556,r,r,r,r,G#4,E4,B3,E3,r,r,A4,G#4,B3,F#3,E2
49.5,25.6034,34,1.6667,r,r,r,r,G#4,E4,B3,E3,r,r,B4,G#4,B3,G#3,B1
50.0,25.8621,35,1.0,r,r,r,r,G#4,E4,B3,E3,r,r,B4,G#4,E3,G#3,E2
50.1667,25.9483,35,1.1111,r,r,r,r,G#4,E4,B3,E3,r,r,B4,G#4,B3,G#3,E2
50.25,25.9914,35,1.1667,r,r,r,r,G#4,E4,B3,E3,r,r,C5,G#4,B3,A3,E2
50.3333,26.0345,35,1.2222,r,r,r,r,G#4,E4,B3,E3,r,r,C5,G#4,B3,A3,E2
50.5,26.1207,35,1.3333,r,r,r,r,G#4,E4,B3,E3,r,r,B4,E4,B3,G#3,E2
50.6667,26.2069,35,1.4444,r,r,r,r,G#4,E4,B3,E3,r,r,B4,G#4,B3,G#3,E2
50.75,26.25,35,1.5,r,r,r,r,G#4,E4,B3,E3,r,r,E5,G#4,B3,C4,E2
50.8333,26.2931,35,1.5556,r,r,r,r,G#4,E4,B3,E3,r,r,E5,G#4,B3,C4,E2
51.0,26.3793,35,1.6667,r,r,r,r,F#4,E-4,C4,A3,r,r,C5,E-4,F#3,A3,A1
51.5,26.6379,36,1.0,r,r,r,r,F#4,E-4,C4,A3,r,r,C5,E-4,F#3,A3,E2
51.75,26.7672,36,1.1667,r,r,r,r,F#4,E-4,C4,A3,r,r,A4,E-4,F#3,F#3,E2
52.0,26.8966,36,1.3333,r,r,r,r,F#4,E-4,B3,E3,r,r,G#4,E-4,C4,E3,E2
52.25,27.0259,36,1.5,r,r,r,r,F#4,E-4,B3,E3,r,r,A4,E-4,C4,F#3,E2
52.5,27.1552,36,1.6667,r,r,r,r,G#4,E4,B3,E3,r,r,B4,G#4,B3,G#3,B1
53.0,27.4138,37,1.0,r,r,r,r,G#4,E4,B3,E3,r,r,B4,E4,G#3,G#3,E2
53.25,27.5431,37,1.1667,r,r,r,r,G#4,E4,B3,E3,r,r,C5,E4,G#3,A3,E2
53.5,27.6724,37,1.3333,r,r,r,r,r,r,r,r,r,r,B4,r,r,G#3,r
53.75,27.8017,37,1.5,r,r,r,r,r,r,r,r,r,r,C5,r,r,A3,r
54.0,27.931,37,1.6667,r,r,r,r,r,r,r,r,r,r,D5,r,r,B3,r
54.25,28.0603,37,1.8333,r,r,r,r,r,r,r,r,r,r,E5,r,r,C4,r
54.5,28.1897,38,1.0,r,r,r,r,r,r,r,r,r,r,F5,r,r,D4,r
54.75,28.319,38,1.1667,r,r,r,r,r,r,r,r,r,r,E5,r,r,C4,r
55.0,28.4483,38,1.3333,r,r,r,r,r,r,r,r,r,r,E-5,r,r,B3,r
55.25,28.5776,38,1.5,r,r,r,r,r,r,r,r,r,r,D5,r,r,G#3,r
55.5,28.7069,38,1.6667,r,r,r,r,r,r,r,r,r,r,C5,r,A3,A3,r
55.75,28.8362,38,1.8333,r,r,r,r,r,r,r,r,r,r,D5,r,B3,r,r
56.0,28.9655,39,1.0,r,r,r,r,r,r,r,r,r,r,E-5,r,C4,F#2,r
56.1667,29.0517,39,1.1111,r,r,r,r,r,r,r,r,r,r,E-5,r,C4,A2,r
56.25,29.0948,39,1.1667,r,r,r,r,r,r,r,r,r,r,C5,r,A3,A2,r
56.3333,29.1379,39,1.2222,r,r,r,r,r,r,r,r,r,r,C5,r,A3,A2,r
56.5,29.2241,39,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,E-3,r
56.6667,29.3104,39,1.4444,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,r
56.8333,29.3965,39,1.5556,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,r
57.0,29.4828,39,1.6667,r,r,r,r,r,r,r,r,r,r,C4,r,A4,C4,r
57.1667,29.569,39,1.7778,r,r,r,r,r,r,r,r,r,r,C4,r,A4,A3,r
57.25,29.6121,39,1.8333,r,r,r,r,r,r,r,r,r,r,D4,r,B4,A3,r
57.3333,29.6552,39,1.8889,r,r,r,r,r,r,r,r,r,r,D4,r,B4,A3,r
57.5,29.7414,40,1.0,r,r,r,r,r,F#3,r,r,r,r,E-4,r,C5,F#3,r
57.6667,29.8276,40,1.1111,r,r,r,r,r,A3,r,r,r,r,E-4,r,C5,F#3,r
57.75,29.8707,40,1.1667,r,r,r,r,r,A3,r,r,r,r,C4,r,A4,F#3,r
57.8333,29.9138,40,1.2222,r,r,r,r,r,A3,r,r,r,r,C4,r,A4,F#3,r
58.0,30.0,40,1.3333,r,r,r,r,r,E-4,r,r,r,r,r,r,r,r,r
58.1667,30.0862,40,1.4444,r,r,r,r,r,F#4,r,r,r,r,r,r,r,r,r
58.3333,30.1724,40,1.5556,r,r,r,r,r,F#4,r,r,r,r,r,r,r,r,r
58.5,30.2586,40,1.6667,r,r,r,r,r,C5,r,r,r,r,C4,r,A3,r,r
58.6667,30.3448,40,1.7778,r,r,r,r,r,A4,r,r,r,r,C4,r,A3,r,r
58.75,30.3879,40,1.8333,r,r,r,r,r,A4,r,r,r,r,D4,r,B3,r,r
58.8333,30.431,40,1.8889,r,r,r,r,r,A4,r,r,r,r,D4,r,B3,r,r
59.0,30.5172,41,1.0,r,r,r,r,F#4,F#4,r,r,r,r,E-4,r,C4,r,r
59.1667,30.6035,41,1.1111,r,r,r,r,A4,F#4,r,r,r,r,E-4,r,C4,r,r
59.25,30.6466,41,1.1667,r,r,r,r,A4,F#4,r,r,r,r,C4,r,A3,r,r
59.3333,30.6896,41,1.2222,r,r,r,r,A4,F#4,r,r,r,r,C4,r,A3,r,r
59.5,30.7759,41,1.3333,r,r,r,r,E-5,r,r,r,r,r,r,r,r,r,r
59.6667,30.8621,41,1.4444,r,r,r,r,F#5,r,r,r,r,r,r,r,r,r,r
59.75,30.9052,41,1.5,r,r,r,r,F#5,r,C4,r,r,r,E-4,r,r,r,r
59.8333,30.9483,41,1.5556,r,r,r,r,F#5,r,C4,r,r,r,E-4,r,r,r,r
60.0,31.0345,41,1.6667,C6,r,C5,r,C6,r,A3,r,C4,r,C4,r,r,r,r
60.25,31.1638,41,1.8333,C6,r,C5,r,C6,r,G#3,r,C4,r,C4,r,r,r,r
60.375,31.2284,41,1.9167,D6,r,D5,r,C6,r,G#3,r,D4,r,C4,r,r,r,r
60.5,31.2931,42,1.0,E-6,r,E-5,r,r,r,G3,C3,E-4,r,r,r,G3,C2,C2
60.6667,31.3793,42,1.1111,E-6,r,E-5,r,r,r,G3,C3,E-4,r,r,r,E-3,G2,C2
60.75,31.4224,42,1.1667,E-6,r,E-5,r,G4,E-4,F3,C3,E-4,r,r,r,E-3,G2,C2
60.8333,31.4655,42,1.2222,E-6,r,E-5,r,G4,E-4,F3,C3,E-4,r,r,r,E-3,G2,C2
61.0,31.5517,42,1.3333,E-6,r,E-5,r,G4,E-4,E-3,C3,E-4,r,G4,E-4,E-4,C3,r
61.1667,31.6379,42,1.4444,E-6,r,E-5,r,G4,E-4,E-3,C3,E-4,r,E-4,G3,E-4,C3,r
61.25,31.681,42,1.5,E-6,r,E-5,r,G4,E-4,D3,C3,E-4,r,E-4,G3,E-4,C3,r
61.3333,31.7241,42,1.5556,E-6,r,E-5,r,G4,E-4,D3,C3,E-4,r,E-4,G3,E-4,C3,r
61.5,31.8103,42,1.6667,E-6,r,E-5,r,G4,E-4,C3,r,E-4,r,E-5,G4,r,r,r
61.6667,31.8966,42,1.7778,E-6,r,E-5,r,G4,E-4,C3,r,E-4,r,G4,E-4,r,r,r
61.75,31.9397,42,1.8333,E-6,r,E-5,r,E-5,G4,B-2,r,E-4,r,G4,E-4,r,r,r
61.8333,31.9827,42,1.8889,E-6,r,E-5,r,E-5,G4,B-2,r,E-4,r,G4,E-4,r,r,r
62.0,32.069,43,1.0,G6,r,G5,r,E-5,G#4,G#2,F2,G4,r,G#5,C5,D3,F2,F1
62.1667,32.1552,43,1.1111,G6,r,G5,r,E-5,G#4,G#2,F2,G4,r,C5,G#4,D3,F2,F1
62.25,32.1983,43,1.1667,G6,r,G5,r,D5,G#4,G#2,F2,G4,r,C5,G#4,F3,D3,F1
62.3333,32.2414,43,1.2222,G6,r,G5,r,D5,G#4,G#2,F2,G4,r,C5,G#4,F3,D3,F1
62.375,32.2629,43,1.25,F6,r,F5,r,D5,G#4,G#2,F2,F4,r,r,r,F3,D3,F1
62.5,32.3276,43,1.3333,D6,r,D5,r,C5,r,G#2,F2,D4,r,C5,G#4,D4,F3,r
62.75,32.4569,43,1.5,D6,r,D5,r,G#4,r,G#2,F2,D4,r,C5,G#4,D4,F3,r
63.0,32.5862,43,1.6667,C6,r,C5,r,F4,r,r,r,C4,r,r,r,r,r,r
63.25,32.7155,43,1.8333,C6,r,C5,r,D4,r,r,r,C4,r,r,r,r,r,r
63.375,32.7802,43,1.9167,D6,r,D5,r,D4,r,r,r,D4,r,r,r,r,r,r
63.5,32.8448,44,1.0,E-6,r,E-5,r,r,r,E-4,C3,E-4,r,r,r,G3,C2,C2
63.6667,32.9311,44,1.1111,E-6,r,E-5,r,r,r,E-4,C3,E-4,r,r,r,E-3,G2,C2
63.75,32.9741,44,1.1667,E-6,r,E-5,r,G4,E-4,D4,C3,E-4,r,r,r,E-3,G2,C2
63.8333,33.0172,44,1.2222,E-6,r,E-5,r,G4,E-4,D4,C3,E-4,r,r,r,E-3,G2,C2
64.0,33.1034,44,1.3333,E-6,r,E-5,r,G4,E-4,C4,C3,E-4,r,G4,E-4,E-4,C3,r
64.1667,33.1897,44,1.4444,E-6,r,E-5,r,G4,E-4,C4,C3,E-4,r,E-4,G3,E-4,C3,r
64.25,33.2328,44,1.5,E-6,r,E-5,r,G4,E-4,G3,C3,E-4,r,E-4,G3,E-4,C3,r
64.3333,33.2758,44,1.5556,E-6,r,E-5,r,G4,E-4,G3,C3,E-4,r,E-4,G3,E-4,C3,r
64.5,33.3621,44,1.6667,E-6,r,E-5,r,G4,E-4,E-3,r,E-4,r,E-5,G4,r,r,r
64.6667,33.4483,44,1.7778,E-6,r,E-5,r,G4,E-4,E-3,r,E-4,r,G4,E-4,r,r,r
64.75,33.4914,44,1.8333,E-6,r,E-5,r,E-5,G4,C3,r,E-4,r,G4,E-4,r,r,r
64.8333,33.5345,44,1.8889,E-6,r,E-5,r,E-5,G4,C3,r,E-4,r,G4,E-4,r,r,r
65.0,33.6207,45,1.0,B-6,r,B-5,r,E-5,G#4,F3,F2,B-4,r,C6,D5,G#3,F2,F1
65.1667,33.7069,45,1.1111,B-6,r,B-5,r,E-5,G#4,F3,F2,B-4,r,D5,C5,G#3,F2,F1
65.25,33.75,45,1.1667,B-6,r,B-5,r,D5,G#4,F3,F2,B-4,r,D5,C5,F4,G#2,F1
65.3333,33.7931,45,1.2222,B-6,r,B-5,r,D5,G#4,F3,F2,B-4,r,D5,C5,F4,G#2,F1
65.375,33.8147,45,1.25,G#6,r,G#5,r,D5,G#4,F3,F2,G#4,r,r,r,F4,G#2,F1
65.5,33.8793,45,1.3333,D6,r,D5,r,F5,r,F3,F2,D4,r,D5,C5,G#4,F3,r
65.75,34.0086,45,1.5,D6,r,D5,r,D5,r,F3,F2,D4,r,D5,C5,G#4,F3,r
66.0,34.1379,45,1.6667,D6,r,D5,r,G#4,r,r,r,D4,r,r,r,r,r,r
66.25,34.2672,45,1.8333,D6,r,D5,r,F4,r,r,r,D4,r,r,r,r,r,r
66.375,34.3319,45,1.9167,E-6,r,E-5,r,F4,r,r,r,E-4,r,r,r,r,r,r
66.5,34.3966,46,1.0,F6,r,F5,r,r,G#4,F4,B2,F4,r,r,r,G#3,B2,B1
66.6667,34.4828,46,1.1111,F6,r,F5,r,r,G#4,F4,B2,F4,r,r,r,F3,D3,B1
66.8333,34.5689,46,1.2222,F6,r,F5,r,r,G#4,F4,B2,F4,r,r,r,F3,D3,B1
66.875,34.5905,46,1.25,F6,r,F5,r,r,G4,E-4,B2,F4,r,r,r,r,r,B1
67.0,34.6552,46,1.3333,F6,r,F5,r,r,F4,D4,B2,F4,r,G#4,F4,D4,G#3,r
67.1667,34.7414,46,1.4444,F6,r,F5,r,r,F4,D4,B2,F4,r,F4,D4,D4,G#3,r
67.25,34.7845,46,1.5,F6,r,F5,r,D5,F4,D4,F3,F4,r,F4,D4,D4,G#3,r
67.3333,34.8276,46,1.5556,F6,r,F5,r,D5,F4,D4,F3,F4,r,F4,D4,D4,G#3,r
67.5,34.9138,46,1.6667,G#6,r,G#5,r,D5,F4,D4,F3,G#4,r,D5,G#4,r,r,r
67.6667,35.0,46,1.7778,G#6,r,G#5,r,D5,F4,D4,F3,G#4,r,G#4,F4,r,r,r
67.75,35.0431,46,1.8333,G#6,r,G#5,r,G#4,F4,D4,B3,G#4,r,G#4,F4,r,r,r
67.8333,35.0862,46,1.8889,G#6,r,G#5,r,G#4,F4,D4,B3,G#4,r,G#4,F4,r,r,r
67.875,35.1078,46,1.9167,G6,r,G5,r,G#4,F4,D4,B3,G4,r,r,r,r,r,r
68.0,35.1724,47,1.0,E-6,r,E-5,r,r,G4,E-4,C3,E-4,r,r,r,G3,C2,C2
68.1667,35.2586,47,1.1111,E-6,r,E-5,r,r,G4,E-4,C3,E-4,r,r,r,E-3,C3,C2
68.3333,35.3448,47,1.2222,E-6,r,E-5,r,r,G4,E-4,C3,E-4,r,r,r,E-3,C3,C2
68.375,35.3664,47,1.25,E-6,r,E-5,r,r,F4,D4,C3,E-4,r,r,r,r,r,C2
68.5,35.431,47,1.3333,E-6,r,E-5,r,r,E-4,C4,C3,E-4,r,G4,E-4,C4,G3,r
68.6667,35.5173,47,1.4444,E-6,r,E-5,r,r,E-4,C4,C3,E-4,r,E-4,C4,C4,G3,r
68.75,35.5603,47,1.5,E-6,r,E-5,r,C5,E-4,C4,E-3,E-4,r,E-4,C4,C4,G3,r
68.8333,35.6034,47,1.5556,E-6,r,E-5,r,C5,E-4,C4,E-3,E-4,r,E-4,C4,C4,G3,r
69.0,35.6897,47,1.6667,G6,r,G5,r,C5,E-4,C4,E-3,G4,r,C5,G4,r,r,r
69.1667,35.7759,47,1.7778,G6,r,G5,r,C5,E-4,C4,E-3,G4,r,G4,E-4,r,r,r
69.25,35.819,47,1.8333,G6,r,G5,r,G4,E-4,C4,C4,G4,r,G4,E-4,r,r,r
69.3333,35.8621,47,1.8889,G6,r,G5,r,G4,E-4,C4,C4,G4,r,G4,E-4,r,r,r
69.375,35.8836,47,1.9167,F6,r,F5,r,G4,E-4,C4,C4,F4,r,r,r,r,r,r
69.5,35.9483,48,1.0,C6,r,C5,r,r,C4,r,G#2,C4,r,r,r,C3,G#2,G#1
69.75,36.0776,48,1.1667,C6,r,C5,r,r,C4,r,G#2,C4,r,r,r,F3,C3,G#1
70.0,36.2069,48,1.3333,C6,r,C5,r,C5,C4,F3,G#2,C4,r,C5,F4,C4,G#3,r
70.1667,36.2931,48,1.4444,C6,r,C5,r,C5,C4,F3,G#2,C4,r,F4,C4,C4,G#3,r
70.25,36.3362,48,1.5,D6,r,D5,r,C5,C4,F3,G#2,D4,r,F4,C4,C4,G#3,r
70.3333,36.3793,48,1.5556,D6,r,D5,r,C5,C4,F3,G#2,D4,r,F4,C4,C4,G#3,r
70.375,36.4009,48,1.5833,C6,r,C5,r,C5,C4,F3,G#2,C4,r,r,r,C4,G#3,r
70.5,36.4655,48,1.6667,B5,r,B4,r,F#4,r,F#3,r,B3,r,F#4,C4,r,r,r
70.6667,36.5517,48,1.7778,B5,r,B4,r,F#4,r,F#3,r,B3,r,C5,F#4,r,r,r
70.75,36.5948,48,1.8333,C6,r,C5,r,F#4,r,F#3,r,C4,r,C5,F#4,r,r,r
70.8333,36.6379,48,1.8889,C6,r,C5,r,F#4,r,F#3,r,C4,r,C5,F#4,r,r,r
71.0,36.7241,49,1.0,D6,r,D5,r,G4,B3,G3,G2,D4,r,B4,G4,D3,G2,G1
71.1667,36.8104,49,1.1111,D6,r,D5,r,G4,B3,G3,G2,D4,r,G4,D4,D3,G2,G1
71.25,36.8534,49,1.1667,D6,r,D5,r,G4,B3,G3,G2,D4,r,G4,D4,G3,G2,G1
71.3333,36.8965,49,1.2222,D6,r,D5,r,G4,B3,G3,G2,D4,r,G4,D4,G3,G2,G1
71.5,36.9828,49,1.3333,E-6,r,E-5,r,G4,C4,G3,C3,E-4,r,C5,G4,G3,C3,C2
71.6667,37.069,49,1.4444,E-6,r,E-5,r,G4,C4,G3,C3,E-4,r,G4,E-4,G3,C3,C2
71.75,37.1121,49,1.5,E-6,r,E-5,r,G4,C4,G3,C3,E-4,r,G4,E-4,C4,C3,C2
71.8333,37.1552,49,1.5556,E-6,r,E-5,r,G4,C4,G3,C3,E-4,r,G4,E-4,C4,C3,C2
72.0,37.2414,49,1.6667,E6,r,E5,r,r,r,r,r,E4,r,C5,G4,C4,B-3,B-2
72.1667,37.3276,49,1.7778,E6,r,E5,r,r,r,r,r,E4,r,G4,E4,C4,B-3,B-2
72.3333,37.4138,49,1.8889,E6,r,E5,r,r,r,r,r,E4,r,G4,E4,C4,B-3,B-2
72.5,37.5,50,1.0,F6,r,F5,r,r,r,r,r,F4,r,C5,F4,G#3,G#3,G#2
72.6667,37.5862,50,1.1111,F6,r,F5,r,r,r,r,r,F4,r,F4,C4,G#3,G#3,G#2
72.75,37.6293,50,1.1667,F6,r,F5,r,F5,F4,F4,F3,F4,r,F4,C4,C4,G#3,G#2
72.8333,37.6724,50,1.2222,F6,r,F5,r,F5,F4,F4,F3,F4,r,F4,C4,C4,G#3,G#2
73.0,37.7586,50,1.3333,B-6,r,B-5,r,F5,F4,F4,F3,B-4,r,r,r,r,F3,F2
73.1667,37.8448,50,1.4444,B-6,r,B-5,r,F5,F4,F4,F3,B-4,r,D5,B-4,r,F3,F2
73.25,37.8879,50,1.5,B-6,r,B-5,r,D5,B-4,D4,B-3,B-4,r,D5,B-4,F3,F3,F2
73.3333,37.931,50,1.5556,B-6,r,B-5,r,D5,B-4,D4,B-3,B-4,r,D5,B-4,F3,F3,F2
73.5,38.0172,50,1.6667,B-6,r,B-5,r,D5,B-4,D4,B-3,B-4,r,r,r,F3,G#3,G#2
73.6667,38.1035,50,1.7778,B-6,r,B-5,r,D5,B-4,D4,B-3,B-4,r,C5,F4,F3,G#3,G#2
73.75,38.1466,50,1.8333,G#6,r,G#5,r,C5,G#4,C4,G#3,G#4,r,C5,F4,C4,G#3,G#2
73.8333,38.1896,50,1.8889,G#6,r,G#5,r,C5,G#4,C4,G#3,G#4,r,C5,F4,C4,G#3,G#2
74.0,38.2759,51,1.0,D6,r,D5,r,r,r,r,r,D4,r,B-4,D4,F3,B-3,B-2
74.1667,38.3621,51,1.1111,D6,r,D5,r,r,r,r,r,D4,r,D4,F4,F3,B-3,B-2
74.25,38.4052,51,1.1667,D6,r,D5,r,D5,D4,D4,D3,D4,r,D4,F4,B-3,B-3,B-2
74.3333,38.4483,51,1.2222,D6,r,D5,r,D5,D4,D4,D3,D4,r,D4,F4,B-3,B-3,B-2
74.5,38.5345,51,1.3333,G6,r,G5,r,D5,D4,D4,D3,G4,r,r,r,r,E-3,E-2
74.6667,38.6207,51,1.4444,G6,r,G5,r,D5,D4,D4,D3,G4,r,B-4,G4,r,E-3,E-2
74.75,38.6638,51,1.5,G6,r,G5,r,B-4,G4,D4,G3,G4,r,B-4,G4,E-3,E-3,E-2
